user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28,t_29,t_30,t_31,t_32,t_33,t_34,t_35,t_36,t_37,t_38,t_39,t_40,t_41,t_42,t_43,t_44,t_45,t_46,t_47,t_48,t_49,t_50,t_51,t_52,t_53,t_54,t_55,t_56,t_57,t_58,t_59,t_60,t_61,t_62,t_63,t_64,t_65,t_66,t_67,t_68,t_69,t_70,t_71,t_72,t_73,t_74,t_75,t_76,t_77,t_78,t_79,t_80,t_81,t_82,t_83,t_84,t_85,t_86,t_87,t_88,t_89,t_90,t_91,t_92,t_93,t_94,t_95,t_96,t_97,t_98,t_99,t_100,t_101,t_102,t_103,t_104,t_105,t_106,t_107,t_108,t_109,t_110,t_111,t_112,t_113,t_114,t_115,t_116,t_117,t_118,t_119,t_120,t_121,t_122,t_123,t_124,t_125,t_126,t_127,t_128,t_129,t_130
0,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99976486,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,-0.99245375,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,0.9910308,-0.99859196,-0.99859196,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,-0.99801266,0.9971951,0.9971951,0.9971951,0.9971951,0.9971951,0.9971951,0.9971951,0.9971951,0.9971951,0.9960891,0.9960891,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9606091,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.9961712,-0.98563737,-0.99597955,-0.9997676,-0.9997676
1,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.9951756,0.99911565,0.99911565,0.99911565,0.99911565,-0.9561359,-0.9561359,-0.9561359,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.9899228,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.81883144,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99003357,-0.99783796,-0.99783796,-0.99783796,-0.99783796,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736,-0.88885736
2,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.9989623,-0.99746466,-0.99746466,-0.99746466,-0.99746466,-0.99746466,-0.99746466,-0.9869645,-0.9607797,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.98119724,-0.9976712,-0.9976712,-0.9976712
3,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.99963546,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095,-0.9933095
4,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.99937457,-0.9664661,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.9976968,-0.98680866,-0.98680866,-0.98680866,-0.98680866,-0.98680866,-0.98680866,-0.98680866,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735,-0.7492735
5,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,0.6593257,-0.9794924,-0.9794924,-0.9996076,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,0.84768283,-0.9968773,-0.9968773,-0.9968773,-0.9968773,-0.9968773,-0.9968773,-0.9968773,-0.9968773,-0.9968773
6,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,0.84937876,-0.99813384,-0.99813384,-0.99813384,-0.99813384,-0.9930871,-0.9930871,-0.9930871,-0.9930871,-0.9930871,-0.9930871,-0.9930871,-0.9904873,-0.9950842,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258,-0.9973258
7,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,-0.99015325,0.996816,-0.91276354,-0.6001241,-0.6001241,-0.6001241,-0.6001241,-0.6001241,-0.6001241,-0.97898054,-0.9972,-0.9972,-0.9829828,-0.9829828,-0.9829828,-0.9829828,-0.9829828
8,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.90587276,-0.999092,-0.999092,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,0.5372736,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306,-0.9802306
9,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99307394,-0.99846065,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.99637777,-0.9484671,-0.9484671,-0.9863114,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215,-0.9715215
