user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
0,-0.997469,0.23463652,-0.55444545,-0.95191956,-0.880164,-0.015684724,-0.99585664,-0.9504677,-0.996678,-0.49687397,-0.981794,-0.981794,-0.981794,-0.981794
1,-0.9994628,-0.9869621,0.032338887,0.032338887,0.032338887,0.032338887,-0.012012392,-0.012012392,-0.9956189,0.99963737,0.99963737,0.99963737,0.99963737,0.99963737
2,-0.99858725,-0.99858725,-0.99858725,-0.99858725,-0.99858725,-0.99858725,-0.99858725,-0.99858725,-0.99858725,0.011667728,0.9925209,-0.99086505,0.9553222,0.9553222
3,-0.968921,-0.968921,-0.968921,-0.9908626,-0.9908626,0.025565207,-0.9921956,-0.9996126,-0.9996126,-0.9965843,-0.9965843,-0.9965843,-0.9965843,-0.9965843
4,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384,-0.9992384
5,-0.95432204,-0.84137297,-0.84137297,-0.84137297,-0.84137297,-0.84137297,0.9995776,0.9995776,-0.99316347,-0.99316347,-0.99316347,-0.99316347,-0.99316347,-0.99316347
6,0.98033077,0.98033077,-0.9968087,0.99930096,0.99930096,-0.99957806,-0.99957806,-0.99957806,-0.99957806,-0.99951947,-0.99951947,-0.99951947,-0.99951947,-0.99886847
7,0.86773574,0.86773574,-0.999648,-0.999648,-0.999648,-0.999648,-0.999648,-0.999648,-0.999648,-0.99957126,-0.99877363,-0.99877363,0.8777066,0.8777066
8,-0.99712604,-0.99712604,-0.9943773,-0.9943773,-0.9997471,-0.99335504,-0.99335504,-0.9915181,-0.9915181,-0.15613908,-0.15613908,-0.99400413,-0.99400413,-0.9952814
9,-0.9907588,-0.9907588,-0.9907588,-0.9907588,-0.9907588,-0.9907588,-0.9974934,-0.9974934,-0.9993475,-0.9993475,-0.9993475,-0.9993475,-0.9993475,-0.9925782
10,-0.9906275,-0.9906275,-0.9906275,-0.9906275,-0.9906275,-0.99851865,-0.99851865,0.9995147,0.9995147,0.9995147,0.9995147,0.9995147,0.9995147,0.9995147
11,-0.9993563,-0.9993563,-0.9993563,-0.9982426,-0.9982426,-0.9982426,-0.9982426,-0.9982426,-0.9982426,-0.99820447,-0.99820447,-0.99820447,-0.99820447,-0.99820447
12,-0.99891627,-0.99891627,-0.99891627,-0.9991498,-0.9886851,-0.9886851,0.9844035,0.52987814,0.52987814,-0.9997322,-0.5234784,-0.5234784,-0.5234784,-0.93106306
13,-0.05632162,-0.05632162,-0.05632162,-0.05632162,-0.05632162,-0.99934715,-0.99934715,-0.99934715,-0.99934715,-0.99934715,-0.99821883,0.87077355,0.87077355,-0.99911064
