row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.033340134,-0.10103362,-0.166764,0.07621246,0.07034213,-0.02119834,-0.109877214,0.061321683,0.102996916,-0.17492801,-0.11181125,0.07270455,0.10044006,-0.07280401,0.013824766,-0.09040158,-0.028688926,-0.115163594,0.039042525,0.17274058,-0.045288086,-0.044901773,-0.04212578,-0.051655155,0.069007576,0.047187295,-0.10752383,-0.009923445,-0.04640843,0.067483336,-0.006304716,-0.09476651
1,-0.121481225,0.10356001,0.10879892,-0.043675393,0.019892989,-0.1913792,-0.1430776,-0.054856233,0.06311638,0.017388947,0.032101586,-0.14720613,-0.048889074,0.0408347,-0.02565951,0.16545986,0.07545427,-0.08390277,-0.10215862,0.061296236,0.0042341007,0.0146387145,-0.020967666,-0.13997388,-0.091370225,-0.008566921,-0.12365481,-0.18973036,0.05630992,0.023218976,-0.12195149,0.066235244
2,-0.116546765,-0.08444329,-0.047651105,0.13512366,0.06390048,-0.021896306,-0.10195952,-0.0024282907,-0.07676748,0.042561237,-0.19784017,0.15612045,0.1877409,-0.04304263,0.044533137,-0.053068675,0.18612476,0.11082627,0.15471436,0.17100483,0.13226213,0.12838587,0.1392779,0.0027591581,0.05007058,-0.11167978,0.14656055,-0.037637956,-0.15698239,0.13896424,0.066642545,-0.044789955
3,0.05887906,-0.12233731,0.07341343,-0.09388854,0.057176616,0.13582373,-0.13053487,-0.0028761036,-0.14902842,0.068847224,0.0036598847,0.13190046,0.16307987,-0.010826109,-0.08270048,-0.10249671,-0.11821351,0.16401066,0.15003963,0.10796095,0.0068251244,0.02363147,-0.069399096,0.09143743,-0.06375936,0.106470436,-0.15214169,-0.007929359,0.110558145,0.12633765,0.14783682,0.09974404
4,-0.003189225,0.10064119,-0.00327499,0.20113966,0.010858787,-0.015545641,-0.050695695,0.21823777,-0.034449626,-0.10225845,-0.11290353,-0.15702605,-0.026016219,0.119038105,-0.061775673,0.16385576,-0.13755904,0.054370895,-0.07039943,-0.1567594,0.026637062,-0.0006102222,0.0129134385,0.12658767,-0.0040706117,0.09065608,-0.026797391,-0.10602407,-0.022041831,0.0058550457,-0.14675058,0.08599893
5,0.05670683,-0.12568508,0.15244651,0.10752262,0.094189696,-0.028691983,-0.04016496,-0.119147226,0.039077945,0.09965558,-0.04254498,0.16302845,-0.10421908,0.08934581,-0.052756574,0.07217254,0.077218235,-0.029408343,0.16000311,-0.21755792,-0.17549576,-0.16031651,-0.077924445,-0.061251692,-0.073761284,0.1598504,0.13368863,0.10144224,0.108677976,-0.13539863,-0.08805008,-0.18643649
6,-0.057683658,-0.06489032,0.14519252,-0.08252551,-0.020141669,-0.0028996477,-0.16202284,-0.20463951,0.046523448,0.021200422,-0.022441698,-0.004380359,0.051041048,-0.09698187,-0.15669023,0.066516325,0.12853804,0.18632787,-0.097779885,0.13015418,-0.108899616,-0.0793329,-0.14785129,-0.04913459,0.11871176,-0.0636322,-0.13402899,0.11272746,-0.045184758,-0.086515,-0.016317207,0.15314205
7,-0.06335342,-0.13647076,0.05997559,0.115904704,-0.16359536,0.0020854387,-0.06096101,0.03957291,-0.02886495,-0.13536614,0.16223837,0.112467855,-0.14934815,-0.05036767,0.19173424,-0.060801443,0.06787212,-0.06192509,-0.02983314,0.15184508,-0.1355903,-0.071593575,0.10544184,-0.08071197,0.0014680285,-0.07772494,-0.09417542,-0.020258464,-0.0091380635,0.18336242,-0.15014789,-0.1311323
8,0.14486726,-0.07130836,-0.05901243,0.08611073,-0.09270246,0.16812049,0.20991898,-0.01707412,0.10961398,-0.16985579,-0.08363009,-0.12510835,0.03901817,-0.013134323,-0.053351983,-0.13971901,0.15691909,-0.21417502,-0.07590725,0.10059039,0.13133632,0.02537313,0.14768967,0.05403274,-0.15203102,0.15019125,-0.11346362,-0.05473833,-0.109497,-0.05575565,-0.09887045,0.13622674
9,0.1563583,0.10023146,-0.07063384,-0.1464561,0.10401497,0.05458338,-0.21191697,-0.10617382,-0.031096252,0.005644067,-0.22789468,0.012479967,-0.091119796,0.060504477,-0.041684784,0.14534275,-0.07015323,0.10830264,-0.031969678,-0.0950896,0.055499583,0.0029664382,0.21242152,-0.0351577,-0.05928804,0.046460915,0.15251675,0.022814471,-0.07766576,0.050372556,0.026971761,0.07897825
10,0.12313644,-0.030450908,-0.032800958,-0.014804684,-0.10955075,0.1679517,0.088013925,0.106323555,0.07832992,0.16306125,0.0040985066,0.053432316,-0.026127277,-0.07503561,-0.053316817,0.18511789,-0.16384488,-0.06712935,0.0087712435,0.00411886,-0.068055145,-0.09566034,0.07690075,0.19007285,-0.065909915,0.107662626,-0.059009843,-0.06541624,-0.11435287,0.10941902,0.1587358,0.05169816
11,-0.12008423,-0.019699756,0.02232385,-0.019669233,-0.013270792,0.10582201,0.110890165,-0.16279377,-0.09610175,0.15578587,-0.08167038,0.19316944,-0.0013847318,0.040349636,-0.15498173,-0.08332331,0.057033032,0.18673831,-0.026094452,0.030439736,0.07656164,-0.0776832,0.01197048,-0.060861073,-0.0629367,-0.06124381,0.07701919,-0.18242374,0.06848469,0.1515152,0.023198063,0.10522652
12,-0.109600574,0.011290224,-0.022175964,-0.049403187,0.014521715,-0.0056639123,0.018944485,-0.11655134,0.1170519,0.017793749,0.2079682,-0.036978565,-0.13107875,-0.11925817,0.06856591,0.031873617,0.10911208,-0.1404497,0.16785246,0.13951336,-0.14548516,0.20723315,-0.075014696,-0.17311455,0.020402478,0.1113591,-0.018642275,-0.020550149,0.09344118,0.07917556,-0.029742427,-0.050667908
13,0.18437034,0.15472028,-0.008037334,-0.15601936,0.17484632,0.03644583,-0.17462587,-0.061904643,0.015496816,-0.009612771,-0.044320345,0.21051577,0.12844972,-0.032915536,0.12871808,0.0118591925,-0.09422435,-0.12630223,0.16644114,-0.01974161,-0.07798698,-0.094363526,0.22369935,-0.032684214,-0.19049482,-0.09743228,-0.088103324,0.06456798,0.13843714,0.05597622,0.1425878,-0.036754362
14,-0.083083965,-0.08825234,-0.06119392,-0.116415925,-0.10783468,0.16158748,0.09078754,0.0320983,-0.06509081,-0.08416385,0.10289413,-0.19773576,-0.16910975,0.012919798,0.11571096,0.10248241,-0.07183286,-0.1484383,0.030082846,0.060062405,-0.13331798,0.13878441,0.08860363,0.10988577,-0.06368584,-0.010550063,-0.1418125,0.06299291,0.004949863,-0.16472803,0.03422069,0.0045163445
15,0.11335453,0.05505846,0.072970755,0.13600409,0.11835777,0.09105586,0.09922451,0.0005471779,0.04121331,-0.066053726,0.066582635,-0.011577804,-0.22203511,-0.1274515,-0.06083756,-0.062155772,0.030594822,0.039512936,0.10920285,-0.10683107,-0.024359897,0.12743613,0.050173283,-0.12787458,0.21925037,0.16820261,0.016058939,-0.021892175,0.00060134614,0.063797355,0.05040079,0.05939033
16,0.12677175,-0.035142187,0.07459856,-0.11983271,-0.0997733,0.09340366,0.035979524,0.04294669,0.026179379,0.080074355,-0.20046435,0.13493359,-0.15115996,-0.13102704,-0.051523324,0.14716217,-0.02000096,-0.10436015,0.15774268,0.12541774,0.19103694,0.035154663,-0.115618005,0.14525272,-0.030215943,0.029433692,-0.0072598327,0.07006896,0.04977187,0.1120017,-0.06888751,-0.026034022
17,-0.051300887,-0.033065036,-0.17001025,-0.058438577,0.1268654,0.11143484,-0.07775916,0.11813832,-0.12948547,0.14997435,0.15266697,0.040147793,0.11673984,-0.032054782,-0.08573056,0.02714813,-0.1426645,-0.061093275,0.07513271,-0.13917379,0.09012382,-0.00620295,0.016346658,0.11521666,-0.05355114,0.1224958,0.17157559,-0.15609579,-0.00953597,-0.07528998,-0.072100274,-0.014269751
18,-0.14907384,-0.12085013,0.1330694,0.054664053,0.04754836,0.09271027,-0.10609142,0.09331152,0.008904494,0.041762974,0.11605083,0.1020248,0.13458227,-0.15558723,0.10699201,-0.032250103,0.13075013,-0.06734315,-0.018502623,-0.17786402,-0.124806106,-0.045538884,-0.078443624,0.1543873,0.053143322,-0.13821587,0.010628072,0.008787117,0.065203086,-0.20957519,-0.087534964,-0.12925844
19,0.115364015,0.0013037516,-0.15096228,-0.053326376,-0.1310069,-0.055336196,-0.17898348,-0.13492578,0.0025339995,-0.06362859,0.14985485,0.05345535,0.0040153055,0.061597675,-0.0062459907,-0.116193496,0.025540272,-0.07454957,0.15650994,0.1603088,-0.08251115,-0.19768871,-0.0775886,-0.0800367,0.15470776,-0.01619815,0.1245855,-0.111187495,-0.07527242,0.108225524,-0.118153565,0.16810785
20,-0.0529532,-0.08617576,0.16272695,-0.12540597,0.1865948,-0.010027262,0.12369438,0.07826226,0.14959201,-0.1521655,-0.22159913,-0.032514844,-0.077768624,0.0030693437,-0.14630416,0.16117989,0.16590922,0.021451436,-0.021639913,0.09056094,-0.074900456,-7.081349e-05,0.12886548,-0.008889479,0.1346677,-0.15271915,0.076960094,0.04612178,-0.14264496,-0.021056386,0.08453412,0.07231741
21,0.16614184,-0.09047774,-0.025707336,-0.106829986,0.20008823,0.036253467,-0.18296938,-0.01604637,0.07833721,-0.054749824,-0.14613211,0.15299658,0.049002655,0.1113658,0.0010560065,-0.014350562,0.12508662,0.043980896,0.055574216,0.09704072,0.01729806,-0.045325436,0.09855778,-0.004723287,-0.017125482,0.11888038,-0.08268291,0.0004891229,-0.14405252,0.033088464,0.18569854,-0.048762217
22,0.18471074,-0.0334688,0.07508279,-0.11883451,0.044383656,0.14147326,-0.07913082,-0.016360467,0.13722901,-0.12599508,-0.102988884,0.15921831,-0.037383854,0.093509875,0.035109513,-0.036253713,-0.040429875,0.20870765,-0.016920794,-0.10052724,0.18618731,0.042429227,-0.08421192,-0.049609274,0.084581524,0.09677774,0.16742639,-0.07420519,-0.02565729,-0.025241576,0.12046909,0.05519056
