row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.029323157,-0.1714611,0.05273484,-0.017437015,-0.120137155,-0.07869125,-0.1019593,-0.09098284,-0.009815826,-0.16022922,-0.1861992,0.09729797,0.13227008,-0.00514574,-0.02486652,0.120098405,0.07726245,0.15303116,-0.100498535,0.042834796,-0.1501703,0.1701264,0.11460957,-0.1492018,-0.12458757,-0.015318964,-0.087573156,-0.12874347,0.14741004,0.008491508,0.044484183,-0.12673427
1,-0.12338073,-0.048363004,0.15253825,0.03820849,-0.012558962,0.11338241,-0.14364126,0.025943452,0.17356372,-0.035383157,0.17905332,-0.026783617,-0.08916226,0.13819572,-0.1701349,-0.14751147,-0.023283724,-0.040451746,-0.10136888,0.16220316,0.16048901,0.18740314,-0.056750257,-0.04639666,-0.07337335,-0.049928807,-0.017910404,0.15464172,-0.10145384,-0.038784087,-0.007244206,0.11758441
2,-0.04624699,-0.13071576,-0.1060415,0.050323658,0.011951934,-0.011202601,-0.16803409,0.18476559,0.08662445,-0.09526994,-0.092116594,0.07151865,-0.10685577,-0.04887563,-0.09828787,-0.01991766,-0.024389414,0.17826186,0.083105296,-0.10988163,-0.05356571,0.14852874,-0.022241572,0.048906777,-0.065503925,0.041847806,-0.15297249,0.06729521,-0.10522717,0.08038358,-0.013826352,-0.02595212
3,0.14578016,-0.06816648,0.17245454,0.12184109,-0.091424204,-0.0828849,-0.06624379,0.13426554,0.18784599,0.11850377,0.14098804,0.0057378486,-0.013780789,0.13835861,0.10432851,-0.1196874,-0.03576297,0.04840848,0.099268,0.110928826,-0.0139398435,-0.082793936,0.08080002,0.037056353,-0.15560384,-0.018522646,-0.076886915,-0.10413835,-0.071073525,-0.05642268,-0.037386652,-0.163202
4,-0.0047571873,-0.021909704,-0.10374508,0.060846828,0.07901921,0.010731682,-0.0580152,0.07378136,0.099484466,-0.0014638912,0.04358935,-0.14015098,-0.16083978,-0.025433926,-0.09306292,-0.08457883,0.080638885,0.023998408,-0.124957085,-0.03768767,0.12588556,0.082147285,0.076061,0.12812808,-0.14691816,-0.011880703,-0.05760733,0.12320194,0.0947445,0.030327996,-0.05820267,-0.09784214
5,0.02314732,0.033514492,0.14097433,0.072962254,-0.05506704,0.13476574,0.06416225,0.10276297,0.0027164794,0.11963311,0.16828538,-0.1768962,-0.16842848,0.19307269,-0.09162816,-0.1309685,-0.020773485,0.058400832,-0.02446329,0.19108044,0.07671374,0.15379384,-0.11942353,0.14084783,-0.06608912,-0.08515446,-0.10652586,0.044834137,-0.07784557,-0.16012855,-0.034650836,-0.09529215
6,0.10881199,-0.011888842,0.15688376,-0.11297795,0.01270227,-0.042485807,-0.19261682,-0.005536557,-0.0106028095,-0.05058201,-0.08151816,-0.24260978,-0.11953679,-0.008321418,0.12658831,-0.035414908,-0.030988589,0.003229266,0.14447941,0.008020816,-0.079788476,-0.17932363,-0.098843426,-0.1071978,0.09002214,0.10269949,0.15875874,-0.13428482,0.105422534,0.10022199,-0.024602924,0.19141445
7,0.037149258,0.028967533,0.09464564,0.07637504,-0.15500893,-0.0453983,0.105832286,-0.0076579675,-0.038248386,-0.19020292,0.036446285,0.14661178,-0.016176166,0.14245398,-0.055085573,-0.1383697,-0.009001655,0.1392126,0.13781026,-0.012544263,0.040269855,-0.118307635,-0.15434602,-0.13215563,-0.19527663,0.033994634,-0.055495605,0.105208725,-0.12385332,-0.21363723,-0.010550795,0.082039714
8,0.0027114267,0.13281696,-0.041416608,-0.14628194,0.11542723,-0.011464701,-0.13597886,-0.031804826,-0.120683864,0.14950135,-0.17707716,-0.024679529,0.19738077,-0.13152146,-0.04996354,0.034234356,0.0447667,-0.003134023,-0.20478491,-0.22330366,-0.08875543,0.19422625,-0.026644377,-0.04626853,0.07391558,-0.049507387,0.04049124,0.12750143,0.027700158,-0.19032763,0.1657307,-0.06698746
9,-0.09507233,0.1287298,0.093965605,0.109863,0.029983692,0.09232891,-0.066719644,-0.04866449,-0.08446974,-0.039982516,0.1058463,0.10335827,-0.054691494,-0.058027007,-0.11020285,-0.084587485,0.041986305,-0.06480282,0.006919112,0.15422872,-0.008818224,-0.07284394,0.02108284,-0.06313081,-0.021249404,0.11137876,0.018885685,0.048492577,0.149527,0.18111898,0.038999017,-0.08753547
10,0.049515396,0.18960005,0.015439933,-0.015491393,0.131005,0.13615142,0.0030499415,-0.085769564,-0.10282288,0.08493166,0.12687002,-0.17396814,-0.03434072,0.15155785,0.14126094,-0.035137065,0.16958143,-0.028183598,-0.057626963,0.17137317,0.22165015,-0.14030555,0.02205685,0.03091181,0.18224671,0.10712508,-0.008903675,0.05583805,0.12750694,0.1720019,0.16480869,0.09336712
11,0.18185759,-0.071046755,0.00014981179,-0.015716594,0.17896405,-0.02479838,0.13782632,-0.13042869,-0.09558605,0.041526232,0.1669849,0.09782544,0.063772276,-0.09806886,0.015304451,0.009594775,-0.082578465,-0.19025388,-0.06003807,-0.07258763,-0.026500378,-0.19638476,-0.1895923,-0.13247046,-0.0054295743,0.021655502,-0.12205975,-0.091026515,0.08545296,0.13305344,0.1305393,-0.0781317
12,-0.11204236,0.06598782,0.1358097,0.059534483,0.020278629,-0.013917669,0.038872015,-0.038172793,0.04025592,0.041772556,-0.08549538,-0.17353906,-0.14441365,-0.05506641,0.0748738,-0.026154947,-0.071449935,-0.033722147,0.10764447,-0.10348098,-0.112259634,0.15475233,-0.03057661,-0.13926953,-0.056935154,0.0959238,-0.14755721,-0.07448546,0.13194603,-0.20132264,0.08175853,0.013989098
13,0.017275482,-0.035077963,-0.157979,-0.033770125,0.109867685,0.14782885,0.021597791,0.088740714,-0.019834094,-0.088255994,-0.13718542,0.102064095,-0.16589206,0.021634718,-0.13027921,-0.039729215,-0.15452784,0.07047378,0.10810805,0.1415145,0.09433728,0.005896381,0.056627546,-0.06600243,-0.038920693,0.1134474,-0.14218992,0.052699193,0.13882163,-0.06627607,-0.18481821,0.14979582
