row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.12615295,-0.025292654,0.020664725,-0.057345804,-0.11203139,0.12751499,0.14152856,0.10332578,0.026454076,0.048361756,0.0010660265,-0.0969054,0.02903268,-0.07282097,0.12188451,0.07560075,-0.11452317,0.07791054,-0.13515273,0.04250533,-0.09665128,0.14788859,0.06024023,0.037950665,0.07880223,0.12156085,-0.09706048,-0.19767787,-0.08972487,0.089627385,0.019859526,0.04572525
1,-0.062389433,-0.10155495,0.1199551,0.094879225,0.1801261,-0.15082231,-0.14638938,-0.039468385,0.0355313,0.028602133,0.12827821,0.12633635,0.13408262,0.1500901,0.071474895,-0.023114154,-0.16458565,-0.08739833,-0.009539632,-0.10218177,-0.0735487,-0.070491664,0.032730434,0.051200774,-0.16183342,0.07875336,0.071611874,-0.11822505,0.0714775,0.08116972,0.045971274,0.06521883
2,0.079069264,-0.042722587,-0.004359608,0.01690086,-0.036756746,0.059955835,-0.004313246,0.03225816,-0.07618967,-0.017349282,-0.07882756,-0.02245869,0.1445879,-0.088858664,-0.085718356,0.110939644,0.082785174,-0.07631122,0.027148617,0.00124133,0.018422183,-0.051106524,0.10374943,-0.113861546,-0.030071646,0.07337369,0.08199524,-0.09212228,0.08108372,0.07517198,0.018075772,0.02030274
3,-0.074825525,-0.035507694,-0.067682184,-0.057869606,0.080067396,-0.020966038,-0.07169192,0.06300466,0.05578786,-0.023146385,-0.096991725,0.010603264,0.027402958,-0.033020996,-0.06284717,0.10256969,-0.03319859,0.064865075,0.027745571,0.04542103,0.03260721,-0.037421394,-0.032823905,-0.026450695,-0.03038073,-0.00072895555,-0.022763694,-0.068593115,0.069749825,-0.0046947123,-0.1371404,0.039793544
4,0.122384444,-0.12664054,0.029506106,0.028048499,-0.044709496,-0.041647248,0.026426673,0.038200896,-0.07363255,-0.043715507,0.053834535,0.061526228,0.15367189,-0.107019864,-0.06659123,0.10929342,-0.10975195,-0.12191321,-0.035585567,-0.059930407,-0.14287318,0.032834128,0.010318427,-0.090594314,-0.023680892,-0.044055793,-0.04826442,-0.0421211,0.12433142,-0.010845,0.020161407,0.042421095
5,-0.03618385,0.06807698,-0.13267395,0.015053203,0.07995383,0.02500202,-0.022369472,-0.1339951,0.061041366,0.050344802,-0.070413955,0.10546243,-0.14102866,-0.030975394,0.09592267,0.006638986,0.19147511,-0.15357558,0.13235018,-0.074482694,0.027946368,-0.120144546,-0.15339805,0.14325242,0.061793063,0.20799553,0.22082767,0.040949035,-0.01604213,0.10466244,0.19233972,0.059822112
6,0.1682411,-0.10661786,-0.048082784,0.012158643,-0.06458464,0.043299176,-0.03975463,-0.06300242,0.02499249,0.11636391,0.075495414,-0.042115603,-0.07771822,0.13521622,0.0515094,0.062261008,0.07031422,-0.17326899,-0.011905377,0.14137655,-0.12928846,-0.082332134,-0.062902324,-0.10342808,-0.112207524,0.04406091,0.05517916,0.17271107,0.093197234,-0.098731324,0.115293294,0.1964546
7,-0.18668047,0.06756108,0.119169876,-0.036741,-0.085989386,0.12646744,-0.087853275,0.048999045,-0.10547394,0.101481214,-0.21044248,-0.1146761,-0.066285215,0.07655145,0.072242975,-0.0026054445,0.08723936,-0.0717332,-0.033253267,0.11242172,0.04190095,0.0006661771,0.122748315,-0.12845258,-0.022077067,0.049295712,-0.09560883,0.041889038,0.11825896,-0.13516246,0.15826258,-0.06495714
8,-0.07604393,0.14637081,-0.034058463,0.018632751,0.06545604,-0.011297304,0.030346857,-0.032857276,-0.1350293,0.12200477,0.04718875,0.024096698,-0.05041884,-0.10233442,-0.20114574,0.074720725,0.15746155,0.15053372,0.071740404,-0.1811532,0.09086334,-0.06025876,0.16232009,0.09429029,-0.06479631,0.11803977,-0.1640693,0.07587503,0.12193558,0.050761566,0.16554753,-0.088000506
9,0.103708245,0.12375937,0.1438468,-0.086993665,-0.0049750786,-0.18033461,-0.004568283,0.034107547,0.14715767,-0.14245385,0.0041661467,0.025401326,-0.05732023,-0.013232637,0.17528452,0.14679985,0.06969723,0.024008349,0.14732377,-0.0644297,0.043040257,0.06058866,-0.078872725,-0.12634102,0.19996844,-0.009898232,-0.032904852,-0.101803504,0.1406063,0.22243492,0.041536417,0.021640794
10,-0.006698466,-0.036829975,0.062326334,-0.013332561,-0.02532871,-0.011345743,-0.034716018,0.09240204,-0.09612175,-0.0074005118,-0.01739344,0.04765531,0.09208176,-0.050633967,0.07843026,0.06091107,-0.023406742,-0.00057857414,-0.0064903237,-0.07762044,-0.1464082,-0.081379555,0.04670629,-0.0030150127,-0.014436699,0.096633226,0.09214648,-0.0763155,0.014340708,0.08711952,-0.018661916,0.008819354
11,0.100703314,0.036131024,-0.10632293,-0.0018127986,0.18772066,0.13585232,-0.006142269,-0.11943481,0.04593089,0.026930327,0.013386249,-0.05978087,-0.012177922,-0.16321555,0.16562483,-0.16851304,-0.15410395,0.047079824,0.007169032,-0.022083743,-0.07528904,0.09637208,0.11028223,0.08408231,0.09497584,-0.0122662075,0.08951724,0.037544373,-0.006207376,0.21716833,-0.022133213,0.068364464
12,-0.000799519,0.09542719,0.09222924,-0.008272712,0.06660248,0.045826953,0.09230218,-0.088184126,-0.11421275,-0.10416607,-0.13318811,-0.05585701,0.12487245,-0.062207736,0.056886755,0.034662068,-0.14625613,-0.030295141,-0.08874309,0.005440342,0.062131673,0.053305987,-0.07287672,-0.11527705,-0.04458098,-0.020596003,-0.15713453,-0.010091667,-0.057554107,-0.0012875289,0.13989457,0.043270055
13,0.18740202,-0.06821834,0.028599447,-0.03221,0.073053606,0.034983177,0.17788172,-0.09836249,0.15093209,0.17742693,-0.013265631,-0.042007115,-0.1269799,-0.067491665,-0.15531299,-0.102875754,0.013255475,-0.12890466,0.082998164,0.14675622,-0.13439585,0.06423337,0.066344574,-0.042373925,-0.032936662,-0.16030023,0.0330638,0.05162932,0.011336929,0.09811234,0.042604636,-0.00043733316
14,0.008789448,-0.016973443,0.011168552,0.043622617,-0.0049125566,0.03719146,-0.03504996,-0.029655026,-0.08147088,-0.1803463,0.049476255,-0.09397637,0.0931309,-0.022991046,-0.033388164,0.10602561,0.075679846,0.00061908364,0.11452538,-0.016048621,-0.038511403,0.0001147038,0.0118007455,-0.07384107,-0.06821068,0.07020306,0.044922512,-0.015450739,0.03679727,-0.017059036,-0.07676416,-0.014936431
15,-0.10436162,-0.11157663,0.09032083,-0.057551496,0.16989218,-0.006928141,-0.018787786,-0.0014429262,-0.093995005,-0.13370523,-0.059603132,-0.09590356,0.025082598,-0.11312324,0.0902528,0.11418243,-0.10271407,0.14953727,0.08084,-0.20329836,0.015908781,-0.068160266,0.14061604,-0.043603145,0.0857625,-0.060934562,-0.13308986,0.079600714,0.11766893,0.13177076,0.022306858,0.118016765
16,0.020655178,-0.17552437,0.034848902,-0.117207795,0.1401099,-0.14586079,0.070936956,-0.079769604,-0.09283146,0.057422426,0.111575656,-0.024053536,-0.1797625,0.062302627,0.011036488,-0.0064380555,0.12607893,0.10364879,-0.029198643,0.099281944,-0.074045405,0.15154572,0.02138693,-0.11571565,0.109138764,-0.03734529,0.18604593,-0.119505174,0.026259795,0.032801278,0.13089979,0.026982041
17,0.117110826,0.01568617,-0.05023693,-0.025145527,-0.14584929,-0.19008853,-0.117819935,-0.043989442,0.10431026,0.021805543,-0.075337976,-0.13866892,-0.089219645,-0.076676786,0.06489543,0.19406511,-0.16395444,0.060843542,-0.050615888,0.0111051425,-0.006264519,0.0106610255,-0.17342901,0.097887166,0.004545266,0.014167304,-0.148486,-0.09310375,-0.011598387,-0.071532585,0.034826756,0.08690271
18,0.084801964,0.030187072,-0.015089176,0.08989338,0.0773348,0.079902,-0.19882831,0.17052548,0.040474758,-0.18115076,-0.18570381,0.0872322,-0.014688509,0.05436414,-0.08364216,0.18618475,0.028925246,0.06681076,-0.050927017,-0.017044166,0.0115006715,-0.004538811,-0.099125996,-0.23325406,0.02030545,0.060656037,0.14657031,0.027681174,-0.026308026,-0.0159899,-0.09850975,0.031990506
19,-0.019188456,-0.14827874,-0.007694744,0.014838748,0.05538303,-0.10944614,-0.07159201,0.017235676,-0.03009377,0.1288045,0.09104819,-0.021110551,-0.020283578,-0.09070265,0.20172903,0.07537312,-0.059777174,-0.14806345,0.08526883,0.12001088,-0.05980712,-0.03420559,0.04556265,-0.07669163,-0.058271877,-0.07469156,0.10485587,-0.1172646,-0.10737836,-0.11959785,-0.051660098,0.053164095
20,0.08863596,-0.02039054,-0.042418644,-0.018944003,-0.0924472,-0.021378363,-0.17724611,-0.06329154,-0.1589627,-0.016239636,-0.09078342,-0.03761975,0.040730637,-0.1587798,0.06635837,-0.00039067632,0.15202239,-0.080493174,0.10557975,-0.11013927,-0.05518227,-0.028241934,0.1549889,0.02117319,-0.15575063,8.679433e-05,0.14154728,-0.015660957,-0.106039405,-0.09587747,0.0544738,-0.15476125
21,-0.08207866,-0.16521327,-0.027354011,-0.027600838,-0.13702554,0.029484816,0.13490634,-0.10276449,0.06442743,0.15268573,0.06943577,-0.20172663,-0.018052632,-0.10403929,0.17089772,-0.10061531,0.10776403,0.023871949,-0.10595903,0.019604517,-0.02655687,-0.124768905,-0.061087545,-0.09095171,0.108221084,0.072864175,0.13953413,0.011946753,0.0647635,-0.00793933,-0.09750685,0.23068148
22,0.0034151461,0.031061944,-0.06897147,-0.21255627,0.17687789,0.067499235,-0.07727294,0.04878544,-0.17520344,-0.1920006,0.031520873,0.0969709,-0.056594208,-0.18125233,0.112924464,-0.020167446,-0.14898561,0.07616165,0.023134971,-0.17978519,-0.14946225,0.09327287,0.020642659,0.0699924,-0.064567454,-0.042892713,-0.10532771,-0.1694169,-0.01356384,0.18052241,0.064278044,0.14778471
