user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14,t_15,t_16,t_17,t_18,t_19,t_20,t_21,t_22,t_23,t_24,t_25,t_26,t_27,t_28
0,-0.9980916,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.99840677,-0.9977881,-0.9977881,-0.99808216,-0.9988391,-0.9979508,-0.9980383,-0.9967956,-0.9979011,-0.9983348,-0.9981199,-0.99788904,-0.9968953,-0.9984517,-0.9980753,-0.99869734,-0.9965642
1,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.9907135,-0.97109485,-0.97109485,-0.9885448,-0.9885448,-0.98894894,-0.986339,-0.9933165,-0.9933165,-0.99280345,-0.9962227,-0.9905856,-0.993037,-0.9751689,-0.9944733,-0.989377,-0.989377
2,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.9506049,-0.21756178,-0.21756178,-0.21756178,-0.21756178,-0.21756178,-0.21756178,-0.9955521,-0.9955521,-0.9819633,-0.9819633,-0.9819633,-0.9819633
3,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,0.08931208,-0.99655557,-0.99655557,-0.99655557,-0.99655557
4,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.9823054,-0.0006055534,-0.9983479,-0.9983479,-0.9983479,-0.9983479,-0.9983479
5,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661,-0.1467661
6,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.9924495,-0.996347,-0.99938047,-0.99938047,-0.99938047,-0.99938047
7,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448,0.42195448
8,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184,-0.5034184
9,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.98579556,-0.7387673,-0.7387673,-0.7387673,-0.7387673,-0.7387673,-0.7387673
