row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.114667006,0.13162981,-0.04232617,-0.038166594,0.15893862,0.030681524,-0.1049784,-0.1146133,0.044250365,-0.013074458,-0.046434134,-0.07967559,0.043240894,0.08673411,-0.03929196,-0.1352557,0.09044003,0.065099776,-0.123672,-0.09900251,0.06575635,0.1411919,0.026334643,0.19089997,0.04958756,0.14260496,-0.039288085,-0.05169679,-0.022498371,-0.009797941,0.046293423,0.09527247
1,0.11112254,-0.053268936,-0.07052213,-0.20825413,0.20347357,0.29717332,0.16823381,-0.25220606,0.059555553,0.15417601,0.07862865,-0.23683006,-0.07089222,-0.061979353,0.13430999,0.15080814,0.064123854,-0.044089638,-0.1462603,-0.05270744,-0.116563626,0.055297595,-0.17248195,0.12531094,0.021339718,0.1222107,-0.013837233,-0.18285866,-0.13002868,-0.015478292,-0.11207995,0.065595664
2,-0.17605637,0.18514793,-0.03924059,0.102707915,0.18255113,0.14192614,0.08911723,-0.16771613,0.17761858,0.15819937,-0.023159886,-0.18292058,-0.11907429,-0.094184116,0.15002292,-0.1263732,-0.17714676,-0.01457723,-0.16476178,-0.11972036,-0.0530403,0.03817918,0.058398936,0.017725704,0.05137003,0.0815256,0.1320996,0.15044956,0.09815921,-0.1519599,-0.116078064,0.019555606
3,0.004001049,-0.017069379,0.117985286,-0.10894577,-0.10549485,-0.06872833,-0.008178263,-0.031731486,0.05410291,-0.05490663,-0.08666346,-0.057584647,0.07961911,0.07990882,-0.0893859,0.10501126,-0.14981893,0.084183745,-0.16679175,0.00915471,-0.09390243,-0.01826535,0.12608019,0.1147857,0.13768862,-0.14794278,-0.025792263,0.19225223,0.08837253,0.14096008,0.12703274,0.098807015
4,0.07642471,0.10118865,-0.002513095,-0.051935125,0.23327917,0.41084573,-0.06950375,-0.18470962,-0.10800445,0.0680191,-0.13890567,-0.12448828,0.027633566,0.14657965,-0.004787257,0.096918344,-0.04328497,0.10317941,0.057384655,-0.028836451,-0.048939172,0.10115732,0.079334006,0.1828074,-0.1045576,0.017367203,-0.13568267,0.002451893,-0.027098846,-0.015623743,-0.012054519,-0.21155606
5,0.056270782,-0.0990894,0.09481349,0.17596066,-0.03530361,-0.13000904,0.07342915,-0.100709,-0.10520435,-0.099053144,-0.016119633,-0.06969056,-0.082423896,0.091940776,0.05079355,0.074135095,-0.025038831,-0.06440734,-0.05200105,-0.1352243,0.13091806,0.04682749,0.11949414,0.08182311,-0.033124156,-0.12005166,-0.027268697,-0.16756915,-0.13735245,-0.027935408,0.053880367,0.056541245
6,0.04973083,0.11405869,-0.029514926,-0.082476795,0.26265776,0.2283304,-0.0903495,-0.06345404,0.0473743,-0.10354313,-0.099687375,-0.10170779,-0.2025767,-0.089576,0.08810082,-0.031254828,-0.10944623,-0.026449535,-0.06426947,0.11138724,0.06601759,0.09414302,0.014483283,-0.018278409,0.03678739,0.16373546,-0.038462095,-0.048753854,-0.1375353,-0.13118453,0.093544975,-0.1745657
7,0.09723073,-0.056279127,-0.03171674,-0.026415678,0.067608654,0.2404861,0.12553038,-0.14570223,-0.16608332,-0.10940951,0.06649429,0.0590675,-0.03351301,0.087633096,0.07922131,0.06741689,0.10659902,0.1224458,-0.13954507,-0.0645079,0.0059365453,0.10906234,0.078412384,0.059040368,0.014266104,-0.04640644,0.04399494,-0.077342205,0.03159853,0.17942406,0.0888001,0.1615549
8,0.116349936,0.058980845,0.117452204,0.0056452844,-0.034044184,-0.14854069,-0.19919796,-0.11093283,-0.083898544,-0.07059663,-0.047720898,-0.06037754,0.15082398,0.050242137,0.13237707,0.06683471,0.10077848,-0.18069324,-0.063453615,0.0384415,0.181726,-0.03916394,-0.09624694,-0.15253082,-0.13669741,0.1400941,0.0472576,-0.1315943,0.1390536,0.05416635,0.064064875,-0.045462348
9,-0.070873186,-0.021703793,0.023668783,0.008252111,-0.18806122,-0.11436998,-0.025766736,0.15354556,-0.124942504,0.1121734,-0.106323704,-0.10855083,0.16056865,-0.15196334,-0.1948051,-0.15500441,-0.112536505,-0.0632358,-0.14635359,-0.11590166,-0.022422576,0.0570258,-0.077873036,0.10201386,0.14337318,-0.045260765,0.21791384,0.021002496,0.04929425,0.15881737,0.1480814,0.0033727814
