row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.021996263,-0.028855635,-0.014794896,0.017329227,-0.026582904,-0.016192185,-0.031136183,0.037016895,0.050215766,0.00658548,-0.014300371,-0.0039087986,0.029819831,-0.046366867,-0.02003536,-0.036710832,0.030175209,0.019570723,-0.035385244,0.043177046,-0.034023527,-0.025311552,0.03522324,0.021063603,0.02146259,0.03157565,0.036175843,0.038809672,0.008583153,-0.071995474,0.035613813,0.021056026
1,0.024000404,-0.035347007,-0.11891675,-0.12520236,-0.04124579,-0.057932094,0.024160204,-0.06283567,0.030689698,-0.12206903,0.003203985,0.059096463,-0.012212452,-0.10411353,0.13636582,-0.038306437,-0.00451689,-0.038447745,0.023234146,0.024994548,0.06621302,-0.10272739,-0.11364924,0.15162365,0.06785425,0.058219735,-0.030801792,0.007409452,-0.112681344,0.050710898,-0.037260555,0.045461297
2,-0.027781263,0.06500475,-0.0022787442,0.0019620783,0.08005079,-0.16069873,-0.039944436,0.050076053,-0.086414576,0.021190811,0.063205905,0.06369857,0.14425442,-0.02955711,-0.03568274,-0.17959467,-0.015029709,-0.076412454,-0.19841091,0.13686106,0.06802805,0.020882744,-0.028471643,0.11993765,0.004880465,0.02350531,-0.15634623,-0.06193424,-0.051521853,-0.13515708,-0.105553746,0.018412258
3,0.06065192,0.043702494,-0.09706947,-0.108380504,0.04489636,-0.033090312,0.04309271,0.2029806,0.079100534,-0.1942828,-0.053459506,-0.031575084,0.095791705,-0.06456008,-0.01919637,-0.20792569,0.19027483,-0.06871887,0.06713068,-0.0012703412,0.10140934,-0.17920294,-0.15175882,0.029982874,0.14395356,-0.017155888,-0.08017715,-0.04410178,0.08278698,0.018842088,-0.13723938,0.064643934
4,-0.009821584,-0.15157454,-0.08009823,0.07381741,0.08832135,0.0649284,-0.051236086,0.009607521,0.0022545885,0.1475785,0.072299376,-0.07895559,0.15671605,-0.18240981,0.044702455,-0.09720526,-0.0472173,-0.051589366,-0.10337091,-0.090380095,-0.10446555,-0.1250854,0.1756867,0.03331775,-0.11597714,0.14041112,0.14449066,-0.12868807,-0.17387919,-0.018267874,0.095500745,-0.11601621
5,-0.15889396,0.15363553,-0.030343262,0.15829179,0.039019253,0.07889486,0.059633967,0.053972267,-0.030795865,-0.14647022,-0.11025711,0.1419969,-0.06786795,0.06821398,-0.02403198,-0.11275465,-0.008669823,0.033985887,0.16354132,0.16096044,-0.03156395,-0.13524437,-0.09752157,-0.079887904,-0.053126067,-0.1181191,0.07847396,0.1057567,0.17504695,-0.16128631,-0.09696021,0.050381213
6,-0.11724881,0.13185501,0.036380168,0.13970229,-0.16671237,-0.17030649,0.08179618,-0.14794701,0.0029776806,0.0790991,-0.03220058,0.23618597,0.01951183,-0.106154576,-0.07928183,-0.05766585,-0.06783029,-0.121929355,0.016184006,-0.1194365,0.1140739,-0.027204365,0.06829154,-0.0708479,-0.008708717,0.17316231,-0.018488519,0.17042907,-0.097984344,0.02213178,0.104840904,-0.13449693
7,-0.039207403,0.027861118,0.051950354,0.13460761,-0.057034098,0.25679123,-0.06762387,-0.184253,-0.114192255,-0.050284263,0.22392492,0.17294459,-0.12578431,0.06427245,0.1894441,-0.110892996,-0.08727797,-0.009423952,0.1746064,-0.07392868,0.015770743,-0.10405514,-0.15383,-0.04474265,-0.023090553,0.06811162,-0.029572655,0.05995247,0.26491827,0.07207582,-0.0198428,0.21473375
8,-0.014207881,0.08972849,0.030404491,0.017763043,-0.1286084,-0.07846447,-0.030180242,0.10346547,0.06558783,-0.18796672,0.054085445,0.12045149,-0.06847374,0.0896218,-0.093996644,0.12882398,-0.00031426217,0.0068756985,0.07399029,0.05758031,-0.07150414,-0.06789076,-0.015412328,0.17714775,0.02164962,0.20528996,0.117836036,0.0076586,-0.027783593,-0.047036514,0.08660112,0.0237449
9,-0.14956321,0.17218259,0.053712506,0.06843163,0.052469634,-0.07051301,-0.08984336,0.080599636,0.100203164,-0.10906592,-0.09892114,-0.09070593,-0.031845447,0.01744489,0.0258006,-0.07604441,0.09996903,-0.004777109,-0.10401319,0.07795285,0.033218086,-0.1005035,-0.03763333,-0.18411902,-0.045578588,-0.06608409,0.038039073,0.045148004,0.036850225,0.02062509,0.11743718,-0.08650741
10,0.09556726,0.019045088,-0.11771494,-0.053638153,0.032366816,-0.079069994,0.14220856,0.008112708,-0.07942297,-0.1334644,0.003074164,-0.023897652,-0.015164773,0.013522024,-0.08665831,-0.025877016,-0.014986693,-0.056387916,0.14836594,0.11627482,0.012072186,0.11163366,-0.01462739,0.061433457,0.13781877,-0.024532681,0.018290928,-0.052218292,-0.11499535,0.1145417,-0.05184946,-0.15644982
11,0.0309488,-0.01763542,-0.098134756,0.110613465,0.026552873,-0.01009283,0.000998522,0.11505361,0.12187381,-0.061458915,-0.054281477,0.006596978,0.0006682473,0.05318936,-0.023194736,0.022931958,-0.00449483,0.061101377,-0.077588215,0.0035617838,-0.05137775,0.007559051,-0.04009081,-0.07679207,0.10307573,-0.010440487,-0.0038618578,0.023593254,-0.07378417,0.07827628,-0.0016629738,0.018272752
12,-0.014732062,0.023508504,0.06058062,-0.0296566,0.029086769,0.04585493,0.015525386,-0.035179477,-0.01825143,0.023053562,0.0314134,0.017235488,-0.038764626,0.0015973656,0.0312128,0.006662636,-0.012358588,-0.015157975,0.0160667,-0.020627538,-0.12924097,0.021852596,0.01685514,-0.028953187,-0.020853013,0.08030316,-0.04452978,0.0072761187,0.02931936,0.015190049,-0.034587733,0.036689304
13,0.002075387,-0.00010697091,-6.760122e-07,-3.440076e-07,5.0652743e-06,2.6764405e-07,4.9021907e-08,0.0001433219,0.0026508265,-0.00084548065,4.7814774e-06,7.959834e-07,1.10646276e-07,1.3186469e-06,-4.383283e-07,6.4538597e-07,0.00079564535,0.00017429903,-0.0021888025,2.4804149e-05,9.555209e-07,-0.00027149075,1.2512523e-07,0.0008116327,7.017998e-05,-3.4683926e-06,-6.5961603e-07,-1.1064512e-06,1.7282991e-06,-0.00084283185,4.2336083e-08,1.3989584e-06
14,0.04034946,-0.024248907,0.07999005,0.2044095,0.036626976,-0.08405707,-0.017960755,0.13452773,-0.08003634,0.11681747,0.14220087,-0.047102615,0.1556104,0.09318476,-0.14273617,-0.040173702,-0.16256906,-0.09228781,-0.08513175,-0.038651336,0.11374299,-0.021862648,0.19525693,-0.108120546,-0.016698953,-0.011694987,0.09831118,0.07828778,-0.10388044,0.0016755061,0.031049542,0.017971272
15,-0.08796023,0.056529608,-0.089645155,-0.03412,-0.1316921,-0.044050906,-0.18951826,0.1488658,0.011755899,-0.019119402,-0.06288641,-0.11437482,-0.01601682,0.021153402,0.1132028,0.07673918,0.044777073,-0.108323336,-0.06367988,-0.042893354,-0.08726129,-0.19282416,-0.070406504,-0.078669526,0.063552804,-0.17030807,-0.018630415,-0.01691274,0.14266545,-0.07624924,-0.07367765,0.038721614
16,0.044348728,-0.08901081,1.6526041e-08,-0.011900227,-0.008304059,0.005059797,-3.0497004e-06,0.0007188093,-0.01630456,-0.038062077,-0.019545816,-0.00077396573,0.0012636251,-0.0023191893,-0.00073707855,-0.00060874404,-0.06743042,0.040268067,-0.095604554,-0.0050299363,1.5145561e-05,-0.007296956,-0.0038695903,-0.03737729,-0.03326608,0.014451713,-0.0142092295,-0.014317522,0.00537488,-0.0505884,-0.004968002,-4.2505525e-07
17,-0.032061625,0.04492321,-0.16569743,0.07583211,-0.013428892,-0.039337132,0.14053416,-0.036040638,-0.06481016,-0.026763836,0.12830974,-0.15793538,0.08276123,0.007590119,-0.08432424,0.18073763,-0.10593795,-0.023909198,0.021053763,-0.17609464,0.08957872,0.18459569,0.07438206,-0.0029843426,0.019821167,0.16262373,-0.14517458,-0.028087974,0.18588471,-0.1657173,0.039009146,0.26647702
18,-0.16021681,0.13599333,-0.07780271,0.17518815,0.10049537,0.055141754,-0.040745426,-0.20434451,0.05568804,0.001932686,-0.029510226,-0.12658031,-0.038524702,0.03704605,0.01590586,0.065918684,-0.20452331,0.08463436,-0.08515375,0.124453455,0.13064198,-0.13696522,-0.1416718,-0.065620676,0.117655516,0.09508191,0.10478885,-0.14709046,0.1401694,-0.0117233405,-0.046079922,-0.22534792
19,0.0022227901,0.023909954,0.01833606,-0.021962643,0.006891704,-0.0028619498,1.17153675e-07,-0.08493012,0.04981622,-0.10773411,-0.1375599,-0.0483569,0.05617159,-2.3788368e-06,0.01352389,-0.02065027,0.07535237,4.2468793e-05,-0.0038505874,0.12470746,0.02717606,-0.0028882478,0.01239798,-0.050362837,0.029579211,0.13139205,-0.102751866,-0.069460765,-0.12179537,0.041359887,0.06398434,0.0059551382
20,0.07308041,-0.12302008,0.18729463,0.044018332,0.07450837,-0.04350512,-0.1404485,0.0031323987,0.034317356,-0.15396795,-0.08560901,-0.08359685,-0.056180615,0.10745933,0.08832576,0.05967802,-0.1486121,0.10431526,0.09600164,-0.029869363,-0.06321244,-0.1898278,0.13430591,-0.14560214,-0.08009038,-0.047777127,0.18563944,-0.0018328994,0.08917299,0.031197354,0.18460552,0.13350384
21,0.13775437,0.052832488,-0.0063225967,-0.07395456,-0.010712537,-0.11359571,-0.046324253,0.037258707,-0.033460725,-0.046702787,0.06666742,-0.023614425,0.040048327,0.06431306,0.10860431,-0.090492025,-0.03051075,0.05140617,-0.017763006,-0.03717314,-0.006320677,-0.07274021,-0.042465057,0.010766817,-0.029755414,0.01160721,-0.05352682,0.15419123,0.039627735,-0.061556313,0.04248518,-0.08799126
22,-0.014599171,-0.0759256,0.057994734,-0.047092587,0.018297479,-0.113987006,0.004422365,-0.029501785,-0.0022172015,0.0106815165,-0.07200527,0.0010487854,0.07005604,0.123796076,0.10029956,-0.060377277,-0.0107935425,-0.04371552,-0.061573807,0.013185985,-0.04130198,0.026373357,-0.015893586,0.13734777,0.03445174,-0.078113884,-0.00460302,-0.023312526,-0.17193806,0.083149485,0.03867501,-0.09121254
23,-0.017189391,1.3828947e-06,0.0015003439,0.00017988186,-0.003859645,7.936947e-07,-0.004695518,3.408359e-05,0.006744324,0.00047324548,-3.016014e-07,0.00037069962,-0.0017152003,-0.043844495,-0.01979407,0.025694154,0.032020155,-0.013273886,-0.0076486133,-0.01227758,-0.016403966,-0.0018395875,-0.011416046,0.005479834,6.907603e-06,0.0060724877,2.293855e-06,0.03967566,-0.01659905,-0.012724497,0.0006153049,1.5610198e-06
24,0.07126669,0.0039598765,-0.0015210152,0.0066648643,-1.994175e-07,-7.973534e-07,8.919297e-07,1.6778176e-06,-0.00010897752,-1.3909448e-05,-0.007207678,-4.4720687e-06,-8.252723e-06,1.8051807e-05,0.016493171,-3.500846e-06,0.037171718,0.017662104,-0.019223507,0.0029462797,0.026446473,-2.1249998e-06,1.0629516e-06,0.013040878,0.0015239791,-0.015686149,-0.0015797891,0.0032386247,-0.005147046,0.0355802,0.0026486176,-2.5059176e-06
25,-0.11364129,-0.034428064,-0.0069524506,0.11525946,-0.10403216,-0.22675128,0.05953216,0.35285783,-0.098168865,-0.010694751,-0.10784389,0.13916901,0.034242306,0.005680355,0.13044593,0.012899896,0.0868613,0.029620087,0.032959364,0.1253624,0.081876144,-0.06438779,-0.11053203,0.017869333,-0.011872855,0.018975785,0.03486302,-0.05976223,-0.005126204,0.01855104,-0.028128423,-0.2009387
