user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,-0.9883615,-0.9511548,-0.99692327,-0.98711175,-0.786884,-0.99725103,-0.94789785,-0.94789785,0.029336363,-0.9916595,-0.97352225,-0.9610792,-0.015717136,-0.996613,-0.49549994
1,-0.937954,-0.89993405,-0.9897683,-0.9721495,-0.9721495,-0.9721495,-0.97981256,-0.49795148,-0.43768677,-0.9872762,-0.9928072,-0.48382375,-0.72857875,-0.9973872,-0.9973872
2,-0.6075713,-0.7755539,0.49439836,0.49439836,0.9477137,-0.99822766,-0.99822766,-0.0153307915,-0.84035295,0.50112283,0.45472813,-0.98992866,-0.1976751,-0.49156094,-0.49156094
3,-0.893658,-0.7562507,0.4909753,-0.9948198,-0.9961604,0.71922517,0.71922517,0.71922517,0.71922517,0.71922517,0.71922517,-0.93284327,-0.93284327,-0.93284327,-0.93284327
4,-0.99120593,-0.99120593,-0.99120593,-0.99120593,-0.99120593,-0.99120593,-0.99120593,-0.99120593,-0.99120593,-0.9873914,-0.9210628,-0.4982216,-0.963142,-0.963142,-0.9967841
5,-0.99926835,-0.99926835,-0.99926835,-0.99926835,-0.99926835,-0.99699205,-0.991312,-0.9934207,-0.9934207,-0.99344504,-0.4892838,-0.9991443,-0.95219463,-0.99780875,-0.9683753
6,-0.99818766,-0.99818766,-0.99818766,-0.99818766,-0.99818766,-0.99818766,-0.40227854,-0.40227854,-0.4976309,-0.9973688,-0.7493319,0.4048744,0.4048744,-0.99822766,-0.99822766
7,-0.9982167,-0.9982167,-0.9959222,-0.9473634,-0.999521,-0.99312854,-0.99312854,-0.0011599958,-0.0011599958,-0.5032191,0.9954064,-0.86805785,-0.99659866,-0.9977975,-0.99863464
8,-0.99311495,-0.99834466,-0.99834466,-0.9956703,-0.9956969,-0.9989856,-0.9989856,-0.9989856,-0.9989856,-0.9989856,-0.9989856,-0.9989856,-0.9989856,-0.0012171566,-0.0012171566
9,-0.9371884,0.008205503,0.008205503,0.014480785,0.014480785,0.014480785,0.014480785,0.014480785,0.014480785,0.014480785,0.014480785,0.014480785,0.014480785,0.9912962,0.9912962
