row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.008303611,-0.055360347,-0.047957074,0.06146768,-0.037473314,0.017986558,0.12258552,-0.0378924,0.19000939,0.04670769,0.055524424,-0.14685473,-0.035796367,-0.050360616,-0.17277803,0.058848962,0.20239528,-0.0151559245,-0.077154644,0.102485925,-0.13538487,-0.048477262,-0.14129674,0.07346915,0.024348414,0.058787245,0.020037208,0.027586257,-0.15895015,0.09200096,-0.06030924,-0.022334361
1,-0.081973806,-0.12385759,0.09103683,-0.11543546,0.0724029,0.008598513,0.17347701,0.026051734,-0.044951674,-0.13648915,0.08997531,-0.09797427,-0.0006926827,-0.122973464,0.14154974,0.09405196,-0.06027192,0.060227428,0.13798632,-0.025359387,0.12900104,0.08079021,0.10548941,-0.01168558,0.123220086,0.16688329,0.08411171,0.13514616,-0.09986991,0.06907968,0.11991942,-0.05927981
2,-0.14268015,-0.10824802,-0.05518562,0.016321484,-0.1401476,0.05834177,-0.0943786,0.20843191,0.09251613,0.040156882,0.054992106,-0.028566163,-0.17637593,0.10514351,0.025813822,0.027452461,0.13610165,0.10951629,-0.018964987,-0.16186269,-0.050096452,0.02274526,-0.033109635,0.19628502,-0.06835211,-0.1507381,-0.092044555,-0.004580589,-0.032912128,0.049856134,0.065816574,-0.13599779
3,-0.077302225,-0.18576139,0.003725113,-0.14762007,-0.09273841,0.10248435,-0.028140726,-0.15902211,0.13144945,-0.032334995,-0.05911019,-0.03264436,0.114072226,0.060896143,0.15546353,0.1506806,-0.03814707,-0.034271475,-0.07339467,-0.11091412,-0.120586015,0.1117358,-0.17302074,0.036819782,-0.06327625,0.13024215,0.11823227,0.013377675,-0.060773917,0.09662508,0.1330701,0.02498707
4,-0.044958655,-0.1145564,0.06664564,-0.022715922,0.017351538,0.03153583,0.14698221,0.08261418,-0.071854636,-0.06135434,-0.17306608,-0.15415573,-0.18018411,0.06083895,-0.14057392,-0.06990655,-0.07283803,0.14036296,-0.0029567122,0.12477664,-0.11762538,-0.102184,0.06644833,0.22945762,0.12834053,0.15175414,0.001347141,-0.014944983,0.07928752,0.15125178,-0.17248116,0.037390053
5,0.071579166,0.034473997,0.060758833,-0.027038068,0.16145103,-0.11477613,0.0626472,-0.1663416,-0.067262426,-0.015746769,-0.14023368,0.008389289,-0.027792748,-0.09899338,-0.072228126,-0.11579414,0.109838694,0.16789287,0.045248363,0.067124955,0.17569357,0.12597509,-0.005565936,0.09544312,-0.11289524,0.11142056,-0.010753851,0.15496626,-0.06123955,0.12055704,-0.06887269,-0.090589695
6,-0.17435583,0.13130173,-0.095324084,-0.09200167,-0.058319323,0.117392346,0.048586335,0.053976767,-0.089543596,-0.20461752,-0.13095982,0.018934736,-0.008757701,4.0678817e-05,0.022602208,-0.027654216,-0.08699498,0.03477201,0.11029224,-0.15739067,-0.11478782,0.103428595,0.090814546,0.10586238,0.1520808,-0.070257016,0.14304526,0.11640396,-0.11757187,0.14069502,0.073199,-0.018033559
7,-0.08046057,0.14373434,-0.13512534,-0.08803683,0.08387319,-0.02035465,0.054016076,-0.195481,0.030887641,0.1471888,-0.15731016,0.1927624,-0.08106976,0.047918297,0.03638432,0.086350836,-0.12266099,-0.10895642,-0.108647235,-0.045636803,-0.15409498,0.119645774,0.113854416,0.08819928,-0.20249747,0.1858019,0.0780146,-0.1953677,-0.11651298,-0.0059237843,-0.023989908,0.052804653
8,0.14331798,-0.012439501,-0.094874695,-0.03293468,0.2141432,0.085814044,0.13933471,-0.18438138,0.024408719,0.12023096,-0.116820104,0.14144963,0.18947081,-0.06648941,-0.14105795,0.08711342,-0.06314362,0.09141379,-0.006378402,-0.16360521,-0.018844144,0.00028120447,0.12830296,0.11022504,-0.053795967,0.060792018,0.09618831,-0.15413074,0.0856263,-0.21219222,0.24151795,-0.118760675
9,0.032269355,-0.097886525,-0.12317355,0.13899791,-0.046122964,0.06636682,0.095661975,0.18177867,-0.0048349933,-0.12347085,0.12887143,-0.019185757,0.09233228,0.043591045,-0.05126786,-0.14903316,0.19945344,0.06307663,-0.094439514,0.055244133,-0.006948921,0.11365663,-0.21254803,0.006659929,0.1067164,0.07119222,-0.064429864,0.003471896,-0.0074726064,0.15505412,0.15317686,0.06519471
