row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.2463474,0.080145,-0.18782955,-0.0032330132,0.0677248,0.061525296,0.12141274,0.10080248,0.12139226,-0.013619725,0.100287706,0.102023855,-0.12424772,0.03217433,0.1597322,0.031415816,0.05523001,-0.13944432,0.08738618,0.044851474,0.020732598,0.12750277,0.09502498,0.18394527,0.023362787,-0.0006957034,-0.023468493,0.025900165,-0.018783355,0.16122115,0.13459098,-0.1631253
1,0.23875383,0.030779975,0.25221506,-0.051659867,0.054224472,-0.25053537,0.21662082,0.054923512,-0.1568721,0.07249657,-0.19204131,-0.23559119,0.067437485,0.069569744,0.078427166,-0.21052247,-0.05502002,0.12203775,-0.00026035626,0.18659058,-0.089378394,-0.015780654,-0.05439784,-0.026438506,0.20001227,0.0681798,0.13838923,-0.19732012,-0.10212424,-0.23246883,-0.09596105,-0.02038536
2,0.08222627,-0.092970215,-0.0023970788,0.133688,-0.03181256,0.15201792,0.091653004,0.0022959504,-0.10737105,-0.15235426,0.032996938,-0.108787075,0.075569615,0.13931328,-0.07832437,0.10315728,0.005854538,-0.1756343,-0.01444967,-0.013995951,-0.13540338,-0.1656455,-0.013754951,0.06974286,-0.094069734,-0.09021844,-0.17707641,0.07068007,0.007266891,-0.055439927,-0.03218401,0.05111648
3,-0.0069281454,-0.08848361,0.14745583,0.003874261,-0.08392089,-0.20204683,-0.0595053,0.15287066,-0.16778226,-0.09962987,0.05172102,0.033108722,0.08325136,0.049251705,-0.10564924,-0.13801259,-0.15245159,-0.020926068,0.0032810294,-0.12312184,-0.15865603,0.08840769,-0.008508636,0.027931178,0.26756972,-0.011551461,0.15323149,-0.19252005,-0.089582756,-0.14924143,0.08398958,-0.054936457
4,0.048253257,0.14785516,-0.2972525,-0.11673902,-0.10403108,0.15380497,0.061740477,-0.011075024,0.09379498,-0.15814707,0.13346249,-0.07398787,0.19806626,-0.051489297,0.14833117,0.15908562,-0.010409347,0.047810975,-0.008416498,0.054055724,0.12350161,-0.015558358,-0.17999789,-0.15231395,-0.23551688,0.021463271,-0.11917084,-0.06392412,0.18259099,-0.01657836,-0.0791789,-0.10078724
5,0.0059994184,0.071414635,0.09045663,-0.040881746,0.1618078,-0.2288034,-0.022047948,0.17371957,-0.08843233,0.14539109,-0.012611602,-0.20614032,0.045656137,-0.19987598,-0.11861956,-0.015704665,-0.041966382,0.19204494,0.18364577,0.04462486,-0.11000306,0.17529736,-0.049020756,-0.09625502,0.25973484,0.06918031,0.054922327,0.0033655143,3.7726422e-05,-0.043071643,0.008491448,0.13739493
6,0.04507759,0.163751,-0.054231104,0.18785146,-0.14900205,-0.06713929,0.12083334,0.10803574,-0.0827258,-0.19963777,0.1734641,0.1645466,0.031019513,-0.030707398,0.04113127,0.065340415,0.24283975,0.104918346,0.10260883,-0.04945777,-0.14714034,0.09926127,-0.035434064,0.17711401,0.037544847,-0.028962197,-0.142242,-0.023228135,-0.09092518,-0.062317174,0.0838574,-0.108537234
7,-0.0849421,-0.08446667,-0.1296116,-0.029129334,-0.06863816,0.060922623,0.1002175,-0.026822707,0.0858697,0.14575522,0.054077625,-0.03488285,0.12677829,0.084039874,0.02202852,0.096381344,-0.078177094,0.04302297,0.0057264534,0.11192311,-0.011740498,0.14294827,0.0048635555,0.13847841,-0.2149618,0.0038364802,-0.120555654,0.13897204,0.15757123,-0.0011056529,-0.05516385,0.17154358
8,0.025300195,0.030613398,-0.02292948,0.1927578,0.031955585,0.117630176,-0.0321927,-0.047830172,-0.039965156,0.03369529,-0.096995205,-0.124219425,-0.060698055,-0.10773972,-0.14298223,-0.10363637,-0.024165612,0.17361754,0.119370624,-0.11124947,0.1725962,0.046740443,-0.20598328,0.03877973,-0.03917366,-0.024869278,0.10635643,-0.1410418,-0.027374366,0.15569533,-0.13023736,-0.08412946
9,-0.15180571,-0.0454808,0.0046542464,-0.06895534,0.13909538,-0.067098446,-0.14907953,0.14834909,-0.21475857,-0.003408963,0.06343889,0.1737627,-0.12014006,-0.019378627,-0.10213684,-0.13179974,0.25179577,0.039733075,0.12722164,-0.025526285,-0.030104687,-0.06348895,-0.14973469,0.049355958,0.013163507,0.018566536,-0.060967516,-0.050954975,-0.10331404,0.14851414,-0.15077169,-0.11294688
10,0.13302831,-0.12395994,0.20382603,0.1305451,-0.12258563,0.075179465,0.070144564,-0.08861199,0.1293568,0.08682062,-0.07009076,0.025641507,0.095031895,-0.05865027,0.013088729,0.13388966,-0.16119704,0.08700503,0.052652683,0.05586041,-0.11442949,-0.17066012,0.07537325,-0.17586347,0.049377613,0.02155936,-0.11148957,-0.011040716,0.08845128,0.12348848,0.0997967,0.17851475
11,0.025727667,-0.054870233,-0.0044642407,-0.023656918,-0.01094469,-0.16179849,0.047911488,0.043308865,-0.095431015,-0.041503847,0.020681657,0.086269945,0.1331677,-0.108477,-0.03630742,0.058820177,-0.22807363,0.06928968,0.17307205,0.111679696,-0.15159206,-0.0054124254,-0.016067492,-0.019201767,-0.033232395,-0.03203848,0.10805972,-0.03795293,0.07097575,-0.12491557,-0.078118235,-0.07733609
12,0.2077714,-0.19007051,-0.024400236,-0.023344709,0.10655311,-0.0114550125,0.061463766,0.07802297,0.10181913,0.19719225,0.033855915,-0.11620509,0.05882706,0.14018936,-0.174247,-0.08477722,-0.0023414583,0.1793013,0.21456316,0.05519758,-0.06364119,-0.10326474,0.014051572,0.16846031,0.002805025,-0.13923581,0.06817013,-0.073278576,0.20224002,-0.0014348743,0.07495302,-0.015977323
13,-0.061233163,-0.12607181,0.022612004,0.14168003,-0.09850342,-0.12935148,0.16808146,0.13928133,0.022135265,-0.16960824,0.03460044,0.0850689,-0.11686057,-0.09892424,0.16212712,-0.19698554,-0.065515995,0.1661065,-0.023380678,-0.14964168,-0.018006776,0.103891574,0.056072824,0.19036937,0.20135583,-0.004290373,-0.01684807,-0.08446895,-0.046375085,-0.15815507,0.10017164,0.053355116
14,-0.009677705,-0.073381186,0.040696573,-0.17557819,0.18081838,-0.18542092,0.10192768,0.07122408,0.04943282,0.07848648,0.022406453,0.10270333,-0.10020031,0.03454532,0.0067638084,0.08451121,-0.126952,0.08440935,0.17280488,-0.0637172,-0.07582512,-0.083959974,-0.08461137,-0.16697633,0.15259433,-0.072197095,0.10034175,-0.028624777,-0.0888147,0.11267405,0.16982083,0.03851175
15,0.14080057,0.064859316,0.03510635,0.109353356,-0.037175365,-0.016702691,-0.117643185,-0.18209855,-0.12711465,0.11038675,0.09924381,0.027482653,-0.0057799057,0.12720485,0.09369108,0.07200747,-0.038701832,-0.07898677,0.059748877,-0.07230173,0.15869904,0.12983766,0.13523874,0.14435354,-0.0046641883,-0.03455842,-0.13938253,0.1411916,0.09575823,0.00011720481,-0.0284635,0.11064087
