row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.06283601,0.060621116,-0.084386945,0.13581908,0.12901655,-0.006939174,-0.0024265333,0.0895314,0.0351612,0.057466462,-0.011980359,-0.04631279,-0.061177168,0.07117326,-0.01725472,-0.15119246,-0.046601452,5.5036417e-06,-0.076371275,-0.00039098307,-0.04760862,0.12193925,0.010412757,0.07806165,-0.0362025,0.019402193,0.053245097,0.009905632,-0.08071486,-0.1490959,-0.0251216,-0.0060472665
1,-0.031488586,0.022739714,0.036911823,0.08167533,0.024669206,4.6992012e-05,-0.030929105,0.006441221,0.031147283,0.015568628,-0.06903559,0.017712655,-0.0032221018,-0.028998451,0.00020633283,-0.04456808,-0.004624068,0.007826283,-0.008658831,0.016760642,-0.024532944,0.090625875,0.008492349,-0.00073069177,0.037954405,-0.0025331136,0.08584677,-0.006647139,-0.06319487,-0.0011109734,0.109118536,-0.0018547591
2,0.39671865,0.012070505,-0.043705344,-0.12028139,-0.03368439,-0.016957466,-0.074297704,-0.09537787,0.1088223,0.11138291,0.05591226,0.025982633,0.035051975,0.2777305,-0.039803322,-0.14110607,-0.2599972,0.015265195,-0.12416383,-0.21813376,0.084420025,0.10599704,-0.02468338,-0.08728629,0.3243631,-0.02660364,-0.16488501,-0.093594916,0.18395819,-0.15383868,-0.15028813,-0.108030915
3,0.49857324,-0.16519883,0.30376828,-0.20895578,0.08221556,-0.29359493,0.12706137,-0.28315952,-0.05153499,0.20181586,-0.26258588,-0.25923222,-0.1347255,-0.046452448,-0.19021884,0.01782492,-0.42208228,0.17040867,0.038393572,0.18654361,-0.18586336,-0.122465424,0.06709986,-0.050308447,0.09169131,-0.044169556,-0.05867016,-0.07470056,0.102103055,-0.068237506,0.0034128344,0.237227
4,0.018410096,0.021503773,-0.118739985,0.017758911,-0.0018823543,0.27173147,-0.03914146,-0.02643791,0.057280548,0.035249986,0.054443665,0.19717748,-0.049955588,-0.008724614,0.13839751,0.12419162,0.028814912,-0.042981673,-0.15511723,-0.19874254,0.37834933,-0.016073132,0.029803947,-0.0023860384,0.017092839,0.09679127,-0.025884813,0.040821474,-0.06201303,0.10310592,-0.05709487,-0.32192042
5,-0.4942698,-0.0052301814,-0.26767212,0.042152885,-0.08181492,0.07211638,-0.03433539,0.2533537,-0.14138891,-0.262738,0.21092802,0.11779379,0.16988,-0.09705561,0.23554191,-0.026284212,0.45947787,-0.20702888,-0.14768772,-0.07837913,-0.14570321,-0.09182333,-0.1668513,-0.12391575,-0.057232004,0.15599954,0.051267236,-0.010416799,-0.27253008,0.11066132,0.08197231,-0.09141433
6,0.18815157,0.03866971,0.025284205,-0.13391961,0.011175076,-0.08347279,-0.15483421,0.071629025,0.10186256,-0.082817055,-0.15405501,0.02118498,-0.1516669,-0.06017345,-0.10957722,0.07265292,-0.04286285,-0.031318314,-0.112752326,0.01230603,0.13283771,-0.16507778,0.12682398,0.01584769,-0.08070925,-0.040525418,-0.12481118,0.07197223,0.15372302,0.010324867,-0.041009855,-0.20059806
7,0.27397844,0.043933798,0.19692194,0.111848876,0.053136196,-0.26874563,0.13869198,0.017114589,-0.0012295947,0.16227652,-0.14859095,-0.30033532,0.087852314,0.06450603,-0.1359926,0.02313255,-0.15805116,0.13615562,0.14481677,-0.057024747,-0.016777694,-0.15848449,-0.095511526,0.041115806,0.13173333,0.03282848,0.109372735,-0.123170845,0.1990433,-0.09652719,0.10350049,0.20931469
8,0.1746506,-0.08260394,0.16326825,0.05655749,0.05527122,-0.15142328,0.09502523,-0.0056437827,0.02650071,0.097710006,-0.09477244,-0.17644067,0.01842982,0.1418257,-0.12538849,-0.10316345,-0.083838336,0.07459189,0.00048202203,0.037573434,-0.049913168,0.015579941,0.065972164,-0.0025678617,0.11729199,0.0859648,0.056138452,-0.07461864,0.078757495,-0.024602605,0.23285513,0.15499713
9,0.16912796,0.16789177,-0.22256818,-0.044961575,-0.028427823,0.18019041,-0.01363649,-0.12184185,0.10173765,-0.17928179,-0.12102966,0.06974026,0.26217425,0.23123263,-0.035054382,0.045732364,0.022193495,-0.0668854,-0.14461645,-0.16162984,0.18198234,0.016384965,-0.031191818,-0.13289948,-0.14101976,0.08055379,-0.009897267,0.093474306,-0.16706723,0.16965337,0.055507887,-0.17645895
10,-0.17316273,-0.017616006,0.064657845,-0.11300364,-0.0018951932,-0.10758019,-0.09048621,0.15712455,0.09341256,-0.11386506,0.10957272,-0.11854504,-0.054102905,-0.19565547,-0.11317071,-0.097639926,0.031294324,0.0718433,-0.14024429,-0.108123064,-0.06989439,-0.083542995,-0.039900776,-0.15404738,0.015373412,-0.1712623,-0.06390015,-0.041810878,0.022952735,0.12465628,-0.055840924,0.18363304
11,-0.29836005,0.1886659,-0.12358281,-0.019333484,-0.025045015,0.018387098,0.13744754,0.14977832,-0.059883956,-0.08762886,0.0058543137,-0.02966026,-0.052905418,0.08118738,0.14001995,0.15737335,-0.010355279,-0.1339923,0.037912805,0.18274787,0.03849088,0.16752984,-0.09435226,0.15036693,-0.12504962,0.05851245,-0.15444542,0.1701532,-0.060909506,-0.04842133,-0.13907836,-0.027359916
12,0.123346224,-0.0901213,0.18432789,-0.015366594,0.053730734,-0.28998354,0.09778696,-0.043799084,0.05308768,0.060393963,-0.33043832,-0.2582701,0.023887932,0.109049775,-0.065128036,-0.17678845,-0.10154832,0.08371729,0.072383955,0.068957515,-0.10771018,-0.05629651,0.040952906,-0.049737576,0.123227164,0.014326895,0.16349672,-0.058374822,0.10652413,-0.13289815,0.28178254,0.2321701
13,-0.005701688,-0.037572592,0.018101677,0.11239343,0.012523612,-0.04416785,0.031813253,-0.036793735,-0.027337655,-0.0003288912,0.053215634,-0.018788813,-0.013491467,0.011651555,-0.019560365,-0.11786022,0.06532634,0.018730924,0.06832605,-0.015098243,-0.026569838,0.097395256,-0.022191701,-0.005923008,0.00791049,0.011438016,-0.0013705599,-0.024571966,0.0352562,-0.037656303,0.008223661,-0.006170056
14,0.32661048,0.007584299,0.14356482,-0.05245268,0.15955374,-0.19584304,-0.01620328,-0.12058392,0.11770465,0.14006425,-0.14267077,-0.23453084,-0.15069868,0.035565563,-0.1698735,-0.17322014,-0.37751055,0.13252649,0.07981304,0.26462865,-0.26003277,-0.118297845,0.17209432,-0.05904598,0.14652295,-0.03850016,0.08804166,0.032343857,0.09077841,0.04711574,0.042170197,0.2185639
15,0.20596558,0.012437523,-0.08059751,0.13689119,0.014594985,-0.031253118,0.17168161,-0.22709182,0.13655898,0.122714564,-0.056763913,-0.17317235,-0.043185566,-0.0589297,-0.1688588,-0.020046895,0.085140064,-0.042362023,0.15547098,-0.016851185,0.11151222,-0.025212396,0.107032366,-0.14054589,-0.012601427,0.107156664,-0.011861978,0.032131743,-0.015821964,-0.063246414,0.040225152,0.13995028
16,-0.0060439147,-0.03556198,0.14925432,-0.10360579,0.074321695,-0.20222224,-0.11533193,0.03859185,0.10935005,0.025058711,-0.17572376,-0.12533543,-0.08185422,0.025367696,0.016719982,-0.04578396,0.048169676,0.1594933,0.03879524,0.22172582,-0.10351225,-0.15123852,-0.10818153,-0.18058904,0.10364434,-0.025413733,0.06603499,0.1346679,0.13928002,0.13051513,-0.06837507,0.11517925
17,0.09374908,-0.10594358,0.08284706,0.094652206,0.0681612,-0.11190131,-0.013583309,-0.0020063524,-0.039963517,-0.0047291685,0.0384433,0.052171852,0.017701345,-0.091460906,0.006004133,-0.044987936,0.090586126,0.12666072,0.09970393,-0.10151505,0.025018238,-0.14236237,-0.064364865,0.11894767,-0.059418675,0.13264059,-0.030771809,0.091143414,0.017895717,0.020556606,-0.07609545,0.15888382
