user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
0,-0.99630237,-0.99630237,-0.99630237,0.970682,-0.96202624,-0.0062665045,-0.015979856,-0.015979856,-0.015979856,0.9968411,-0.9899712,-0.9899712,-0.99734557,-0.99734557
1,-0.92880434,-0.92880434,-0.92880434,-0.92880434,-0.92880434,-0.98768497,-0.98768497,-0.99457884,-0.99457884,-0.99457884,-0.9993293,-0.9993293,-0.99963427,-0.99963427
2,-0.90402585,-0.90402585,-0.90402585,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746,0.9924746
3,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563,-0.9872563
4,-0.9996049,-0.9996049,-0.9709028,-0.9709028,-0.99896955,-0.99896955,-0.99936277,-0.99936277,-0.99936277,-0.99936277,-0.99440753,-0.99440753,-0.99440753,-0.99440753
5,-0.9997311,-0.9997311,-0.9997311,-0.9997311,-0.99886864,-0.99886864,-0.99886864,-0.99886864,-0.99886864,-0.99886864,0.99932194,0.99932194,0.99932194,0.99932194
6,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945,-0.98405945
7,-0.93786186,-0.93786186,-0.93786186,-0.93786186,-0.93786186,-0.93786186,-0.93786186,-0.93786186,-0.93786186,-0.93786186,0.99977523,0.99977523,0.99914384,0.99914384
8,-0.9876416,-0.9876416,-0.9876416,-0.9876416,-0.9876416,-0.9876416,-0.97068584,-0.97068584,-0.97068584,-0.97068584,-0.97068584,-0.97068584,-0.97068584,-0.97068584
9,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719,-0.9819719
10,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883,-0.99540883
11,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456,0.99910456
12,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9995708,-0.9780502,-0.9780502
13,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9989569,-0.9729961
14,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146,-0.69146
15,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676,-0.99734676
16,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296,-0.98985296
17,-0.997556,-0.997556,-0.997556,-0.9941247,-0.9941247,-0.9941247,-0.9978551,-0.9978551,-0.9978551,-0.9978551,-0.9978551,-0.9978551,-0.9978551,-0.9978551
18,-0.88174576,-0.88174576,-0.88174576,-0.88174576,-0.88174576,-0.9943691,-0.9943691,-0.98738015,-0.98738015,-0.98738015,-0.98738015,-0.98738015,-0.98738015,-0.98738015
19,-0.9977126,-0.9977126,-0.9977126,-0.9977126,-0.9977126,-0.9977126,-0.9893674,-0.9893674,-0.9893674,-0.9893674,-0.9893674,-0.9893674,-0.9893674,-0.9893674
20,0.9997626,0.9997626,0.9997626,0.9997626,0.9997626,0.9997626,0.9997626,0.9997626,0.9997626,0.9997626,-0.9989479,-0.9989479,-0.9989479,-0.9989479
21,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,0.9840927,-0.9945095,-0.9945095
22,-0.9977552,-0.9977552,-0.9977552,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703,0.9720703
23,-0.998896,-0.998896,-0.998896,-0.998896,-0.998896,-0.998896,-0.998896,-0.92983943,-0.92983943,-0.92983943,-0.92983943,-0.92983943,-0.92983943,-0.92983943
24,0.9905178,0.9905178,0.9905178,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865,0.68724865
25,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152,0.9506152
26,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577,-0.98046577
27,-0.99955624,-0.99955624,-0.99955624,-0.99955624,-0.99955624,-0.99955624,-0.99955624,-0.9984347,-0.9984347,-0.9984347,-0.9984347,-0.9984347,-0.9984347,-0.9984347
28,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754,0.50766754
29,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374,-0.99942374
30,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.999255,-0.9946195,-0.9946195
31,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144,0.95331144
32,0.99940467,0.99940467,0.99940467,0.99940467,0.99940467,0.99940467,0.99940467,0.99940467,0.99940467,0.99940467,-0.9766335,-0.9766335,-0.9766335,-0.9766335
33,-0.99942493,-0.99942493,-0.99942493,-0.99942493,0.98800385,0.98800385,0.98800385,0.98800385,0.98800385,0.98800385,0.98800385,0.98800385,0.98800385,0.98800385
34,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482,-0.9831482
35,-0.97954774,-0.97954774,-0.97954774,-0.97954774,-0.97954774,-0.97954774,-0.97954774,-0.6970567,-0.6970567,-0.6970567,-0.6970567,-0.6970567,-0.6970567,-0.6970567
36,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335,0.99439335
37,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464,-0.865464
38,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817,-0.99526817
39,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392,-0.9961392
40,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611,-0.9988611
41,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604,-0.97188604
42,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628,-0.5621628
43,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442,-0.7712442
44,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126,-0.8922126
45,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952,0.8435952
46,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177,-0.9889177
47,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877,-0.9958877
48,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917,-0.9684917
49,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667,-0.99938667
