row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.059714112,-0.09968504,-0.056015387,0.02425999,-0.16194351,-0.168918,0.17182505,-0.07913683,0.03875558,-0.103936285,0.13510603,0.14370744,0.10737263,-0.12081951,-0.00668508,0.07582225,0.077700906,-0.077836394,-0.13512313,0.05675336,0.026953867,-0.054534096,-0.17454089,-0.10873734,0.18793161,0.08098446,-0.13074787,-0.03828502,-0.13363814,-0.0021529538,0.14225458,-0.046465028
1,0.042936336,-0.035104655,-0.02652587,-0.1299494,0.07335758,-0.011103329,-0.1365408,-0.12314575,0.035568085,0.055601448,-0.07557261,0.009608751,-0.043340907,0.046547223,0.011187802,-0.04081488,0.071534246,-0.10025884,-0.13468288,0.06396176,-0.04073172,0.19240569,-0.15026425,-0.12530467,0.065191634,0.04203617,-0.13446248,0.050029304,-0.07116857,0.17154992,-0.00983882,-0.12887639
2,0.1268382,-0.027479276,0.024184894,0.044349365,-0.089690514,-0.046108995,0.11085014,-0.041328907,0.13082758,-0.03212804,0.18519613,-0.15700781,-0.088535324,-0.18308765,0.107912295,0.07365202,-0.09390642,0.004557713,0.050685726,0.14662465,0.07110979,-0.13594341,-0.013833035,0.20638882,0.09342295,0.10030846,-0.0699738,0.010463657,0.10520662,-0.023132894,0.12299556,-0.14837483
3,0.16046946,-0.17468314,-0.077615716,0.094448924,0.013888304,-0.06731646,0.109102234,-0.18485463,0.003790774,-0.16068053,0.0792758,-0.09331411,0.121091515,-0.070706464,-0.07612536,0.022780033,-0.038559794,0.09938595,0.07634169,0.06338337,-0.12041814,0.068503015,-0.109723955,-0.031034008,-0.0019762206,-0.11364775,-0.050677255,-0.14978142,0.0357618,-0.071304694,0.05682798,0.13631888
4,0.14669827,-0.102798864,-0.056162365,-0.16210462,0.19725639,-0.0044793505,-0.047587022,-0.0903561,-0.11634104,0.14502019,0.15797031,-0.07765132,0.085270435,-0.16343112,0.13646793,0.1325131,-0.18933739,0.2091328,0.09039856,0.005826161,0.040157102,0.05769766,-0.14983849,0.054257132,0.0063510416,-0.040567145,0.14925535,-0.10390215,-0.12414958,-0.11057493,0.14085141,-0.10183911
5,0.1595339,0.020775206,0.12549739,-0.035341494,0.13979392,0.120752975,-0.008821841,0.03625955,0.014397351,-0.025911948,0.14038473,0.03640467,0.12906344,-0.213269,0.22878546,0.13340291,-0.0039006947,0.21817179,0.16036968,0.15368092,0.072470784,0.008940429,-0.028697569,0.1794804,-0.20989779,0.027573038,0.113779485,-0.1382147,0.14179695,0.072485454,0.09631353,-0.11108424
6,-0.0027484808,0.07731679,-0.17443463,0.14823145,-0.106952146,-0.034483373,0.092264935,-0.09298703,-0.06575186,-0.030765627,0.13366894,0.03907308,0.0101652,0.13689394,-0.19287509,-0.075449824,-0.06120565,-0.07169631,0.014350153,0.018317606,-0.021657571,0.17034896,0.19767326,-0.03740766,-0.07712647,-0.08826101,0.036836702,-0.060906142,-0.19373348,0.07808073,0.05984724,0.044955436
7,0.18026812,0.056965016,0.092747144,0.09268697,0.13688016,-0.16135687,0.1472927,0.1736935,0.014115258,0.10735904,-0.018442351,-0.0858714,-0.070045464,-0.1751186,-0.019610459,-0.11376317,-0.158063,0.13538997,-0.14520317,0.0712681,0.037277002,0.017641323,0.042336024,0.13959986,-0.04570117,0.024276584,0.1454303,0.09506779,-0.018385889,0.07504323,0.09612453,-0.15080322
8,0.115749285,-0.12920809,0.18439522,0.09338167,0.24536794,0.050866533,-0.03114733,-0.050401784,0.09825157,-0.033483583,0.18959847,-0.16976199,-0.11753056,0.0024895072,0.03761847,0.051372454,-0.11422035,-0.06516654,0.07866109,-0.044398405,0.0743391,-0.04528972,-0.031896032,-0.09074327,0.04376578,-0.18057622,-0.05441313,-0.0254949,-0.0034652986,0.13094576,0.1622956,-0.12428938
9,-0.02491142,-0.005820614,0.15263307,0.083253466,0.17506696,-0.08335475,-0.08228628,0.12099843,0.15081349,-0.050798707,0.094247796,0.06950222,-0.020448145,0.05637394,0.04938882,-0.057763766,0.042710662,-0.037082285,0.0012783232,0.046892453,-0.108964756,0.091195665,0.16488175,0.11468762,-0.173653,-0.039260663,0.06772399,-0.14109412,-0.16540727,-0.1274377,0.1246884,0.18114758
10,0.090734646,-0.15475339,-0.08527334,-0.05126673,0.059419885,0.06659109,-0.068242215,-0.038785696,0.03879317,-0.0433486,-0.14402899,0.0020803227,0.15106243,-0.13242657,0.13873677,0.027794193,0.044583704,-0.20102449,-0.067480475,-0.04158683,0.0024061103,0.105026186,0.15546846,0.056418207,0.06754973,-0.104620196,-0.17196952,-0.031055909,-0.1214197,-0.13479546,-0.16738628,0.01813753
