row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.15914048,0.030433895,0.009903322,-0.007540093,0.14050508,0.16691296,-0.07535095,0.1475534,0.16238816,-0.0009977613,-0.18720391,-0.15006903,-0.15579662,0.04633469,0.089282736,0.03808822,-0.0021875743,-0.1206437,-0.03506478,0.0933948,-0.01062,0.09532914,0.0801581,0.06452121,0.039071966,-0.012166306,0.13688426,-0.05476394,0.09002899,0.15142837,0.12241295,0.086653806
1,-0.17221797,-0.0076773735,0.06768887,-0.05490158,-0.08492933,-0.07680928,0.000853022,0.094189525,0.06379569,-0.12034386,-0.08494157,-0.011141451,-0.07438579,0.14268076,0.18345098,-0.04284754,-0.09792751,0.18934803,0.012165526,-0.26234955,-0.034069255,-0.28611094,0.07103222,-0.08173282,0.09812672,0.08769424,-0.1146778,-0.09458909,0.012144985,0.1540611,0.059037015,0.008049647
2,-0.12230871,0.24072334,0.1583811,-0.14427078,0.020406516,-0.10741703,0.058258895,0.13937312,-0.15845081,-0.15656611,-0.1136842,0.06841673,0.00948987,-0.09628407,-0.066295065,-0.025779026,-0.122922935,-0.12203793,-0.005578274,0.017778283,0.037917957,-0.055209633,-0.11890697,-0.0125742005,0.07321066,-0.07385545,-0.008048836,0.18080886,-0.08365029,-0.21454725,0.09372608,0.100681834
3,-0.004480875,0.09906942,-0.05001303,-0.1449587,0.0650551,-0.0013137192,-0.019655932,0.09745891,0.14087076,0.1251002,-0.12689725,0.06555377,-0.099006005,0.05719312,-0.18560202,0.114207275,0.0559079,0.030971777,0.10231734,0.17356163,0.19311939,0.24645649,0.082126975,-0.1829447,0.049658857,-0.11579093,0.15937935,-0.07229535,0.027920157,-0.03896666,0.08480136,0.037249334
4,0.009982929,0.010985468,-0.09930289,-0.007978319,-0.15926605,-0.053706314,0.1159953,-0.1004321,0.074715205,-0.114194855,0.011492704,0.083975084,0.0373788,-0.12119625,0.04281967,0.038741894,-0.16583057,0.0058619897,0.1964304,-0.14104243,-0.074597746,-0.018113678,0.16383588,-0.14464982,0.17236386,0.057327047,-0.040289808,0.061957996,-0.04137927,0.008176785,-0.021245815,0.17335223
5,-0.015224885,-0.020373687,0.07060438,-0.24206632,-0.10987956,0.086171106,-0.08137594,-0.15849426,-0.1515285,0.116591096,-0.020212704,0.12305688,-0.080326654,-0.06308657,-0.058125243,0.042245448,-0.09321064,0.13614544,-0.023498692,-0.055243623,0.04314667,0.034307152,0.12465338,-0.05832339,0.16873094,0.019604314,0.06311717,0.014267308,0.07874133,0.034408856,-0.17123875,0.1311144
6,-0.027046904,0.007808616,-0.1270398,-0.11388764,-0.044649582,-0.10745413,-0.14913103,0.02865001,-0.02483729,0.008930228,-0.13952377,-0.21184668,-0.10219286,-0.020485943,-0.19888909,-0.11985048,-0.084795125,-0.051357318,0.17805073,-0.03860066,-0.10944819,0.13505659,0.15277438,-0.08888356,-0.05029542,0.04061461,0.15589567,0.1857906,0.03688969,0.14302436,0.0035649019,-0.0056162686
7,0.07790505,-0.09427004,-0.03370997,0.10283539,-0.075060554,0.02979119,-0.05093745,-0.13941877,0.06431754,-0.13682856,0.046900015,0.014502845,-0.08036422,0.08660395,0.105102025,-0.02309109,-0.1689659,-0.07774178,0.09258329,-0.00082952366,-0.16404416,-0.12698245,0.14525129,-0.0931866,-0.045369316,0.14460555,0.046668377,-0.16216654,-0.09598032,0.18042657,0.060466964,-0.09912016
8,0.029609019,-0.020557867,0.13336617,0.035261046,-0.17005332,0.1002048,0.08632096,-0.1472022,-0.1454773,-0.028625058,0.098315276,-0.12955262,-0.048947632,-0.16403443,0.06827238,-0.020814722,0.07419863,0.11801892,-0.05781609,0.19499639,-0.14341132,0.17726809,-0.13301577,0.06339915,0.061320677,0.0625224,-0.20464,-0.13959865,0.06396031,0.0082577495,-0.13567303,-0.13862774
9,-0.14819397,-0.018977536,0.12167947,0.0879276,-0.1602952,-0.0999902,0.1368356,0.13447228,0.04662301,0.05688021,0.11578525,-0.03268025,-0.0015264323,0.0074172043,-0.029433044,0.002646218,0.16439694,0.059379924,0.023539279,0.025212985,0.039566454,-0.095815785,0.10672895,-0.1162169,-0.16453709,0.041398678,-0.0125523945,0.15017742,-0.12961428,0.07151282,-0.02786129,-0.14815927
