row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.04179514,-0.05535265,-0.049786687,0.12765075,-0.09123078,-0.16758662,0.063660234,0.004914726,0.11838249,0.06334898,-0.051640052,-0.032922257,0.11569641,-0.011295955,0.022713618,0.19048108,-0.018414404,0.0012722119,0.05089441,0.055527303,-0.12945141,0.15669279,-0.01859691,-0.11878969,0.14078446,0.014828036,0.03896827,-0.038116,0.18857265,-0.03913677,-0.034483235,-0.004271527
1,0.0489275,-0.021882936,0.10474869,-0.06924389,-0.13622154,0.001960771,-0.0030655188,-0.0058579487,-0.17102782,0.07720705,0.068192,0.04510638,0.1134261,0.047214035,-0.14387172,0.17100377,0.059974488,0.04112901,-0.030810073,0.008350117,-0.101699084,0.033282954,0.045270894,-0.060283866,-0.031869125,-0.07917553,-0.11913964,0.16223553,0.015226493,0.051467914,-0.028944585,0.16782682
2,0.008283913,-0.0049822233,-0.041060306,0.020105325,-0.038698956,-0.020597829,0.037053984,-0.00082499254,-0.04963911,0.0036972766,0.017483134,-0.056706186,0.054056387,0.03327044,-0.04460555,0.03789452,-0.04367249,-0.04198736,0.030932704,0.0018012059,0.04758104,-0.023521552,0.04200199,-0.03135549,0.031956732,0.032333013,-0.032220874,0.01941874,-0.025986034,0.020654539,-0.04621863,0.006435892
3,0.09316021,0.00946044,-0.009714945,0.066840775,0.1189864,0.09962456,0.09527616,-0.000376089,-0.15086816,-0.15210518,0.09304591,-0.1136832,0.08647249,-0.082440555,0.068744026,-0.018946463,0.09160258,0.009913809,0.24391846,0.063995376,0.12151106,0.14577192,-0.06081141,0.16458999,0.012706385,0.038100973,-0.11596413,-0.021435706,0.17262511,-0.025338195,-0.06417475,-0.0826892
4,-0.064204365,0.3558082,0.20854534,-0.26678765,0.024052557,-0.02257834,0.088622995,-0.08901696,-0.014343026,0.19775681,0.027709553,-0.017914921,-0.12221975,0.014741464,0.12189309,0.11508972,-0.123812154,-0.13307883,0.15289867,-0.058574606,-0.050970737,-0.20276797,0.12731028,0.055288956,0.07497906,-0.2730778,-0.13110837,-0.083972625,0.02139912,0.013172131,0.08015507,-0.04603868
5,0.15670156,0.048039604,0.06492563,-0.14997938,-0.023330497,-0.058660325,-0.051036254,-0.121001095,-0.12859963,-0.022137867,-0.08019348,-0.10230218,0.22820073,0.08192036,-0.14706393,-0.11647312,0.015605351,0.13364571,0.22606651,-0.14969079,-0.06242564,-0.073367,0.1421627,-0.04127057,0.15651412,0.09067772,-0.01039654,0.06721973,0.11572484,0.105030194,0.048923504,0.016922595
6,0.122027956,0.13710749,0.027929328,-0.10885774,-0.04056037,-0.06419618,-0.14343317,-0.04710778,0.011619744,-0.020405963,0.10230748,-0.018280251,-0.035387073,-0.07953774,-0.103485614,0.14761247,-0.018216854,-0.16851327,0.14621781,-0.043095745,-0.06270891,0.11040695,0.13771956,-0.053247225,0.17999911,0.031057838,0.020086886,-0.030465858,0.040208787,-0.006868763,0.0634582,0.051976915
7,-0.17594579,-0.24982142,-0.1469766,0.22970808,-0.12839572,0.027741065,-0.0023380287,-0.16035715,0.013188277,0.09085312,0.10165981,-0.016843755,0.035388682,0.14950678,0.107758984,-0.17283899,-0.18045709,-0.027357362,-0.16675705,-0.06488012,-0.11102742,-0.0136978645,0.038075786,-0.0069481297,0.040437445,0.14720446,0.2114151,0.027933782,-0.17466696,-0.0076912353,-0.018449465,-0.07390174
8,-0.12926942,0.14133269,0.04372155,-0.15947008,0.17608516,0.2295462,0.08230688,-0.07885948,-0.11189922,0.14709432,0.1565318,0.1851399,-0.24219911,-0.11184329,0.086160764,-0.070505425,-0.099753276,0.13581386,-0.084134944,-0.0035677103,0.03495408,0.0262631,-0.19293399,-0.11668758,-0.062751666,-0.0803896,-0.23677759,0.12097272,0.011126501,0.010375844,0.11801619,-0.002401817
9,0.008119776,-3.8365156e-06,-0.0074407924,5.0322024e-07,-0.0053748055,-0.018738804,-7.4866457e-06,0.0023644445,-0.015444377,-0.0007214737,0.002237809,-0.010492346,-4.5482097e-06,0.0007792072,-0.0051114555,0.012031631,-0.006739046,-0.00941906,0.0007155541,4.965532e-07,0.0077080387,-3.503683e-05,0.014030804,-0.0042942697,0.0051528495,6.696164e-07,-0.0013231005,0.0052834176,-3.4683427e-07,-3.990882e-06,-0.008345066,0.0042656143
