user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,0.813201,0.34194714,-0.8845352,-0.5202087,-0.8352841,0.56258833,-0.9849754,0.96344423,-0.6116174,-0.37995428,-0.35285345,-0.9646096,-0.04357867,-0.29747385,-0.77731407
1,0.49085882,-0.040099025,-0.040099025,-0.009654045,-0.009654045,-0.009654045,-0.9924957,-0.9924957,-0.73138607,-0.8471514,-0.47252214,0.24374506,0.11362984,0.34618253,0.34618253
2,0.99269533,-0.9952368,-0.9952368,-0.99837154,-0.99837154,-0.99837154,-0.99837154,-0.99837154,-0.99837154,-0.20898438,-0.5017897,-0.9972911,-0.0044922084,-0.0044922084,-0.0044922084
3,-0.9959617,-0.9959617,-0.9959617,-0.9959617,-0.9959617,-0.9959617,-0.9959617,-0.9959617,-0.9959617,-0.9485376,-0.9636726,-0.9636726,0.0016330183,0.9295279,0.9295279
4,-0.09060061,-0.97996974,-0.999616,-0.999616,-0.999616,-0.9947629,-0.9947629,0.54989654,-0.95879954,-0.92111254,-0.92111254,-0.92111254,-0.92111254,-0.92111254,-0.92111254
5,-0.20574388,-0.9748212,-0.9748212,-0.9748212,-0.9748212,-0.9748212,-0.9748212,-0.9748212,-0.969287,-0.99105465,-0.99105465,-0.91081357,0.9998553,0.9998553,-0.9998037
6,-0.97845614,-0.9950777,-0.9950777,-0.9950777,-0.9950777,-0.75062203,-0.75062203,-0.9946571,-0.9946571,-0.9435513,-0.9571252,-0.9210459,-0.9210459,-0.9210459,-0.99329937
7,0.016149253,0.016149253,-0.9822296,-0.99625236,-0.99625236,-0.99625236,-0.99625236,-0.9997507,-0.9997507,-0.00070115924,-0.00070115924,-0.00070115924,0.0014382601,-0.99819535,-0.9900193
8,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.53942776,-0.86916655,-0.9813224,-0.9813224,-0.99542385,-0.99542385
9,0.97708094,0.97708094,0.97708094,0.97708094,0.97708094,-0.9841702,-0.9991893,-0.9991893,-0.9991893,-0.9992914,-0.99659157,-0.9982387,-0.027236074,-0.027236074,-0.027236074
