row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.11051157,0.095628865,-0.037510656,0.19474208,-0.032550663,0.10866993,-0.077147655,-0.052117813,-0.14721625,0.0093889125,0.07925723,-0.22267444,-0.22612716,-0.19020182,-0.18863803,-0.024793651,0.12956832,0.10378276,-0.109844334,0.114268236,-0.010755019,-0.04060303,0.03481789,0.01828763,-0.018612798,-0.08905638,0.06703423,-0.070783734,-0.10568923,0.01419747,0.0714358,0.030814426
1,0.061470076,-0.02550402,0.11576288,0.06517205,0.22135107,-0.10995839,0.13235927,-0.08591981,0.077817455,0.2194579,0.012795815,0.03659493,0.094682366,0.0386001,0.17853546,-0.023308052,0.06836532,-0.15875258,0.08766373,-0.029071877,-0.1345056,0.10336889,0.24261516,-0.07513984,0.033844758,-0.0019563443,0.00018682305,-0.16851,-0.08768833,0.13853604,0.18793607,-0.14104778
2,0.06365724,-0.07366693,-0.0024256567,-0.006719102,-0.05956886,0.046070725,-0.18436842,0.028013129,-0.11148903,0.16719453,-0.049646717,0.21675318,-0.11182419,0.024480386,-0.023294343,-0.019680226,0.06478565,0.08262667,0.10447417,-0.10830195,-0.09070673,0.01190093,0.1300627,-0.023469476,0.19073604,-0.025839562,0.12316459,0.071999416,-0.053163644,0.08513016,0.042695012,-0.05248538
3,0.117870815,-0.058670096,0.069054745,0.1787884,0.22650993,0.071485035,0.19484636,-0.070499755,0.041775998,0.09631934,-0.103019536,0.13051957,0.17450044,0.13218166,0.13762884,0.11310823,0.06666377,-0.17453183,0.0036895873,-0.032856833,0.09037257,-0.12965192,0.1209577,-0.03292472,0.15462679,0.073261656,-0.23640753,-0.15460344,0.018957408,-0.045970265,0.11431288,0.055199638
4,0.06313117,-0.0408539,-0.008567751,0.014564617,-0.05163163,-0.12522708,-0.06742688,0.0731569,-0.0074582393,0.08287327,-0.096542135,0.054803226,-0.0041528936,-0.090794325,-0.04934103,-0.1356995,0.014868902,0.026014773,-0.027495272,0.0469439,0.029286195,0.0070618177,0.090130754,0.15109883,-0.06425802,-0.1900531,0.13038379,0.0028786059,0.11284755,-0.09256476,0.010904534,-0.005734918
5,0.0719196,0.012298019,0.19961606,0.066651724,0.0051002908,-0.09742237,0.17378566,0.15230234,-0.1660913,0.13164905,0.15036948,0.07831279,-0.0054360847,-0.04038414,0.14902166,0.05321408,-0.08911083,-0.15739274,0.03961444,-0.022709254,0.12568678,0.07179375,0.19659847,0.17461355,0.13999683,-0.020435119,-0.17914717,-0.15802501,0.11886472,-0.08403084,-0.08557955,0.07984521
6,-0.14171341,-0.093632184,-0.015778085,0.0065505933,-0.1034886,0.027126255,-0.15506531,0.080677964,-0.031440765,0.06602242,-0.026408633,-0.029172655,0.035368506,-0.100981705,-0.13797419,0.13458924,-0.124778494,0.004436642,-0.03945973,-0.0042064553,-0.12124132,0.004357682,-0.08855171,0.059710294,0.011984212,0.010771031,0.08324158,-0.0030552563,-0.018060625,0.031382207,-0.0704211,0.00733848
7,0.030396905,0.018252326,0.029104307,0.06079119,-0.1287734,0.10225806,-0.07849096,-0.017093034,-0.08949653,-0.0906929,-0.085329324,0.18002881,-0.09836779,0.094063416,0.14944816,0.012729423,0.18324758,0.07924267,-0.06639661,-0.12301355,0.007131059,0.047185868,-0.16534005,0.024283754,0.04215989,0.11822442,0.030323112,-0.01338415,-0.026911052,0.05679382,0.17553918,0.00035446667
8,-0.123635046,-0.1680618,-0.1947338,0.07685715,-0.13370134,-0.04960112,0.0603702,-0.19667605,0.046563044,-0.01899478,-0.15716153,0.043027297,-0.06762363,0.10722422,0.020124022,0.11089829,-0.065413974,0.18353611,0.04554996,0.15694109,0.07245746,-0.004970636,0.033503484,-0.051075246,-0.042946603,0.18133125,0.067066036,-0.060321823,0.1494932,0.055190463,0.0835028,-0.04715289
9,-0.106140606,0.017249258,-0.15984759,0.08809217,-0.08493786,0.045394734,0.081379235,0.02936554,0.09547782,0.1090559,0.058795836,0.12983853,-0.12665613,0.18381637,0.0003256121,0.10118219,-0.016148912,0.06521253,-0.06285674,0.07458783,0.06983265,0.11616835,0.009122163,0.03697279,0.16036056,0.0800152,0.1705482,0.16162139,0.06934753,0.08498652,-0.12291187,0.04074307
