row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.10168256,0.064175904,0.093648404,-0.119187616,-0.14439952,0.0669983,0.07058341,0.11211862,-0.06587236,0.061604865,-0.016974228,-0.023467764,-0.05538027,0.09879444,-0.0020190878,-0.11442246,-0.015798463,-0.057913404,-0.008206166,0.11673962,-0.0790449,-0.07648869,0.14473309,-0.16081405,-0.014618135,-0.03683977,0.15538934,0.071864754,0.11435335,0.088218935,0.1309485,0.06981517
1,0.035795193,-0.15286918,-0.15718298,-0.048448164,0.022548553,0.060965944,-0.059395712,-0.073076695,-0.0071588713,-0.17966616,-0.10620519,0.08339776,0.070439406,-0.07333639,-0.04370647,0.10485118,0.040483892,0.10679605,-0.07192788,0.069148645,-0.11841871,0.11004467,0.013563991,0.17184436,-0.08263347,0.09773308,0.037557688,-0.1866418,-0.09842168,0.05090462,0.087885655,0.081071004
2,0.027056292,-0.087041475,0.035602093,-0.1144092,0.0071084383,-0.08010344,0.029722748,-0.18777554,-0.06878552,-0.011334898,0.04439806,0.011378791,-0.16929898,0.14421381,0.088079885,-0.19971967,0.0007280492,-0.061805088,-0.097723804,0.057596054,-0.19543648,0.20434533,0.04835529,-0.037948437,-0.031225396,-0.09319249,-0.057929356,0.11079005,0.07733712,-0.033470534,-0.087708965,-0.068032056
3,0.1777855,0.080563344,-0.11844176,-0.026121037,-0.05245773,0.11836339,0.017939622,-0.015476245,0.057663247,0.09631012,0.008770054,0.12901157,0.071231596,-0.037358984,0.011079086,0.009664242,0.108262345,0.03781778,0.045735456,-0.01067289,0.13398662,0.10614214,-0.00021214073,8.658809e-05,0.013709347,0.03792,-0.001609789,-0.044391632,0.05100697,0.011212765,-0.053760674,-0.15814511
4,-0.007868527,-0.063004136,-0.16234934,-0.15107743,0.09668475,0.0034699596,0.15612328,0.0728783,-0.020994151,-0.030906456,-0.18853793,0.025527598,0.008132088,-0.028496379,-0.10133731,-0.098589025,-0.15577413,-0.01307585,-0.14252241,-0.059564754,-0.049904946,0.07958698,-0.100209504,0.054494187,-0.12209466,-0.030662535,0.09054579,0.17431337,0.009936663,-0.030553121,-0.14120504,0.070631154
5,0.1865775,0.11226466,-0.116601214,0.123706385,-0.051905874,0.0014891704,0.015867373,0.06405118,0.03128949,-0.117279954,-0.106804155,0.11592418,0.13377021,0.022119598,-0.056176756,0.15840816,0.104083866,-0.16064501,-0.15989488,-0.013743691,0.09405872,0.14143418,0.110125706,0.014879813,-0.10159374,-0.11657112,-0.14156343,0.0046025203,0.1071398,0.014161816,0.051002223,0.061524395
6,0.0006945602,-0.1630935,0.098477826,0.027991565,0.026521998,-0.02466719,-0.024436481,0.10451551,-0.13664137,0.06826967,0.033214275,0.016288431,0.0050682845,-0.042952906,0.16561821,0.10526268,-0.058118872,-0.11740972,0.1591332,0.13855451,-0.1533398,-0.08060727,0.063107006,-0.05390469,0.057271913,-0.15898438,0.0012961227,0.11009651,-0.11344573,-0.08213522,0.032596827,0.08774445
7,0.10106218,0.030613493,0.088803194,0.19517006,-0.028965658,-0.09869407,-0.039882436,-0.19471312,0.055494104,0.1410648,0.11969826,0.097745076,-0.011886674,-0.09847587,0.07599282,-0.05586854,0.1874015,0.20674081,-0.14136422,0.070495844,0.055892278,0.013160884,0.090167634,-0.06296054,0.04560172,0.106575556,-0.16900267,0.10932728,-0.012061742,0.08264758,-0.046215817,0.10915939
8,-0.09790688,0.1255164,0.06580003,0.08874541,-0.010346277,0.12617673,-0.08074202,-0.09483762,0.12973319,0.13491903,-0.08109627,0.101256914,-0.0062252376,-0.0279812,0.065817885,0.15995863,-0.15012358,0.079666294,0.028863536,0.029583655,0.018644249,-0.13702151,-0.14423786,0.02193862,-0.00019095492,-0.01339839,0.024018016,0.023836385,0.12316552,-0.008689749,-0.09794227,0.13599418
9,-0.07027942,0.12884642,0.015338085,-0.07850182,-0.039477117,0.0532745,-0.11639731,-0.1470801,0.13309945,0.08433653,0.11291261,-0.016603705,0.041402988,-0.026647996,-0.0012111948,0.001983934,-0.1627663,0.15128712,-0.053617544,-0.021051183,-0.15814173,0.15291621,-0.12924051,0.09753137,0.15141572,-0.04862403,0.062466245,-0.10910944,-0.03596421,-0.032538656,-0.14042968,-0.13356285
10,-0.001311227,-0.0055778353,0.12742317,0.15948969,-0.084646784,-0.120741196,0.06162736,0.027531737,-0.06814073,-0.04345093,0.071296014,0.10135247,0.071437106,-0.1555073,0.16402724,0.04632557,0.0981294,-0.11867976,-0.06026667,-0.12757692,-0.058029223,0.1620052,0.102692455,-0.030315109,0.10290001,0.05229823,0.059660736,0.00781138,-0.06832115,-0.09648556,0.097851925,-0.13471879
11,-0.011938822,-0.02904281,0.013826363,-0.090513706,0.05913558,0.15886459,0.05963677,-0.14719328,-0.06698665,-0.022973698,-0.071077265,-0.11271279,0.0649693,0.0048535937,0.12637769,-0.008804577,-0.095298216,0.104893185,-0.024587229,-0.009370812,0.11351438,-0.09419132,-0.12857434,-0.014200788,0.11853192,0.00064679707,0.06002237,0.1290327,0.0070199394,0.113943346,0.10819584,0.07611153
12,-0.008539686,-0.012649221,0.07350199,-0.08428785,-0.04154306,-0.100006275,0.112993255,0.0866431,-0.0371511,0.15918979,-0.046562016,-0.17881595,-0.01638315,0.09880806,-0.081433065,-0.019182678,-0.13392426,-0.013479148,-0.03778986,-0.021473432,0.10468072,-0.0093285795,-0.066407256,0.010389319,-0.006992381,-0.027706163,-0.007327274,-0.11494356,-0.04421525,-0.107505426,-0.10469742,0.15347119
13,-0.029473165,0.11541136,0.112914346,0.001291555,-0.087755755,-0.06990441,-0.124407195,-0.05962065,-0.10029913,-0.005906991,-0.10995264,0.15383285,0.117956154,-0.07041233,0.053791333,-0.11680382,0.08812127,-0.15858467,0.10064049,-0.13249259,0.072496995,-0.13538961,0.050843902,-0.0089885965,-0.006885574,-0.16175392,-0.08777702,0.08174301,-0.058472816,0.1358554,0.012615228,0.08251222
14,0.11657888,-0.135558,-0.015097199,0.05472038,-0.055184625,-0.048513584,-0.13455409,-0.036195476,0.094578914,-0.08559061,0.05921804,-0.08323777,-0.03549714,0.022498423,0.053633988,0.016104663,0.018917467,0.13389434,-0.11079036,-0.12923825,-0.10145833,-0.0146587435,-0.04470366,0.050106894,-0.10010692,0.07792026,0.055248123,-0.17084736,-0.12702514,-0.14876615,0.00053488923,0.02884371
