row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.084515445,-0.0042838026,0.04244088,-0.13413185,0.21043468,-0.03527246,0.15852225,-0.015694547,-0.04181535,0.108874336,-0.075128965,0.16956803,-0.10510753,-0.04334395,0.050052583,0.15485834,-0.028552188,-0.06399115,0.02180833,0.025347466,0.061794948,0.03279631,-0.10075659,0.17245817,-0.07277601,-0.0120158745,0.18131988,0.11241577,0.12872835,0.04261718,-0.004964151,-0.03950605
1,-0.11242654,0.11819937,0.13514833,-0.102975346,-0.19205853,0.19802774,-0.20281501,-0.21190853,-0.090338565,-0.21246028,-0.038866613,0.0906551,0.14490628,-0.08896206,0.50402904,0.0023756733,0.10441685,0.2186771,0.12548062,0.25086826,-0.30720076,-0.07829366,0.05981452,0.1565518,-0.029010877,-0.007556772,-0.192717,0.35263088,0.12594746,0.1859385,-0.22341682,0.11342939
2,-0.041472428,0.04279336,-0.038701907,0.0044874526,-0.048134055,0.07375457,-0.055269536,0.011622722,-0.037599165,-0.13581304,-0.036899,-0.08549474,0.06833879,0.119534135,0.25875744,-0.02240138,0.053082705,0.066603184,-0.048114974,0.0994249,-0.04544,0.10342669,-0.0502669,0.016800987,0.025907874,0.058656797,-0.06395399,0.071830004,0.08080747,0.122207,-0.05392302,0.036282502
3,-0.0665775,0.4390201,0.020013427,0.023443373,0.025014019,0.32467353,-0.15253411,-0.17582409,-0.4404289,-0.34788224,-0.46670544,0.19505225,0.3322801,-0.17569593,0.32059595,-0.13432904,-0.27881458,0.4512197,0.073446944,0.24780509,-0.27501416,-0.016520686,-0.1938805,0.36034185,0.1503092,0.028596858,-0.3252805,0.6614399,0.27445835,0.33836636,-0.4253013,-0.2542505
4,0.032870673,0.16884656,-0.001166538,-0.09385741,0.09429209,0.14539063,-0.08764515,0.010714997,-0.13387227,-0.061016485,-0.1924527,0.064511426,0.099776335,-0.15912296,0.16900037,-0.082403265,-0.08708124,0.13026972,0.03610916,0.1655747,-0.19881856,-0.1010893,-0.04148957,0.10578157,0.14752866,-0.08981427,-0.19402829,0.04969022,0.1352275,0.12480258,-0.111153215,-1.43518555e-05
5,-0.0149570415,0.03572505,-0.119422585,0.12556387,0.124062054,-0.13529381,-0.117305905,-0.05679321,0.117829375,0.02484313,0.06412036,-0.15216936,-0.18552653,0.053574715,-0.053156376,6.9484566e-05,-0.09732359,0.12171437,0.11460672,-0.072627,0.04792424,-0.07657345,-0.014870478,-0.095524654,-0.03337934,0.08476062,-0.1540798,0.20652421,-0.0051094787,0.093974136,-0.05903228,-0.04648267
6,-0.16287228,0.0524843,-0.008743333,0.004686083,-0.058278747,0.11212553,0.008073438,-0.04268907,-0.053170655,-0.13986701,0.07118417,-0.09176342,0.04874398,0.07919057,0.2187807,0.11674455,0.03443052,-0.08769463,0.021983447,-0.0035299081,0.10636402,-0.041498553,0.069024935,0.08467169,-0.10007336,-0.1865558,-0.07675735,0.02228588,0.21626346,-0.11020648,0.09533141,-0.076579325
7,-0.086404055,0.13125761,-0.050529413,-0.12238789,-0.071870476,0.07279453,0.079687096,-0.048294634,-0.1545597,-0.0012990737,0.071118526,0.040348746,0.1288607,0.019920232,-0.067371525,-0.0646327,0.040258396,-0.08329693,-0.031672254,-0.0002962597,0.07197791,0.130003,0.086619794,-0.018177312,-0.05003254,0.09604076,-0.09835917,0.11308078,0.028729852,-0.091208756,0.05062112,-0.003739357
8,-0.0066624857,0.2372711,-0.019719897,0.14492068,-0.016804013,0.023567203,0.09024579,0.09531358,0.0054761874,0.066373385,0.06274255,0.01235503,-0.018769085,-0.037138753,0.054988425,0.061336923,-0.030582178,-0.16390318,0.036832403,-0.04569319,-0.12450185,-0.002643931,-0.1393184,0.09671904,0.10561367,0.09257511,-0.04644514,0.18069895,0.16018938,0.112299636,-0.04231087,0.11598418
9,0.0064534983,0.33405095,0.20878635,-0.0033293145,0.034671165,0.13659441,-0.069193825,-0.13338882,-0.3034825,-0.106256805,-0.30223215,0.009294737,0.2871674,-0.038092878,0.58638185,-0.12472585,-0.20122768,0.19088426,0.1642534,0.21737187,-0.2489263,-0.014055686,-0.16097757,0.21309222,0.22502474,-0.10447164,-0.15591028,0.3975225,0.2568586,0.2015156,-0.22483714,0.03761241
10,0.09674686,-0.1260401,-0.07810428,-0.17468676,-0.030344695,0.042469855,-0.09560015,0.05687657,-0.117042296,-0.17145589,-0.0846932,-0.4286109,-0.014454369,-0.11680645,0.064437695,0.12891816,-0.07608738,0.097386986,-0.10473473,-0.21340041,0.15638568,-0.1328295,0.08646453,-0.18601045,-0.07558986,-0.056583818,0.113711715,-0.12070768,-0.015161352,0.054008406,0.028918141,0.07869007
11,0.078885235,0.36785883,-0.13280173,-0.06564757,0.09576593,0.6955128,-0.0890484,-0.3569316,-0.52209884,-0.2005893,-0.36973226,-0.026892273,0.30458987,-0.0065683937,1.0333042,-0.100765884,-0.2055221,0.19332737,0.09756019,0.7668878,-0.48535562,0.15181033,-0.05155438,0.3377277,0.18314801,-0.097853914,-0.23452517,0.76848453,0.1487039,0.2495295,-0.626598,-0.10031614
12,0.02378664,0.070617236,-0.10195132,0.069531254,-0.016739855,-0.066458374,-0.12618145,-0.012360831,0.037440836,0.07519608,0.042825546,-0.099828616,-0.017029595,0.032791957,-0.0006447993,-0.063785665,-0.07193557,0.07872632,-0.061910044,-0.02860303,-0.04699921,-0.04557011,-0.1249629,-0.009278538,-0.0055383365,-0.006676272,0.030532343,-0.022625536,0.026620997,-0.0003701606,0.05793039,-0.0027016634
13,0.026674213,-0.045533925,-0.051686514,-0.007160477,0.035126667,0.11116937,0.0757474,-0.13839671,0.04189537,-0.06204526,0.11885474,-0.5148282,-0.08155416,0.11547791,-0.030848404,0.10607117,-0.10174861,-0.12880255,-0.13961291,-0.19846943,0.17299381,-0.18609652,-0.019219112,0.0578042,0.20803228,0.071128994,0.042357318,-0.18874572,-0.2105831,0.058488764,-0.121545196,-0.12155264
14,-0.0020053834,0.123843744,0.1546022,-0.04775279,0.20925054,-0.27445525,0.16923304,-0.04288787,0.25298592,0.3625205,0.19634569,0.5341254,0.029578984,-0.12714612,-0.39388463,0.108417995,-0.2014402,-0.14937802,0.20375958,-0.2734748,0.0174196,-0.23161383,0.21465617,-0.17820473,-0.19649138,-0.17368701,0.25099504,-0.07057922,-0.13182192,-0.37870657,0.2283186,0.059967823
15,-0.16537927,-0.29702133,0.003308581,-0.19531916,-0.035990078,0.012147179,0.119387895,0.08998869,0.03680511,0.038596015,0.16151243,-0.37599927,0.09924148,0.16180597,0.13828225,-0.036231454,0.03461866,0.12558056,0.15436833,-0.19279931,-0.022673102,0.117346875,0.06267305,-0.17957082,0.119152315,0.16233158,0.15581827,-0.13927078,0.10833215,0.15698995,-0.036270365,-0.023551814
16,-0.006591451,0.008538121,-0.00066078303,0.027264753,-0.087568164,-0.036430955,-0.019684233,0.0041140686,0.037296075,0.030512651,0.004973021,0.056259785,0.05405856,-0.016762625,-0.02229172,-0.053963844,0.06405055,0.023788108,0.044425815,0.008104604,-0.02220141,0.011624357,-0.088077925,-0.020491527,0.032996263,0.014405336,-0.06607469,0.013164961,-0.05780477,0.02864353,-0.013067934,0.0623949
17,0.017824454,-0.1061902,-0.027009558,0.09256194,0.06220184,-0.023798168,-0.17637004,-0.064759746,-0.13994953,0.051396757,-0.13382597,0.06307416,0.03209384,-0.049226828,-0.09696191,0.06861,0.061035465,0.15372041,0.08624495,0.07928235,-0.08713381,0.116647,0.029156664,-0.038795546,0.06644722,0.03880499,0.012639617,-0.02177571,-0.09661177,-0.12638572,0.01949812,-0.029088931
18,-0.025265604,-0.29726267,-0.22491695,-0.15477288,-0.1619482,-0.08284491,-0.15104346,0.06849528,0.049682926,-0.15541579,0.008894735,-0.4159317,-0.088488765,-0.08676949,0.13713911,0.08159669,0.24120507,-0.010381779,-0.13423218,-0.20560515,0.12379959,0.09580893,-0.06683695,-0.033593666,-0.09618454,0.03689116,0.0101049,0.017345907,-0.075780444,0.1929426,0.060634647,0.26466307
19,-0.1498206,-0.021924155,0.048866324,0.15252735,-0.12408489,0.19586743,-0.16842817,0.024718981,-0.026466321,-0.10137867,-0.16454427,-0.110715136,0.20915782,0.05965377,0.06530755,-0.007238221,-0.027692134,-0.040004794,0.05601924,0.16399124,0.042551454,-0.07423911,0.08336816,0.23929834,0.014063797,0.012982004,0.023220016,0.26396316,0.087335855,0.110658206,-0.15564485,-0.13461417
20,0.038146242,-0.045536965,0.050229713,0.17251912,0.06661249,0.1559017,0.14538272,0.1491474,0.06533161,0.069079414,0.06906282,0.058014553,-0.074544415,0.17271313,0.0069888593,-0.00529086,0.11429062,-0.017364508,-0.03411436,-0.0761521,-0.07266445,0.15510838,0.07343718,0.12980591,-0.15813169,-0.085654505,0.045598257,-0.052521028,0.18800962,-0.0046696127,0.04621597,0.0988939
21,0.05256588,-0.37681678,-0.09511069,0.010425984,0.025167357,0.0054514594,-0.05786628,-0.00017183655,0.10677939,0.040275365,0.05633827,-0.5742761,-0.12318515,-0.06694103,0.13139614,-0.03847608,-0.09121549,-0.03537028,0.109772675,-0.20145942,0.07664819,0.04611105,-0.07638503,-0.13632269,0.07348622,0.07966114,-0.0099416,-0.1877243,-0.15725023,-0.044330243,0.011004736,0.19572292
22,0.15436685,-0.1186027,0.11100609,-0.012558152,-0.038607463,0.043653514,0.121319525,0.04049096,-0.17802536,-0.20422101,0.15299432,-0.31035027,0.03969452,0.20578682,0.09451541,-0.022350308,0.19733648,-0.0187534,-0.13819009,0.04496208,-0.048472546,0.16914296,-0.07335178,-0.16663006,-0.0387396,-0.06287907,0.099823035,-0.14006405,-0.05341332,0.077142455,0.15640378,0.2227852
23,-0.06164321,0.04475011,-0.10518937,0.27162853,-0.072980836,0.11631103,-0.15827538,0.025763528,-0.18162501,-0.12131626,-0.27679217,0.054099385,0.14738278,0.031585407,-0.09392184,0.004429212,0.02095515,0.1450267,-0.034217775,0.17916727,-0.0057608113,0.047372572,-0.190003,0.027612345,-0.0073550446,0.1969299,-0.21487391,0.32530737,0.07599371,0.09223908,-0.123968996,-0.32610163
24,-0.02927221,0.2738546,-0.00564599,0.15569934,-0.0016634957,0.10875176,0.21191978,0.0795077,0.18813412,-0.052182212,-0.0042007575,0.25963962,0.020289939,-0.12684122,0.085789874,0.07652421,0.015437948,0.04091306,0.044298884,0.2072237,0.112926796,-0.17290701,0.15439178,0.06497133,-0.064721294,-0.06631156,0.00463801,0.06963576,0.026094781,-0.10341921,-0.07913061,-0.14178035
25,-0.10683657,0.06862007,-0.14467363,-0.07225649,-0.009347353,0.06729036,0.050943986,-0.06128039,-0.05770459,-0.042503364,-0.069987714,0.06922269,0.02076055,0.14063847,-0.019558636,-0.14061067,0.06789166,0.03614901,-0.07738105,-0.06006815,-0.04455103,-0.0029825536,-0.1977048,0.10585074,-0.10328874,-0.035180982,0.10082529,0.06549163,-0.14145413,-0.10165216,-0.0494723,0.09622537
26,0.042173803,-0.25465095,-0.09841891,0.028777627,-0.13792771,-0.10011883,-0.03163627,0.03527741,0.024879087,-0.11419152,0.048361875,-0.5733182,-0.155249,0.22136356,0.16311055,0.02770993,0.22105724,0.011879555,-0.022873605,-0.046939865,-0.0055821235,0.019650117,-0.03681837,-0.16793682,0.016817935,0.07031208,0.035423808,-0.029635409,-0.096185625,0.011450004,0.068184674,0.15690471
27,-0.2149297,0.13660052,-0.069316745,0.08182909,-0.074787,0.14593811,-0.10633858,-0.0055741044,-0.10979655,-0.08363413,-0.12916577,0.038923748,0.06322955,0.048707213,-0.060314603,-0.068510935,0.04434264,0.13429844,-0.029566735,0.114683144,-0.18519801,0.087666795,-0.13194785,0.055402864,-0.0550014,0.095478095,-0.07593188,0.19515125,0.18740307,0.21245913,-0.33914354,-0.21168172
28,-0.007587938,-0.033730216,-0.035398666,0.05305231,-0.057486806,0.06116388,-0.1030622,0.007181341,-0.08850363,-0.11939396,-0.0071337153,-0.14044845,0.050587684,0.055120133,0.13476431,-0.032515716,0.07647528,0.04732754,-0.024463797,0.044828966,0.020711778,0.088214815,-0.037511315,0.00312811,-0.05045213,0.034660928,-0.046679754,0.05295168,0.02206763,0.085255794,-0.0034269965,0.027667975
29,0.119644,-0.09901169,-0.04743978,0.112537675,-0.17604655,0.03180259,-0.11648717,-0.07493022,0.04851056,0.14167234,0.051808584,-0.057090927,0.08855235,-0.14086388,0.0755987,0.070488594,-0.14300755,0.08633502,0.114266634,-0.011971784,0.018570196,0.13942543,-0.010381817,-0.1462698,0.10715327,0.052189905,-0.026307685,0.029626308,0.02956837,-0.13081452,0.12529707,-0.08022664
30,0.16152531,-0.23696323,0.102134585,-0.10774562,0.12961444,-0.015038575,0.115423694,-0.0027697552,-0.051623024,-0.004436698,-0.08811267,-0.2959353,0.09396748,-0.123509854,-0.04682989,-0.066021785,1.7509163e-05,-0.07406345,-0.13292813,0.06498889,0.053749785,-0.1282731,-0.09937956,-0.18059151,0.007735127,-0.13531958,-0.0046987617,-0.019405577,0.05378085,0.2144186,-0.17199124,-0.03626456
31,-0.0725189,-0.012347386,0.00297615,-0.22073066,0.08330153,-0.08212729,0.015628014,0.035615463,-0.0074332315,-0.036880344,0.096298486,-0.30343848,0.25036773,0.016317502,-0.12808843,0.23127566,0.03405149,-0.23142715,-0.056623004,-0.1092301,0.060686335,-0.04367521,0.21577014,-0.27107638,0.017407734,0.090486385,-0.043782428,-0.06712814,0.14729865,-0.06923018,0.07018221,0.025769757
