user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,-0.065258875,-0.065258875,-0.065258875,-0.065258875,0.4973995,-0.92576253,-0.92576253,-0.92576253,-0.9899085,-0.9899085,-0.9899085,0.24240696,0.24240696,0.24240696,0.24240696
1,-0.50043595,-0.008881807,-0.98205125,0.97267485,-0.0055713058,-0.0042121112,-0.0042121112,-0.5007574,-0.9831432,-0.9869683,-0.99523926,-0.9888179,0.6129173,-0.4920377,-0.4920377
2,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217,0.8542217
3,-0.9976176,-0.98845625,-0.98845625,-0.98845625,-0.98845625,-0.98845625,-0.98845625,-0.98845625,-0.98845625,-0.9992086,-0.9992086,-0.9895856,-0.9988611,-0.9988611,-0.9988611
4,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005,-0.9965005
5,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563,-0.9951563
6,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,0.94165087,-0.9988576,-0.9988576,-0.9988576,-0.9988576
7,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987,-0.9955987
8,-0.9945344,-0.9945344,-0.9945344,-0.9945344,-0.09899992,-0.09899992,-0.9710162,-0.9945175,-0.9945175,-0.9945175,-0.9945175,-0.9996414,-0.9996414,-0.9990729,-0.9990729
9,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.99938035,-0.9974771,-0.9974771
10,-0.99974316,-0.99974316,-0.99974316,-0.99974316,0.9996389,-0.9991603,-0.9991603,-0.9991603,-0.9991603,-0.9991603,-0.9991603,-0.9991603,-0.9991603,-0.9991603,-0.9991603
11,-0.9993868,-0.9993868,-0.9993868,0.9730155,-0.98378307,-0.98378307,-0.9753685,-0.9753685,-0.9753685,0.0015417039,0.0015417039,0.0015417039,0.0015417039,0.0015417039,0.0015417039
12,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943,-0.9778943
13,-0.91476744,-0.91476744,-0.91476744,-0.91476744,-0.91476744,-0.9986545,-0.9986545,-0.9986545,-0.9915173,-0.9915173,-0.9915173,-0.9915173,-0.9915173,-0.9957431,-0.9957431
14,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398,-0.9949398
15,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506,-0.99969506
16,-0.6201122,-0.6201122,-0.6201122,-0.6201122,-0.9944891,-0.8000793,-0.8000793,-0.8000793,-0.8000793,-0.8000793,-0.8000793,-0.95031625,-0.95031625,-0.95031625,-0.95031625
17,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574,0.97772574
18,0.6466628,0.6466628,0.6466628,0.6466628,0.6466628,0.6466628,0.6466628,0.6466628,0.6466628,-0.9660463,0.79165405,-0.99222624,-0.99222624,0.9918424,0.9918424
19,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.7973615,0.9957533,0.9957533
