row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.025266305,0.14508213,0.15313046,-0.011526731,-0.15016569,0.07976284,0.124449156,-0.025339989,-0.01723338,0.11449441,-0.075351454,0.021357337,-0.08214861,0.066609144,0.18139394,0.050336324,-0.029400716,-0.13865918,0.031323645,0.14162868,-0.19717246,0.04704246,-0.19257547,-0.05767982,-0.096231624,0.13024276,0.14876276,-0.013920707,-0.022242753,-0.14720768,0.016248534,-0.12097477
1,-0.017608609,-0.12572214,-0.109004125,-0.19414333,0.23700602,-0.08691536,-0.012695857,0.0891346,0.100205,-0.2479309,-0.095947266,-0.074116044,-0.11130481,-0.05508701,-0.031293154,0.12017314,0.15212184,0.12808049,0.070651904,-0.11573649,-0.05669709,0.06444438,-0.09555894,0.16194914,0.12633288,0.1136444,0.1823639,-0.03530473,0.07079882,-0.015323838,0.2238286,0.16248646
2,0.04174874,0.119442716,0.08516547,-0.0048513263,-0.0945718,-0.09095201,0.08426886,0.1812127,-0.12478237,-0.037907165,0.25282493,-0.083714485,-0.04995559,-0.09186131,0.03391102,-0.090322286,0.14670065,-0.010555729,-0.08478749,0.21254067,-0.16929671,-0.12014473,-0.1285013,-0.0805899,0.108474374,-0.11953757,0.020408716,0.013562717,-0.011758555,-0.045636926,0.13622594,-0.07373882
3,0.20450215,-0.03377819,0.07369445,0.025401307,0.00576903,0.08585209,-0.12917142,0.16018096,-0.10738141,-0.03316566,0.0026940117,-0.06520663,0.116844386,-0.08993471,0.1516603,-0.118104145,0.09505998,-0.053512875,-0.16496548,0.15753041,-0.079497464,0.016008738,-0.102866426,-0.08433823,-0.062322415,0.108854085,-0.09913017,0.013518146,-0.16155443,-0.17090073,0.086016186,0.08227192
4,-0.06597085,0.124066345,-0.027131293,0.11257193,0.030534765,0.07433557,0.15128863,-0.15288046,0.12603714,0.11108561,-0.19982372,-0.11632913,-0.03097658,0.013771568,-0.042936794,-0.062572345,0.081768006,-0.0429254,0.040429592,0.10479328,-0.073754735,-0.04739165,-0.16134723,-0.09186486,0.015343311,-0.04356957,-0.16377546,-0.112205714,0.1663946,0.026417473,0.07456115,0.04106016
5,0.07879904,-0.16311541,-0.16269898,0.054691426,-0.037361067,0.10723384,-0.15281883,0.039930638,-0.006260475,0.004540487,0.013859106,-0.21164116,-0.032431703,0.114169255,0.03135689,-0.07671883,0.035297297,0.16682523,-0.041229345,-0.1840052,0.16696899,0.028818551,0.054001372,0.17185955,-0.035442986,0.13696131,-0.060088716,-0.18533207,-0.046613917,-0.04549784,-0.19117145,0.021188343
6,0.002177866,-0.07978868,-0.1437536,-0.015375203,0.17597237,-0.10952229,-0.10326101,0.073124886,0.050527286,-0.10894018,-0.1846461,0.17908373,-0.20683844,0.10959934,0.009455007,0.0009859931,0.007261197,0.075548515,-0.13001928,-0.02700579,0.04313285,-0.045636002,-0.02227504,-0.03784746,-0.21285374,0.064815745,0.13961616,0.14254835,0.12844174,-0.10346451,-0.051810313,-0.18445638
7,-0.09208859,0.07679562,-0.007285411,0.17995715,0.11946707,0.07517394,0.033578884,0.017499808,-0.19614926,0.0052389465,0.1414601,0.10841509,0.044514496,0.02193452,0.042174038,0.06165296,-0.0027573598,0.002044045,0.01300253,0.042457025,-0.10588524,-0.13972421,-0.065408535,-0.042629328,0.18422662,-0.15952156,0.14625062,-0.13973092,-0.21781762,-0.041290067,0.020811649,0.20743228
8,-0.10404582,0.03353494,0.14579152,0.17405494,0.15549767,0.12388311,0.10523537,0.05330027,-0.16134693,-0.05414301,-0.061122637,0.11531605,0.10602985,0.06893272,0.043338954,-0.043156162,0.023839332,-0.01925484,-0.17730705,-0.11384591,-0.14457205,-0.060733184,0.07030527,0.10118009,-0.08061414,-0.0018688894,-0.14429097,0.022108478,-0.18517318,0.04741507,-0.12606831,0.017434554
9,-0.17657511,-0.15708935,-0.14049347,-0.048812367,-0.01561995,-0.07429873,-0.019166978,-0.08128678,0.17145018,0.0076257815,0.1259812,0.03719496,0.23145099,0.05095338,-0.042676803,0.08782386,0.022212358,0.10970562,-0.04046573,-0.18961018,-0.06957517,-0.04573438,0.17968994,-0.08718774,0.029334545,0.04332294,0.078598306,-0.19731446,0.011606093,-0.056423847,0.1370593,0.032863792
