row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.09182783,0.16098422,0.11814197,-0.0042461874,-0.109333746,-0.016960144,-0.14059679,0.16554493,-0.020587768,0.1566545,-0.16165024,0.004371732,0.028535036,0.052171916,0.038466774,-0.15984774,0.13051245,0.0039568604,-0.09191413,-0.047873165,-0.17382786,-0.19120742,0.023537926,-0.05945583,-0.06830517,-0.12156701,0.0033865464,-0.1371179,0.20741858,-0.12438846,0.031117216,-0.06032712
1,-0.090976134,-0.12958398,-0.06379642,-0.1332426,-0.0017688795,-0.13582188,-0.06989922,-0.07289076,0.097428195,0.11240453,0.025882361,0.123199396,0.12882885,-0.069944344,-0.06398445,0.011933839,-0.03620642,0.056050505,-0.1134256,-0.14242429,0.13539538,-0.032146387,-0.007486736,0.16090342,0.021554537,-0.10164198,-0.19914372,0.08000095,-0.047500346,0.124308884,0.046016686,0.008557163
2,-0.032998413,-0.16816571,0.19766608,-0.0748092,0.00813868,-0.0977026,0.15252544,-0.06257061,-0.09625011,0.056798052,-0.122846775,-0.19050916,-0.16180375,-0.052804902,-0.10576948,-0.008145317,-0.12246054,-0.11317248,-0.03571693,0.008504401,0.015166136,-0.1728816,0.1522472,-0.04013212,0.03191463,0.026432116,-0.036703445,-0.009336361,-0.12438773,0.012882087,-0.08237209,0.024319183
3,-0.13451105,0.042221054,0.078125276,-0.15642382,0.058774218,0.09621335,-0.025927052,0.10950297,-0.0028558285,0.15022959,-0.13787368,0.14414957,0.107813016,0.103253976,0.1077732,0.11273394,0.06482852,0.008214014,0.10898739,-0.05882914,-0.07425253,0.051208273,-0.054606274,0.06430864,0.0107769305,-0.009848196,-0.04382656,-0.105365165,-0.09240566,0.09509767,0.11012399,0.032582708
4,0.14114723,-0.015290603,0.028678024,-0.07369668,-0.10678722,0.007319792,0.09088956,-0.027277993,-0.18102342,-0.017303575,-0.20903896,0.122500695,-0.045209315,-0.019461893,0.17778563,-0.16928235,0.13230322,0.04951035,0.0038383673,-0.111007504,-0.20703278,-0.0034421303,0.014952712,0.06613253,-0.22110768,0.086382106,-0.15749374,0.089292176,-0.025258228,-0.08528704,-0.055529065,0.0878088
5,-0.052225135,-0.05501453,0.105939224,0.03157749,0.0030378194,-0.1727751,-0.1283279,-0.04352392,-0.14799571,0.14364792,-0.0354869,-0.12834737,0.08415997,0.027014876,-0.09239999,-0.14624478,-0.011244508,0.10021579,-0.12965792,0.1321843,-0.16021985,0.1289071,-0.03155077,0.036126256,0.042101137,0.13971491,-0.0058522397,0.16606745,-0.16588174,-0.030845009,0.0047253547,0.07699965
6,0.08112517,-0.00027922366,0.06912267,-0.16250056,-0.1390985,0.03676434,-0.14624962,0.09681649,-0.060380932,0.12767231,-0.1399499,-0.10715161,-0.11142999,-0.027468853,0.029703716,-0.040348496,-0.066432714,0.1009179,-0.025831336,0.16798861,0.11104469,-0.10032871,0.028914321,0.07686593,0.008564299,-0.02043429,0.0010611598,0.09197797,0.0038141855,-0.075341955,0.05379648,-0.08264932
7,0.07303584,-0.13866542,0.04787698,0.06081987,-0.08828951,-0.025101785,0.17565334,0.07976356,0.16234289,0.017121376,0.03035222,0.020989157,-0.06256827,-0.18627322,0.027491856,0.16461831,-0.03298521,0.029800568,0.20738074,0.054167815,-0.040736683,-0.1557798,0.119427726,0.13679539,0.12857963,-0.17167963,-0.08122745,-0.112479545,-0.019141672,0.13190827,0.0074306102,0.20407368
8,-0.13377179,-0.10670345,0.10962887,-0.14101376,-0.09235318,-0.1390381,-0.117848,-0.03184904,-0.013348674,-0.025518201,-0.11310709,0.12708521,-0.02699406,-0.029185329,0.11735171,0.07954013,-0.16819377,-0.08937153,-0.021610111,0.1236887,0.10232155,-0.086439125,-0.118733585,0.20211749,0.028233996,0.13156627,-0.030436885,0.12764342,0.08674624,-0.069540985,0.13856772,-0.09036348
9,-0.16949187,-0.12676628,-0.077677384,-0.090056546,0.02578023,0.017431756,0.08825159,0.00031945168,0.08056511,-0.18824324,0.18079637,0.014213797,0.018441143,0.06295246,0.13982923,-0.15155785,-0.10437518,-0.06840136,0.12399807,-0.116929434,0.121083796,-0.06150551,0.05528486,-0.10981227,-0.1312296,-0.084921606,0.024486337,-0.0627814,-0.03641953,0.086400695,-0.17525524,-0.12942523
10,0.10097454,-0.10950258,-0.11676262,-0.16159518,-0.12938577,0.10543625,0.13074578,-0.0044584856,0.1742361,-0.07859114,-0.06907211,0.19947256,-0.08216813,-0.097906694,0.12374732,-0.1789731,0.08455673,-0.117586955,0.11582021,0.056239408,0.10591339,-0.060512472,0.08315894,-0.031563826,0.015713237,-0.047369096,0.011447348,0.018086374,0.20528832,0.17229064,-0.07020205,0.09986577
11,-0.12070725,-0.0432875,-0.13863604,0.09221278,0.14633028,-0.053720683,0.2029272,-0.088113725,-0.038309343,-0.11741271,0.016283449,-0.114297524,-0.11738499,-0.1391986,0.061091468,0.051158138,0.13800506,0.103201374,0.040463746,0.06796691,-0.008620091,0.09930255,-0.13341455,-0.11859976,0.24120335,0.13007319,-0.012674883,0.072820485,-0.19956541,-0.14617395,0.10938156,0.08615272
12,-0.1649309,-0.1526456,-0.053406704,-0.0059428914,0.032944325,-0.18558331,-0.056310527,0.16327073,0.21399367,-0.21056865,-0.027841968,0.07846778,0.04793085,0.007233007,0.09685704,-0.024581455,0.1091615,0.15899228,0.20626135,0.010605116,0.01553685,-0.08243333,0.010306978,0.058359712,-0.055770013,0.09788688,0.089686245,0.14561333,-0.1291253,0.06093851,-0.18424307,0.08089824
