row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.085489154,0.10231689,0.0747121,-0.07589216,0.19019751,-0.03607186,-0.033601545,0.30023873,0.13455762,0.130994,0.13618588,0.0328484,0.1079888,0.10359744,-0.013749795,-0.12500328,-0.07018772,-0.053272523,-0.05065133,-0.116214834,-0.17168596,0.095426396,0.048828337,0.014398627,-0.038690343,-0.16174252,0.08636675,-0.123585306,-0.085838646,-0.022332773,0.059299022,-0.052418698
1,-0.13798355,0.068203695,-0.23457825,-0.18233006,-0.28259423,0.05682709,0.22234996,-0.089216806,-0.07672921,-0.09628254,0.023753736,-0.15130988,-0.00747688,-0.305581,-0.15721741,-0.07240285,-0.25421065,-0.09261818,-0.015368448,0.017628118,0.016928941,-0.046262674,-0.05322413,0.06702985,-0.26018584,0.081895374,-0.32869002,0.12068032,0.048269313,-0.00092734455,-0.02299248,0.03059629
2,-0.029793948,0.25324488,0.018479044,-0.061729696,-0.12226493,0.11774389,-0.1162828,-0.22401749,-0.28751874,0.2239502,-0.14416125,-0.028794125,0.13406001,0.079591475,0.00072209135,-0.14717393,0.15519495,0.21031067,-0.20843604,0.2310735,0.2002591,0.077226214,-0.07992538,-0.06594571,0.055100888,0.018872067,0.033560768,-0.21190941,-0.031644475,0.0016073877,0.12886035,-0.12103888
3,0.007893326,-0.029129576,-0.03990531,0.027979717,0.011142873,0.08832599,-0.042951457,-0.0033725223,0.020398462,-0.027994793,0.0017628034,0.0350171,-0.016147219,-0.059939273,-0.027351163,0.056062296,-0.06589546,0.0034736549,0.10418243,0.042992488,0.04150594,-0.036356494,-0.038549647,0.05706349,-0.044541523,-0.033258576,-0.033871792,-0.018561665,0.049779214,0.0001733427,-0.090797596,0.03961067
4,-0.12998135,0.10991235,0.3829927,0.22247241,0.19682445,-0.06558075,0.105933085,0.13960044,0.043222763,-0.12374391,0.106129654,-0.21565542,0.04970349,0.11102604,0.11867038,0.2412526,0.30475888,0.32842654,0.091181025,-0.123980895,-0.20209625,0.19705522,0.069371164,-0.064430065,0.1320531,0.039835438,0.15623827,0.25667948,-0.008309219,-0.17441481,0.07124406,0.028188307
5,0.09831922,-0.24370374,-0.12555952,0.042615872,0.009607913,-0.036742304,0.20711584,0.24646658,0.3155091,-0.2340738,0.1551581,0.3031633,-0.35820538,-0.30030924,-0.08981496,0.24563752,-0.18207164,-0.5773334,0.44598594,-0.43487024,-0.0151743125,-0.013136162,0.11592177,-0.019052561,-0.080143265,-0.10313197,-0.14640051,0.08826947,0.08886495,-0.05438321,-0.32174578,0.29784372
6,-0.050817065,-0.0012095307,0.0020739231,-0.0076836953,-0.005835121,0.00018751025,2.9632163e-05,5.0413437e-06,0.00015976162,-0.0013984132,-0.018537356,-0.00065089145,-1.596582e-07,-0.003064569,-0.007484538,0.03292844,1.5557978e-05,3.7308437e-05,-0.0023323316,0.0036805505,-0.006737861,-0.005571081,2.914805e-05,0.003175342,-0.00041615887,0.006835428,0.00752375,-0.0023885528,0.016099831,0.0055947863,-0.0058243996,0.0036384945
7,0.12644008,0.09742703,0.04259764,0.18570271,0.06338453,-0.060273476,0.021233726,0.36631712,0.07354573,-0.15744615,0.29020977,-0.08306443,-0.12479112,0.118006125,-0.029707043,0.19347963,-0.1372969,-0.13258219,0.12184531,-0.047028325,-0.21457873,0.061976288,0.1655865,-0.14725876,0.13270776,-0.29893497,0.16163239,0.04802198,0.022346197,-0.2743362,-0.08354513,-0.06981287
8,0.15746008,0.05513489,0.2669008,0.24743095,0.24388513,-0.48699853,0.232006,0.42560878,0.5629208,-0.35493225,0.34044027,0.026806215,0.03961124,0.14885357,0.051513627,0.23655477,0.02337574,-0.1103996,0.04171053,-0.16685562,-0.18358971,0.23600966,0.27782378,-0.03490378,0.09912236,-0.20369369,0.32054123,0.11767269,-0.3584546,-0.38411093,-0.030553332,0.43451053
9,-0.009070605,0.024421444,0.109728605,0.044662554,-0.004379781,-0.09319758,0.03633789,-0.19553207,-0.19395259,0.006822473,0.052912824,0.09611779,-0.0338722,0.05771479,-0.099917345,-0.20141694,0.018945115,0.14839071,-0.0013466582,0.08892456,-0.019711664,-0.17645295,0.0020912904,0.08292976,0.008062611,0.018320242,0.099486746,-0.029332517,0.04607738,0.2125049,-0.11613539,-0.1662675
