user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13,t_14
0,0.9990747,0.9990747,0.015871078,0.9990747,0.9990747,0.9990747,0.9990747,0.9990747,0.9990747,0.9951758,0.9990747,0.9990747,0.9990747,0.9990747,0.9990747
1,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398,-0.9936398
2,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,-0.99840975,0.76141,0.76141,0.76141,0.76141
3,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836,0.95981836
4,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294,-0.98904294
5,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318,-0.9994318
6,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666,-0.9984666
7,-0.87431353,-0.87431353,-0.9918351,-0.9918351,-0.9918351,-0.9918351,-0.9918351,-0.9918351,-0.96578425,-0.98285437,-0.98285437,-0.9947162,-0.9947162,-0.9947162,-0.9947162
8,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412,-0.15529412
9,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734,-0.9993734
10,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99497294,-0.99936396,-0.99936396,-0.99936396
