row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.18805362,-0.019295558,-0.18175618,-0.070963845,-0.19563994,0.15528473,-0.08567639,0.036136173,-0.007995432,0.047371525,0.10501157,0.10270509,0.10222671,0.039362043,-0.07846522,0.24211863,-0.07554387,0.14364423,0.1257356,0.0064490023,0.1706172,0.030431984,0.012280923,0.12697388,0.18985267,-0.14665149,-0.03241494,-0.015537114,0.00730473,0.08987112,-0.032707267,-0.03873798
1,0.086154684,-0.055866994,-0.07780953,0.18308182,0.11870306,-0.11909715,0.08876991,0.028737858,-0.06285409,-0.032745216,-0.10777266,-0.1983542,-0.19507731,0.11799415,-0.025466237,0.07389691,0.051027186,-0.10204921,0.09456055,-0.043606754,0.024119101,-0.08435591,-0.07709276,0.14533964,-0.12891333,0.107681386,-0.116390765,-0.10396226,-0.14704967,-0.008159724,0.014262364,-0.20437203
2,-0.218687,-0.09038196,-0.15221892,-0.019147128,0.069389604,0.015716972,0.176378,0.09956883,-0.015293354,0.13687162,-0.04794439,0.039902154,0.08914393,-0.011964785,0.06691859,0.17349489,-0.17779641,0.10448838,0.10280753,0.12165415,0.029704837,0.01931025,-0.08871559,0.0070526334,0.1871978,-0.06951928,-0.16352852,0.062570766,0.075193994,0.018577484,0.049122937,-0.01464185
3,-0.15785347,-0.01537419,0.03155264,0.13703078,-0.025093956,-0.112457775,-0.06866445,0.14246248,0.16726972,0.23736833,0.09682545,0.0126679735,-0.1041218,-0.13471252,-0.17520595,-0.024632573,0.09046433,-0.01764471,-0.032121524,0.11578874,0.02501243,-0.15398327,-0.110626176,0.026781939,-0.05925443,-0.07570354,0.066904366,0.08625311,0.05220434,0.030391406,-0.097549625,0.06560595
4,-0.029430645,-0.21811125,-0.17810324,-0.13845895,-0.0036632498,-0.1093127,0.08006872,0.01835096,0.13795015,-0.1075845,0.03326869,-0.06597599,-0.1215628,0.098230645,-0.08307639,-0.106511235,0.0877149,-0.07921273,0.1436559,-0.025241915,-0.040411934,0.049943164,-0.0866542,-0.22338174,0.031090664,-0.014377334,0.013436591,-0.14149925,0.14928055,0.15622868,-0.008782018,-0.012886763
5,0.046588138,-0.15176332,0.121922955,0.120100796,0.03319441,-0.08494116,0.20645039,-0.056900468,0.027861897,0.08614115,-0.0826107,-0.08769865,0.13677377,0.0034397587,-0.06629404,0.107902035,0.07364472,0.034434,-0.11909078,-0.09776517,0.17452957,0.045330226,-0.11481329,0.20883615,0.012755719,-0.12860623,-0.08164064,-0.11720102,0.07681798,0.09479532,0.06769471,-0.19635904
6,0.117537096,-0.105468065,-0.032967318,0.015119643,0.115396105,0.07547128,-0.19914661,-0.0114278495,-0.012899633,-0.06646405,0.11604236,0.10182025,-0.1416158,0.21125263,-0.05996302,-0.0957157,0.08446043,-0.019468043,-0.013918649,0.05058811,0.06652354,0.09035596,0.11086185,-0.029370368,-0.07138261,-0.017565237,0.23351876,0.059066255,0.12069682,-0.10814748,-0.12430672,0.12302106
7,0.020944195,0.19705613,-0.09628205,-0.18271917,0.055572752,-0.1206614,-0.010156685,0.18553391,0.039660063,-0.16683863,-0.0030478903,0.056601893,-0.10299514,0.15774266,0.09065249,0.09842055,0.031664856,0.055653695,-0.07733263,-0.22923668,0.08487252,0.25165048,0.23180473,-0.24047515,-0.17421313,0.2174295,-0.20166907,-0.22754276,-0.17253566,-0.20229757,-0.032886762,0.10672364
8,-0.20980102,0.082060464,-0.088636935,0.07458738,-0.12263259,-0.054951392,0.06563007,0.022275481,0.18433258,0.042602617,0.07606331,-0.17861792,0.06553969,0.015013001,-0.17404653,-0.0911073,0.081102595,-0.17492738,0.046823468,-0.011679226,0.05116075,-0.0731578,-0.1887027,0.044355746,-0.10728465,0.13989007,-0.05926346,0.009258948,-0.1513992,0.10815098,0.06989389,0.06547675
9,-0.007947699,-0.15355721,-0.090284795,0.018443994,0.07811903,-0.074667625,0.21857037,-0.11672093,0.1078419,0.22521628,0.081076756,-0.035312474,0.06708065,-0.10331192,-0.17129745,-0.004835656,-0.10139225,0.1087798,0.15726171,0.17303382,0.17604762,0.08408427,-0.1443641,-0.061571892,0.027927123,-0.016168145,-0.14004499,0.08127787,0.11066925,0.027082095,0.022160808,0.037212685
