row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.015419533,-0.0028073445,-0.1474968,-0.117091276,0.17564286,-0.09577862,-0.010310599,-0.075883746,0.09582349,0.10580215,-0.06747092,0.08676192,0.1196356,0.09433723,-0.013659064,-0.06440001,0.18298781,0.0030604901,-0.008476976,-0.093782656,-0.18683048,0.17314874,0.10546369,0.16068791,0.05316306,0.08973122,-0.02177783,0.11274636,0.10693018,0.048078246,0.03461344,-0.045996465
1,-0.06893417,0.009353205,-0.15824719,-0.14794658,-0.029135024,-0.16383785,-0.104142636,0.13247147,0.04091569,0.06731275,0.07112059,0.17021646,0.09137599,0.089291535,-0.11644295,0.04394373,-0.06681386,-0.013867102,0.18645476,0.023367997,0.1138534,0.08233634,0.09318587,-0.091532946,-0.13347182,0.094341755,0.1840489,0.13671288,-0.028842278,0.092906184,-0.15873371,0.008298703
2,-0.1869182,-0.118901305,-0.07327398,-0.1487657,0.027024373,-0.17684184,0.00012060697,0.16725326,-0.14443506,-0.040878568,0.160725,-0.07212063,0.025361579,0.12744528,-0.013722782,0.13554795,0.11579383,0.14635155,0.15947342,0.0085279625,0.026602251,0.094380304,0.0017710701,-0.019225523,-0.08553973,-0.00055152003,0.09146537,0.10321185,0.0068558427,-0.107529536,-0.109375544,-0.023994097
3,-0.11030909,0.14460248,0.087866485,-0.17545672,-0.010466963,-0.11651079,0.06033129,-0.10275131,-0.0036932142,-0.01998803,0.03825303,-0.11788703,0.15158273,0.065041296,-0.051254068,0.19012353,0.009318407,0.18375397,-0.09428027,-0.087295964,-0.015648173,-0.022072958,-0.006311953,-0.10449113,-0.020347122,0.08769941,0.12818423,0.17017792,0.1142834,0.019746495,-0.061487287,0.120385416
4,0.14780614,-0.026878936,0.101158835,0.101078115,-0.011506939,0.10058188,-0.122257456,0.03576493,-0.037841123,0.0486039,-0.18148205,-0.068932794,-0.05059178,0.066619046,-0.0347166,0.0052930424,-0.24729937,-0.05601417,0.07956148,-0.23706342,-0.103417054,0.04052153,-0.15583067,0.0008825311,-0.05316032,0.09593789,-0.11219432,-0.06667505,-0.030153826,-0.11725563,0.12259457,0.16148897
5,0.26013252,-0.12223567,-0.046098497,-0.09637759,-0.14422165,0.098639525,-0.14501691,-0.0638225,-0.039288912,0.105050676,-0.10914651,-0.021272562,0.012938209,-0.0755228,-0.124003015,-0.038307898,0.11755403,-0.2630115,-0.056378365,-0.11808464,-0.13568321,0.021158433,0.0758746,-0.1109959,-0.14407022,0.008741759,-0.14618403,0.026926821,-0.053530835,-0.04522394,0.12424606,-0.04979829
6,0.18741786,0.0023164877,0.14741771,-0.08248047,-0.007794964,-0.07105721,-0.0011172212,0.050534695,0.17705914,-0.07561859,0.0887911,-0.008480581,0.0035078446,0.08592764,0.07626038,-0.05101799,-0.17790875,-0.2125642,-0.1367366,0.08369049,-0.11190201,0.022461895,0.1143218,-0.1746791,-0.11715509,-0.1324534,0.085633814,-0.014161556,-0.13403417,0.14164408,0.07152087,-0.12802507
7,-0.060673833,0.03749908,0.021619884,0.13977984,-0.027245384,-0.03412424,0.04909761,-0.13308708,0.041007344,0.020712774,-0.14929684,0.18898804,0.14302789,0.08027249,0.13326378,-0.10400562,0.12981811,0.007866208,-0.17922933,0.031083588,0.083538204,0.06719003,-0.07799437,0.113184996,0.1744526,0.020507885,0.02292635,-0.081870794,0.03476253,0.13556446,-0.034563646,-0.10586716
8,-0.050739825,0.063544534,-0.08543661,-0.011366977,0.00891865,-0.053868085,0.13360916,0.08784287,0.06658948,0.05040526,-0.06617372,0.036808368,0.013967208,-0.12307416,0.20082784,-0.033545427,-0.082360685,-0.033023413,0.0070176865,0.106174484,0.012531817,0.1482303,-0.0035260469,-0.11398788,-0.011248031,-0.1976444,-0.030247109,-0.11122851,0.100133464,-0.04002893,0.09514653,0.16550805
9,-0.1371861,0.0017056525,0.031180868,-0.07577305,-0.075080924,0.115817696,0.19754621,-0.082144596,-0.14448878,0.01607825,0.059202082,-0.122949764,0.14382036,0.09025756,0.07799025,0.06974506,-0.03299566,0.0072765388,-0.011903499,-0.048499078,-0.10939108,-0.096318305,-0.069329426,-0.06992781,0.052682493,-0.22869553,-0.07199824,-0.06745826,-0.06325917,0.13448055,0.11883242,-0.013610722
