row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.026789542,-0.052925836,-0.07546857,-0.25342095,-0.027230587,-0.041098733,-0.15414496,0.17955655,-0.22252443,-0.33488864,0.37258238,-0.16071184,0.2734946,0.20701693,0.023748131,-0.011360941,0.117580004,0.27008125,0.036108747,0.1281338,-0.40784565,0.3677714,-0.124272615,-0.029605197,-0.041491587,0.18620929,0.079945795,0.26746464,0.05486458,-0.032885347,-0.17953163,0.13648276
1,-0.04769657,0.033799365,-0.013110706,-0.14957035,0.0069528767,-0.02935107,-0.13845226,0.16625263,0.05576187,0.122833274,0.14728932,0.12092164,0.013966745,0.01614608,-0.108938836,-0.106741674,0.16287486,0.17923416,-0.078355975,-0.018620217,-0.19198544,-0.073521815,-0.055763233,0.05541977,-0.042660575,0.062264536,-0.14196792,-0.083432764,0.04794624,0.1476704,0.024520976,-0.08527437
2,-0.055508256,0.03825287,0.01581776,0.07765685,0.08181441,-0.081648074,0.03356935,-0.017453674,0.07517322,-0.07825992,-0.04619131,-0.09304142,0.07236358,-0.005480838,-0.044977017,0.083015844,0.026337853,0.03863694,0.13568996,0.07104063,-0.16592683,0.08883773,-0.14331605,0.076819755,0.040810857,0.021469912,0.10932404,-0.016740318,0.047433447,0.136442,-0.012281132,0.13318655
3,-0.027719067,-0.019065185,0.009587252,0.048970133,0.03041386,0.0014010392,0.0052867862,-0.06712459,-0.10061516,-0.02710448,0.05412709,0.10723452,0.1328057,0.043165825,-0.060166407,0.13939264,0.19868276,0.17621784,0.0077768667,0.005382784,-0.082681574,-0.046628162,-0.045490693,0.10428668,-0.045263663,-0.063816704,0.114804514,0.10266436,0.086159356,0.07033289,-0.06482011,0.015753794
4,0.670477,0.10941229,-0.04092238,0.109855436,-0.11090665,0.30739164,-0.17355576,0.02315035,0.0018942157,-0.10368824,-0.25848904,0.26829213,-0.21567342,-0.21122837,-0.35350242,-0.20383301,-0.34569892,-0.072274715,-0.015376529,-0.109062195,0.22668351,-0.21604721,0.062793024,0.034483008,-0.09976909,0.31132534,0.069724336,-0.27789068,-0.008374796,0.026585054,-0.04923325,-0.040894292
5,-0.07690755,0.07175209,-0.0936578,0.09131279,-0.061181862,-0.072794184,0.04732948,-0.0045057964,0.03301443,-0.16042086,0.087809496,0.10306533,-0.11184852,-0.06324898,-0.14594336,0.04072685,-0.114124656,-0.11368696,0.13517424,-0.072201125,0.04188847,0.07469655,-0.086047366,0.16713518,-0.12971283,0.043937217,0.12287085,0.12239473,0.061193455,-0.01723032,-0.058028825,-0.07044463
6,0.03390925,-0.12553957,-0.06070284,0.07833424,-0.13187666,0.09733008,-0.031304233,-0.08569812,0.02858762,-0.05180511,0.065587915,0.04796109,0.14911939,0.088067815,0.0030640855,-0.1367197,-0.0997957,-0.09597951,-0.008151797,-0.1346368,-0.16416441,0.0016407946,0.055433102,0.11206703,0.08591085,0.047831155,0.07409645,0.15000111,-0.09442302,0.001452294,-0.010465586,0.01572904
7,0.016758423,-0.1639216,0.15325235,0.08110088,-0.2334563,-0.005026186,0.1203604,-0.05611582,0.08234258,0.10416321,0.04098583,0.07009171,-0.1130272,-0.114708304,-0.010447044,-0.039672367,0.12142597,-0.2970592,-0.045833625,-0.19854791,0.11371059,-0.030601207,-0.04654558,-0.04186118,0.0077116787,0.035991874,0.07603448,-0.1303269,-0.03607778,-0.025508387,0.010535477,-0.11560417
8,0.09307196,0.15123664,-0.09494374,-0.09534613,0.1098709,-0.1379736,-0.06806123,0.07894414,0.08300057,-0.2267384,0.05311607,-0.05777969,0.15203057,0.16501513,0.025169471,0.25861186,0.10124829,0.03156994,0.10102523,0.11347379,-0.16754691,0.026676342,-0.12531734,-0.15939578,-0.068746984,0.016955001,0.0092758825,0.1909273,0.18823218,0.12400011,-0.034237698,-0.029545551
9,-0.09834522,0.3043759,-0.38077983,-0.29346445,0.56551605,-0.044019636,-0.05976482,0.34837052,-0.34881136,-0.52646613,0.7345866,-0.29409194,0.23004009,0.4261281,-0.044021867,0.032044962,0.28692254,0.3499273,0.17109664,0.26571584,-0.6417582,0.63245136,-0.2150163,-0.018722607,0.08744259,0.16737376,0.15962024,0.09216377,0.06072271,0.020023543,-0.22615717,0.14851677
10,0.5346399,0.016099978,0.01432593,-0.013537583,-0.054548804,0.14749901,-0.13864556,-0.40641502,0.029506186,0.08824304,-0.058037978,0.15414232,-0.018170014,0.0016883869,0.4758841,-0.31220734,-0.51759744,-0.07688144,-0.029884897,-0.21909557,0.12076426,-0.06305335,-0.007223747,0.0067425068,0.3603356,0.16276327,0.08070192,-0.11373886,0.0872235,0.097953364,0.10739614,0.0031556601
