user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
0,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884,0.7505884
1,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892,-0.9985892
2,-0.000102996826,-0.000102996826,-0.000102996826,-0.000102996826,-0.000102996826,-0.000102996826,-0.000102996826,-0.000102996826,-0.000102996826,-0.992653,-0.992653,-0.992653,-0.992653,-0.992653
3,0.98862445,0.98862445,0.98862445,0.98862445,0.98862445,0.98862445,-0.72420686,-0.72420686,-0.981361,-0.981361,-0.981361,0.6746893,0.6746893,0.6746893
4,-0.9838208,-0.9838208,-0.9838208,-0.91615075,-0.91615075,-0.91615075,-0.98803866,-0.98803866,-0.98803866,0.99297744,-0.9992887,-0.9992887,-0.9992887,-0.9992887
5,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917,-0.14202917
6,-0.9834003,-0.9834003,-0.9834003,-0.99733907,-0.99733907,-0.99733907,-0.9964539,-0.9964539,-0.9964539,-0.9964539,-0.9964539,-0.9964539,-0.9964539,-0.9964539
7,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482,-0.9921482
8,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523,0.87060523
9,-0.92905533,-0.92905533,-0.92905533,-0.92905533,-0.92905533,-0.92905533,-0.9961788,-0.9961788,-0.9961788,-0.9961788,-0.9961788,-0.9929745,-0.9929745,-0.9929745
10,0.8525025,0.8525025,0.8525025,0.8525025,0.8525025,0.8525025,0.8525025,0.8525025,0.8525025,0.8525025,-0.9996314,-0.9996314,-0.9996314,-0.9996314
11,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866,-0.99975866
12,-0.99812514,-0.99812514,-0.99812514,0.90787846,0.90787846,0.9975235,-0.9994493,-0.9996717,-0.9996717,-0.9995065,-0.9995065,-0.9995065,-0.9995065,-0.9995065
13,-0.91791975,-0.91791975,-0.91791975,-0.990128,-0.990128,-0.990128,0.9983376,0.9983376,0.9983376,0.9983376,-0.9982216,-0.99190396,-0.99190396,-0.99190396
14,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627,-0.97938627
15,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371,0.9974371
16,-0.99220616,-0.99220616,-0.99220616,-0.99220616,-0.99220616,-0.99220616,-0.99220616,-0.99220616,-0.99847287,-0.99847287,-0.9869773,-0.9869773,-0.9869773,-0.9869773
17,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473,-0.98729473
18,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822,-0.996822
19,-0.99954236,-0.99954236,-0.99954236,-0.99954236,-0.99954236,-0.99954236,-0.7794186,-0.7794186,-0.7794186,-0.7794186,-0.7794186,-0.7794186,-0.7794186,-0.7794186
20,-0.9997621,-0.9997621,-0.9997621,-0.9997621,-0.9997621,-0.9997621,-0.9997621,-0.9688062,-0.9688062,-0.9688062,-0.9688062,-0.9688062,-0.9688062,-0.9688062
21,-0.9574286,-0.9574286,-0.9574286,-0.9574286,-0.9574286,-0.9574286,-0.9574286,-0.937674,-0.937674,-0.937674,-0.937674,-0.937674,-0.937674,-0.937674
22,-0.99718946,-0.99718946,-0.99718946,-0.99718946,-0.99718946,-0.99718946,0.9900032,0.9900032,0.9900032,0.9900032,-0.9966833,-0.9966833,-0.9966833,-0.9966833
23,-0.99944144,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643,-0.51492643
24,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293,-0.98592293
25,-0.99738187,-0.99738187,-0.99738187,-0.99738187,-0.99738187,-0.99738187,-0.99738187,-0.99752456,0.9997603,0.9997603,0.9997603,0.9997603,0.9978091,0.9978091
26,-0.99879575,-0.99879575,-0.99879575,-0.99879575,-0.99879575,-0.99879575,0.9211148,0.9211148,0.9211148,0.9211148,0.9211148,-0.9069379,-0.99608517,-0.99608517
27,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,0.99330246,-0.99324,-0.99324
28,-0.9892229,-0.9892229,-0.9892229,-0.9892229,-0.9892229,-0.9892229,-0.99547714,-0.99547714,-0.99547714,-0.99547714,-0.99547714,-0.99547714,-0.99547714,-0.99547714
29,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812,-0.9992812
30,-0.9996995,-0.9996995,-0.9996995,-0.9996995,-0.9996995,-0.9996995,0.62976414,0.62976414,0.62976414,0.62976414,0.62976414,0.62976414,0.62976414,0.62976414
31,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113,-0.66113
32,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323,-0.99944323
33,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,-0.99855214,0.9926246,0.9926246,0.9926246
34,-0.8370663,-0.8370663,-0.8370663,-0.8370663,-0.8370663,-0.8370663,-0.9038423,-0.9038423,-0.9038423,-0.9038423,-0.9038423,-0.9038423,-0.9038423,-0.9038423
35,-0.9981481,-0.9981481,-0.9981481,-0.9981481,-0.9981481,-0.9981481,-0.9981481,-0.9981481,-0.9981481,-0.9988249,-0.9988249,-0.9988249,-0.9988249,-0.9988249
36,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169,0.007814169
37,0.9995395,0.9995395,0.9995395,0.9995395,0.9995395,0.9995395,0.9995395,-0.96237975,-0.96237975,-0.96237975,-0.96237975,0.9194499,-0.9994715,-0.9994715
38,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583,-0.9935583
39,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205,0.9509205
40,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008,-0.9969008
41,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781,-0.9882781
42,0.9939626,0.9939626,0.9939626,0.9939626,0.9939626,0.9939626,0.9939626,-0.99918145,-0.99918145,-0.99918145,-0.99918145,-0.99913615,-0.99913615,-0.99913615
43,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027,-0.9780027
44,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675,-0.9970675
45,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535,-0.9963535
46,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744,-0.9893744
47,-0.98343384,-0.98343384,-0.98343384,-0.98343384,-0.98343384,-0.98343384,-0.99958867,-0.99958867,-0.99958867,-0.99958867,-0.99958867,-0.99958867,-0.9974999,-0.9974999
48,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079,-0.9992079
49,0.98675805,0.98675805,0.98675805,0.98675805,0.98675805,0.98675805,0.98675805,0.98675805,0.9920272,0.9920272,0.9920272,0.9920272,0.9920272,0.9920272
