row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.115785226,0.08343325,0.069358915,-0.07472593,0.03661361,-0.048971836,-0.08835525,0.05403471,0.12772864,0.115387954,0.042727184,-0.06129547,-0.0039828615,0.108388044,-0.13331628,0.047850534,0.019598722,-0.09171243,0.07630028,-0.034865852,0.1684441,-0.053962216,-0.054877155,-0.19137579,-0.115602806,-0.23682196,0.17888542,-0.15124041,-0.019751718,0.28204346,0.122091085,0.1582417
1,0.01431296,0.0031065182,0.24527845,0.13026923,0.15699685,0.07162454,-0.05671301,-0.19287899,-0.07232973,-0.056278307,0.15227565,-0.20705506,-0.084572084,-0.017379748,0.091954865,-0.22803847,0.017421188,0.018719738,-0.026971541,-0.16287187,-0.03736403,0.00043483195,-0.041410204,0.22931015,-0.10101326,0.20345625,-0.06170408,-0.02706423,-0.07175908,-0.14484002,0.076547585,0.04135972
2,-0.0179148,-0.05600763,-0.11320766,-0.11074268,0.018435195,-0.121701404,-0.17676488,0.016725253,0.13914944,0.114240184,-0.08371114,-0.1399495,0.0961606,0.20333755,-0.19183122,0.22245789,0.078704864,-0.18337081,-0.06524422,-0.058885504,0.091435306,-0.0018359079,0.07114971,0.013788076,-0.21553846,-0.17131865,0.14310874,-0.18054715,-0.068837546,0.16470638,-0.028543951,0.19068557
3,0.032844707,0.10001556,-0.1556776,-0.045947965,-0.057835974,-0.13031942,0.07328223,0.0015795595,-0.0728036,-0.030633697,0.029915057,-0.066921055,-0.12652697,0.07118233,-0.11647728,0.09161225,0.09937781,-0.035864804,0.039007615,0.05649863,0.016560933,0.06866027,-0.09725212,0.118938446,-0.12704618,-0.046382684,-0.07799146,-0.025542255,0.14984937,0.15360695,-0.032120883,0.022611093
4,0.14413884,-0.083752945,0.057316843,0.094012335,0.24772917,-0.24175611,0.09647542,-0.058977827,-0.13099878,0.1445337,-0.20951505,0.17336817,0.050755776,0.1384908,-0.16804957,0.024543345,-0.08871783,-0.023882074,-0.15238771,-0.1561793,-0.039946876,-0.07590448,-0.20609406,-0.060893767,-0.19199558,0.18676741,0.1226956,-0.0825056,-0.06970441,-0.0063497685,0.04521244,-0.23370218
5,0.05688235,0.026868608,-0.0097584035,0.007387394,-0.009346833,0.10231145,0.013263743,-0.059529413,-0.10584581,0.018998032,-0.0522603,0.07297585,-0.083386,-0.10320626,0.004336101,-0.03588094,0.035999548,0.02477084,0.11824805,0.059646696,0.059459932,0.12861241,-0.07153852,0.012408731,0.09896151,0.109311625,-0.14347224,0.06143661,-0.0042808983,-0.2069944,-0.058671214,-0.0807672
6,-0.02216196,0.05446239,-0.0069421753,-0.016157525,-0.07793065,-0.06556818,-0.013236177,-0.05126028,-0.06246298,0.12755953,-0.07004424,0.053532142,0.023514278,-0.005925032,-0.14041658,0.12157616,-0.05326363,-0.07015561,0.06555757,0.00095845375,-0.015643595,0.005171485,0.055405598,-0.0050457213,-0.075659364,-0.1438096,0.02544351,-0.06053555,-0.038839694,0.16074502,-0.0603329,0.013155067
7,0.094049945,-0.038730167,-0.013156324,0.0140152695,-0.015397752,0.0026838998,0.022135437,0.019822514,-0.02823016,0.12558168,-0.0007765134,-0.06187022,-0.056140266,-0.018972268,-0.07139357,-0.0039710063,0.112426825,-0.03166622,-0.017670725,0.12663199,-0.07431343,0.051833466,0.017377887,0.028623618,0.103922695,0.07401928,-0.050892398,-0.05320619,0.02402122,0.022297774,0.051187914,0.050446216
8,-0.029257486,0.13554402,-0.19141673,0.0009951295,-0.16842833,0.15218897,-0.047147553,0.10097806,-0.085645005,0.12461056,-0.14175269,0.046057314,0.052692376,0.058114767,0.028799245,0.007964107,-0.16424394,0.14754416,-0.08796302,0.18781304,0.19386098,-0.009521994,-0.027574982,-0.12735188,-0.026108244,-0.19390273,0.043539524,-0.11727885,0.042388204,0.21406686,0.14258641,-0.038392715
9,-0.017813522,0.014219059,-0.11411737,-0.029917948,0.005469566,0.008498012,0.10324479,0.034750428,0.0008259709,0.01710802,-0.06916411,0.087289795,-0.03778351,0.097241096,-0.00339914,0.07601875,0.1507901,-0.22772329,0.101797245,0.0057616453,0.10166874,-0.04773687,-0.07292483,-0.024421671,-0.20041862,-0.07241056,0.050012227,0.0043376554,-0.059827294,0.14306448,0.11848761,0.21963839
10,0.08064622,0.06709903,0.06490468,-0.033460204,-0.10926766,-0.17769396,0.05352212,0.046099085,0.027685873,0.00059425435,0.07862055,-0.081413984,0.07754376,0.064547665,-0.05253215,0.18799657,-0.030005528,-0.049196098,-0.03405095,0.09675502,0.122727074,0.0068041603,0.012054627,-0.01167641,0.019866783,-0.01956732,0.07550856,-0.12252059,-0.05494895,0.07431727,-0.07281343,0.1961719
11,-0.15290809,-0.059173208,-0.062232725,-0.06316527,-0.088896774,0.026205517,-0.1294094,0.058563866,-0.14699106,0.01187942,-0.06631894,-0.13833503,0.017848512,-0.06552902,-0.020714626,0.0031168472,-0.1523201,0.15070997,-0.17140196,-0.028540915,-0.11587067,0.09458125,0.15116867,-0.06930386,0.18686505,0.21342364,-0.017896771,0.14072847,-0.024149526,-0.032629624,-0.14812833,0.02404312
12,-0.07018734,-0.08859391,0.071626246,0.0025992205,0.08174179,0.09964178,-0.05242794,0.04975422,0.032437086,-0.014185091,0.055237927,0.09224345,-0.040355578,-0.010166686,0.112516,-0.09760054,-0.0023502507,0.05717481,-0.035543084,-0.10378002,-0.13003679,0.004756233,-0.007476902,-0.005049604,0.16493408,0.18657945,-0.010469857,0.13506222,-0.011112152,-0.16754521,-0.02627291,-0.050723378
13,0.05600678,-0.04393097,-0.057986524,-0.02347118,0.02563603,0.10667866,-0.005753952,0.0605812,-0.037391756,-0.049071044,0.042529672,0.017677177,-0.020160103,-0.02177897,0.075339116,-0.05262458,-0.13461669,-0.036105726,-0.064667515,-0.0493298,0.13295293,-0.068630494,0.06571329,-0.08011516,-0.13054961,-0.011431126,-0.006210097,-0.014052546,0.044638474,0.0008447139,-0.024313577,-0.09188436
14,0.09911831,0.013828663,-0.09858476,0.048830584,-0.097835556,0.082804225,0.038900238,0.074135534,-0.06513235,-0.045192365,-0.0317868,-0.11730692,-0.01987739,0.12290465,0.043056607,0.13457102,-0.14836104,-0.059623137,0.055519454,-0.033222042,0.014922226,-0.055497315,0.018212449,-0.06485697,-0.056238472,-0.04039607,-0.029211424,-0.08039428,-0.00596413,0.1815329,-0.044259794,0.14496447
15,-0.08890443,0.075812876,0.14209877,-0.13698763,-0.0020776284,0.024881016,-0.09309283,0.015540191,-0.12378653,0.11983906,0.09469553,-0.03435564,0.089001566,0.0038293463,-0.01894056,-0.14538388,0.07031178,-0.12164032,0.0726221,-0.030383833,-0.08618135,-0.054416955,-0.08177134,0.1275832,-0.032104846,0.08760835,0.09820662,0.04512803,0.09323861,0.11612194,0.1158421,-0.13706999
16,0.10438231,0.11630486,0.0138161415,-0.10505211,-0.14210053,-0.10914473,0.06013793,0.052044902,0.026970565,-0.004830474,-0.0035623705,-0.11082014,0.025808953,0.08240201,0.024246791,0.16465344,-0.12178449,0.013611271,-0.02946794,0.20107944,0.01528807,-0.029246414,0.010745428,-0.1550258,-0.14236617,-0.13967803,0.013493463,-0.1005721,-0.009714719,0.28150365,0.07354411,0.1728192
17,-0.06584148,-0.010508945,0.027973326,0.105926834,0.13006577,0.03968815,-0.025834825,-0.015647726,-0.009032308,-0.115154296,-0.10553809,0.0063979384,-0.07003042,-0.11619567,0.004155864,-0.16357577,-0.043991234,0.122350655,-0.060142774,-0.0089602405,0.07250798,0.031850062,0.053223196,0.022254325,0.004503824,0.016539203,-0.006910365,0.1298322,0.010133033,-0.117915384,-0.0058651594,-0.10326628
18,0.09968623,-0.0001551017,0.06906537,0.023556322,-0.004693756,0.045691982,-0.07780286,0.052961268,0.10915264,-0.06631943,-0.06538895,-0.07796642,-0.04880504,0.07450193,-0.057266794,0.021359447,-0.033296116,-0.025832973,-0.16231002,-0.0063529033,0.08815114,0.012905608,-0.03356939,0.04929435,0.039188195,-0.06956723,-0.07778475,-0.09013406,0.036400363,0.17003165,0.09405099,0.12749588
19,-0.018885648,-0.05975025,0.03769957,-0.013939524,0.047750432,-0.027986202,-0.031641025,-0.05681988,0.056505736,0.21178475,0.014657455,0.021119509,0.07241176,0.0129579045,-0.13687178,-0.13680735,0.060847633,-0.03137425,0.042477135,0.14042257,-0.027549064,0.036286093,-0.0489166,0.073553234,0.047435902,0.10047004,0.052103434,0.0393676,0.026394852,0.113746345,-0.021294365,-0.08275416
20,-0.05385816,0.006532114,-0.11095023,0.047139656,0.054301586,-0.036825657,0.010323304,0.08166534,-0.039674606,-0.028983232,0.09099981,0.07144761,0.07061075,0.046086177,0.18351734,-0.0036185526,-0.050470907,0.0019899132,-0.039851878,0.10797149,-0.043334696,-0.07901109,-0.013193264,-0.16014907,-0.0716663,-0.029247474,0.14539051,0.014794601,-0.034791946,0.108150706,-0.008725138,0.09289721
21,0.0076285694,0.06615225,0.014899338,-0.00058144546,0.15741345,-0.030891579,-0.071567595,-0.02073432,-0.012540057,-0.043401968,0.020947732,-0.07878355,-0.06457297,-0.07441026,-0.008854312,-0.13733326,-0.12016781,0.058470253,0.032933973,0.06556035,-0.059678946,-0.025022194,-0.041758757,0.08871003,0.08040627,0.02464522,-0.07934903,0.022584965,0.018272432,0.08870359,-0.09546031,-0.0010721767
22,-0.20924835,0.03826271,0.08736759,-0.039313607,0.06670346,0.09958125,-0.042115156,-0.011598885,-0.010649935,0.046569377,0.11954365,0.11883896,0.023437055,0.050735462,0.11719319,-0.09158281,-0.04950399,0.04651225,-0.069426514,0.045478597,-0.0017855726,0.013152962,-0.016963718,-0.07157385,0.12866019,0.13324898,0.054335155,0.0048547247,0.038081463,-0.039621886,0.06366093,0.07065683
