row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.06682316,-0.06709621,0.0010737542,-0.01886862,-0.013643752,-0.16203879,-0.07001703,-0.005499332,0.06153064,0.07190663,-0.031117475,-0.1437725,-0.06458785,-0.048442006,0.11191669,-0.07620059,0.053457607,-0.07173126,-0.14685518,0.104370005,-0.06351553,-0.08494669,0.15948561,0.06441986,0.2087364,0.17846827,-0.1436717,-0.01448134,0.10603603,-0.07558787,0.07676391,-0.091224745
1,0.11975695,-0.2020452,0.010576069,0.024275754,-0.15024348,-0.1687672,-0.014509559,0.047013186,-0.11127037,0.07924339,-0.015678631,-0.07217286,0.016318703,-0.01653907,0.22763826,-0.13219155,-0.16541196,-0.05759895,0.06814509,0.122659646,-0.13418722,0.112613365,0.013658534,0.17956181,0.07238733,-0.014202719,-0.091510504,0.071761645,0.03385111,-0.02001116,-0.182657,0.038616475
2,0.049414363,0.086386904,-0.14789806,-0.14040166,0.15075892,0.015327159,0.08160584,0.09067844,-0.06530717,0.1281305,-0.06049361,0.06675076,0.010866578,-0.100849524,-0.08455229,-0.064246535,0.11395612,-0.11201279,-0.05918052,-0.041992288,-0.07602306,-0.07985503,-0.03183508,-0.14759323,0.06937598,-0.01829947,0.025800698,-0.0016451243,-0.024519965,-0.000178457,0.0025398508,-0.06535814
3,-0.009366661,-0.038243975,-0.006018571,-0.14279816,0.016964013,-0.038877495,0.16335404,0.06272279,0.10541971,-0.10647299,0.052215192,0.012080828,0.09459619,-0.054949563,-0.2068496,0.05395784,0.22890489,-0.20119436,-0.15768011,0.057878125,-0.13352849,0.04025611,-0.18606856,-0.13541761,0.050844893,0.0030689533,-0.081668414,-0.10087302,0.0026610598,-0.018131427,-0.12135827,0.1836168
4,0.15237771,-0.023444075,-0.06707638,-0.07603822,-0.2599661,-0.16779187,-0.0666967,0.05352307,-0.012544676,-0.00072771753,-0.057912912,-0.1274127,-0.03865544,-0.04862305,-0.1033164,-0.20905817,0.022671517,0.14110568,0.06368438,0.032038163,-0.07211514,-0.05213543,-0.0037876125,-0.109777234,0.080228664,-0.061678994,0.049173422,0.02757568,0.010734708,0.08664139,-0.13148233,0.2652632
5,0.02615604,0.012650945,0.10536518,-0.11688008,-0.111273654,-0.092736766,0.012857332,0.06253141,0.10221277,-0.048231736,0.030501079,-0.13183975,-0.077443615,0.039016,-0.3304286,-0.04256305,-0.046432465,-0.0104582645,-0.0126030035,-0.11788393,0.06960772,-0.06235647,-0.1914504,-0.06026282,-0.1550497,-0.017627671,-0.01318367,-0.202855,-0.054278463,0.22058497,-0.059469063,0.07126052
6,0.24737562,0.055743214,-0.13539113,-0.10236502,0.016507063,-0.06473785,-0.2267101,0.09958421,0.047512338,0.13384683,-0.17646499,0.11235136,0.018825693,0.018700443,-0.35218495,0.035904005,0.21257684,0.091604464,0.05801396,0.00723763,0.16613063,-0.09529929,-0.1582858,-0.23306891,-0.02492621,0.06752123,0.10181939,-0.02044233,-0.09644964,0.0947542,0.017997008,0.18215959
7,-0.13277644,-0.003041444,0.08405469,0.057352856,0.017449047,0.10141877,0.024351696,-0.01873581,0.0831376,0.010211665,0.115941346,0.063044325,0.043901447,-0.05685288,-0.042564362,-0.026938297,-0.15264477,0.1106908,-0.019215273,0.004662667,-0.12863775,-0.09241408,-0.039365936,-0.0037495752,-0.030087646,0.042422373,-0.007747166,0.034660526,0.0034391126,-0.011998737,0.06314379,0.13043791
8,0.11630203,-0.0071585197,0.12085401,0.049104497,-0.13278505,-0.05514,0.0101003,-0.1694271,-0.01434076,-0.100840606,0.067418545,0.015839066,-0.07030037,-0.08232657,0.08136439,-0.063776374,-0.0025180695,0.11921049,0.049757887,0.06617378,-0.13640392,0.005100984,0.06578841,-0.07078162,-0.0192626,0.10327152,-0.1892591,-0.047942936,-0.09417368,-0.1730951,-0.14590344,-0.019060798
9,-0.008457778,0.016444728,-0.05412524,-0.048378162,0.17748815,0.07654681,-0.03324113,0.019719785,-0.15051724,-0.21708572,0.15888536,0.07174656,0.13374871,-0.015045344,0.2233248,-0.13796268,-0.040215846,0.001553192,0.060977343,0.06734371,0.10336826,-0.061520405,0.0013302765,0.13647693,-0.088663,-0.09389186,-0.08898711,0.18744147,-0.091530606,-0.06136749,-0.08312878,-0.14627172
10,0.027933406,-0.054237418,0.06880889,-0.082242526,0.13867813,0.0063416236,0.062218923,0.0061341287,-0.020290973,-0.062559664,-0.16069816,0.11717439,0.06911881,0.10435443,-0.3383905,0.20246221,-0.10722074,-0.042206712,0.13174514,-0.049688354,0.055316743,-0.109863035,-0.08740824,-0.11681943,-0.059083324,-0.035704177,-0.011076136,-0.098758,0.06593815,0.079498224,0.19000722,0.11349619
11,0.11167059,-0.006794139,-0.013344536,-0.021747245,-0.054355647,-0.008287632,-0.108126074,-0.01600561,-0.10526979,0.07758181,-0.03290463,-0.07753049,-0.020401755,-0.00044777247,-0.0046968716,-0.062216982,-0.14834344,0.086299494,-0.073035,0.085040435,-0.018792253,0.08402539,-0.049473517,0.06303508,-0.019465104,-0.016301932,0.032508075,0.04130911,-0.0277864,-0.02739681,-0.080048606,-0.12984201
12,0.033279862,0.027899863,-0.041253567,-0.025519129,0.05895474,-0.089549676,0.067261495,-0.065342404,0.10065326,-0.07861693,0.044525973,0.029933093,-0.055537853,-0.071536146,0.113804094,-0.07253449,-0.00628048,-0.039154343,0.051970895,-0.067923956,0.041101407,0.10222662,0.15996796,-0.04873225,-0.0060175215,0.071925454,0.026537746,0.10888868,-0.012416865,0.0442096,-0.16116716,-0.111704074
13,-0.068376526,-0.08119445,-0.03199811,-0.022283435,0.01899509,0.049022615,-0.15303887,-0.14675497,0.047937326,0.011036894,-0.047003936,-0.07716136,-0.08415272,-0.09080482,0.009811388,-0.07126933,-0.030222286,0.008325916,0.073062524,-0.04606359,-0.0014606457,0.04374958,0.04479909,0.23719862,0.05725313,0.13271387,-0.046941392,-0.041243047,0.028716965,-0.008665839,-0.08767578,0.021434633
14,-0.119530894,0.17949422,-0.0015620785,0.045816835,0.24525167,0.046666853,0.16438545,0.028476119,-0.04755484,-0.11496311,-0.066199705,0.17795311,-0.04225359,0.047590904,-0.22742975,0.031139795,0.08246691,-0.024457363,-0.010671719,-0.029944483,0.08247196,-0.1902925,-0.22075528,-0.25435334,0.07867237,0.1271514,0.019475635,0.10215827,-0.006914803,0.08055584,0.1784415,0.17395672
15,0.123710886,0.0510145,0.10130596,0.012371691,0.18372673,-0.22531089,-0.12782708,-0.011035362,0.09124037,0.05960557,-0.182411,-0.06751461,0.090936266,-0.039449465,0.05616074,-0.2532901,0.08492713,0.009881266,0.044031467,-0.0669539,-0.084501356,0.059322234,-0.07559968,0.0736736,0.037453473,0.022543753,-0.023652278,0.044237163,-0.01635716,-0.075058386,-0.0053919815,-0.05232284
16,-0.0068094633,0.06459776,0.05354933,0.024715776,-0.11821213,-0.23824532,-0.085123904,-0.07422292,0.052732673,-0.011919622,0.15908277,-0.069996394,-0.07661988,-0.014726734,0.1644549,-0.12922217,-0.16166928,-0.09619792,-0.054455835,-0.07897259,-0.10386903,0.048489846,0.0283314,0.12242209,0.072493255,0.02739552,-0.004913676,-0.035715017,0.08906202,0.11932832,-0.1798084,-0.06763197
17,0.09103641,0.1302262,0.116818935,0.10561249,0.32084158,0.13653742,0.24578397,-0.022239216,0.059844986,0.028479774,-0.079528734,-0.002765426,0.024351927,-0.033898525,-0.043178517,-0.00056059245,0.24857147,-0.20315494,-0.00281654,0.08851959,0.043183163,-0.007187194,-0.1819994,-0.08229803,0.016144635,-0.061268706,-0.110649094,0.113606334,0.035864953,0.016513161,0.045671694,0.092042334
18,-0.101821996,0.07026493,0.17347847,0.0026934596,-0.017211836,-0.11510346,0.09890661,-0.040438868,-0.080618046,0.007998996,0.083289064,-0.16562682,-0.11212488,0.0004686254,0.0460009,-0.10574628,-0.0054763816,-0.073583305,-0.07788147,-0.10508857,-0.14052264,0.14052773,0.11076811,0.07748212,-0.08834073,0.017668748,-0.0934686,-0.04848069,-0.056229178,-0.060686532,0.061835617,-0.18695529
19,0.12774606,0.10922559,0.026526997,-0.040422633,0.15653642,-0.040492453,-0.073674835,0.06259418,0.023993041,-0.061608795,0.04175835,0.028340666,0.07735417,0.043624584,-0.051684853,0.15469415,0.1450039,0.04639908,0.019923532,0.03983798,0.028180864,0.02892338,-0.09288337,-0.17811817,-0.14067474,0.07199241,0.06030561,-0.09846386,0.024969539,0.018149149,0.16541556,0.10304771
20,0.028902771,-0.049752787,0.088312894,0.16235544,-0.06697145,0.09014205,-0.12337357,-0.039516296,-0.012405333,0.023457833,0.01756313,-0.19595364,0.051922042,0.04037155,0.217929,-0.12514587,0.022339618,-0.04557956,-0.07133489,0.06276007,-0.0686886,0.17664544,0.051182408,0.07336421,-0.037263494,-0.032788362,-0.10865976,-0.021837741,0.034945156,0.036140166,-0.13862194,-0.11701141
21,0.11301722,-0.024274116,0.118681066,-0.029501917,-0.031502083,-0.08913334,-0.015670525,0.0018489093,-0.05103052,0.107368454,0.026382664,-0.08753693,-0.08343916,-0.08241475,-0.013463594,-0.038886026,-0.071244724,-0.10414049,-0.045546845,-0.08135446,-0.035033543,-0.1751531,-0.04105282,-0.01937877,0.10567255,0.0675546,-0.030003704,-0.013007032,0.025540655,0.05006666,-0.097837284,-0.07570126
22,-0.01891239,0.08644287,0.054472387,0.1795872,0.039968845,-0.033600617,0.061598603,-0.07371626,-0.073920935,0.11020012,-0.040857825,-0.13617137,-0.08536023,-0.03460826,0.012697321,0.010688142,0.016610995,0.02897464,-0.12482925,0.09530936,-0.099176966,-0.11142921,0.019302247,-0.065729156,0.050832503,0.044113953,-0.0064668357,-0.042122513,-0.012378669,0.08622015,-0.061729472,-0.022607662
23,0.1339867,0.12359544,0.15343727,0.18165594,0.286594,-0.12977196,0.1037234,-0.04587843,0.11129926,-0.027752783,-0.013321843,-0.0059555154,-0.0027887798,-0.049781784,0.00073981355,0.05088514,0.047222394,0.0016095034,0.13789937,-0.20830958,0.21853058,-0.13372774,-0.16155052,-0.24330476,-0.006499078,0.15861166,0.13521779,0.0823572,0.028674778,0.041091856,-0.0059296386,-0.09769943
24,-0.1006324,-0.036389835,0.092204444,0.041592028,0.09414667,0.122167125,0.08807038,0.015519643,0.0070286454,0.01664242,-0.045628853,-0.033867568,0.05321127,-0.040944234,-0.11943737,-0.0650762,-0.02183314,-0.0028387005,0.172337,0.03617732,0.08158834,-0.12320526,-0.03743453,-0.046745464,0.031858448,0.022198359,0.045143023,-0.09680426,-0.041020285,0.09488577,-0.07572162,-0.041467134
25,0.08549362,-0.0751183,0.049506973,-0.03140945,-0.15910292,-0.20655523,-0.09063105,-0.13928543,0.016693046,0.022377804,0.030490384,-0.098154664,0.004997568,-0.089170866,0.05635838,-0.23632479,-0.14002267,-0.05079355,0.045688536,-0.0100274,-0.17493498,-0.0052918624,0.07207142,0.17624423,0.0981528,-0.111591354,-0.09005841,-0.10310597,0.044701032,-0.04590303,-0.15709652,-0.094834074
26,-0.062557004,0.083267465,0.10922811,0.1315667,-0.096088775,-0.21631157,-0.007982389,0.065824024,0.04110722,0.07075646,0.01061133,0.070846744,-0.115378715,-0.033321183,0.08385726,-0.19211307,-0.12362956,0.034954485,-0.05558195,0.0517452,0.04106453,0.14516202,0.14259608,0.19364865,0.1659053,0.007372518,0.042293645,0.1244825,0.005197297,0.08231119,-0.098990016,-0.18668027
