row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.021087244,0.04184575,0.11705424,-0.06950668,-0.03525457,0.03629892,-0.078402996,-0.021638341,0.16473852,0.032069147,0.07997897,0.055508416,-0.050404865,0.0630297,0.03399853,-0.043928124,0.09745439,0.13583958,0.06515338,-0.07598791,-0.083856106,0.04319741,0.014811686,0.034973264,0.1514373,0.04356618,0.05158223,-0.09439732,0.15105146,-0.12301599,-0.026131546,-0.022529801
1,0.10188257,-0.15347114,0.014494265,0.2131774,-0.111096025,0.052517805,0.07268595,-0.02442312,0.21013406,-0.06717296,-0.0050922637,0.035142582,-0.07467678,0.020639287,-0.17861,0.00037062712,-0.097302824,-0.11419605,0.19902638,0.0033050433,0.020171592,-0.07828554,0.013945792,0.055110034,0.03265311,0.041321434,-0.049223475,-0.018687245,-0.027773963,0.15706207,0.061281264,0.07274515
2,-0.07829234,-0.16185623,-0.053154487,-0.06221571,-0.00951205,0.13977122,-0.13952571,-0.043087956,0.029908156,0.08847102,0.111726224,-0.08974695,-0.060910314,-0.027535276,-0.11179103,-0.028970558,0.11043614,0.035896078,0.13340484,-0.115156375,0.07495075,-0.033580262,0.032213073,1.8049384e-05,-0.1396569,0.08728768,-0.00946438,0.008991634,0.0191065,0.052261755,0.11727391,-0.0946938
3,0.13628729,0.05874769,0.08814368,-0.0029448913,0.112747185,0.03716805,-0.046173446,0.045400668,0.01653209,0.16173017,0.13737881,0.0729202,0.06739525,0.0046879123,0.101890326,0.08323243,-0.008156275,-0.13389912,-0.11789334,0.0018570196,-0.011036278,-0.11667617,-0.01742388,-0.14478345,0.20908147,-0.124013215,0.088554636,-0.025143817,-0.17085567,-0.096069835,0.0645114,0.16663836
4,-0.0452469,-0.1612683,0.09543576,-0.007870813,0.17716525,0.07245923,0.039016854,-0.110122696,0.066247344,0.1043199,0.16782007,-0.038052473,0.1025283,0.16300103,-0.07758742,0.06827353,-0.061027262,-0.1637233,0.13401619,-0.15858652,-0.13621075,-0.08487328,0.08270691,0.00054397475,0.1374441,-0.13811179,-0.039647795,-0.09532586,-0.020529151,-0.055014856,-0.09942812,0.012386366
5,-0.004798162,-0.11150392,-0.08071264,0.07649748,0.07668389,0.1028882,0.03336805,0.029297847,0.1189102,-0.07158206,0.07893907,0.016135313,0.050066646,-0.124992155,0.11590302,0.093545586,0.08715373,0.09573299,0.09452613,-0.06996321,0.006662947,-0.16685764,-0.03263314,0.16803631,0.08283424,-0.0015452943,0.020223875,0.036362723,-0.030037535,-0.04567037,-0.038459536,-0.13438363
6,0.071693994,0.15571675,0.047211647,-0.15918764,0.09446226,-0.12665354,0.06117687,-0.0066413963,-0.15688379,0.018379644,0.0019143138,0.056174777,0.019368883,-0.022042766,0.0067018904,0.10737824,-0.017046534,-0.07824532,-0.0003435303,-0.028581727,0.029172491,0.12805426,0.0849446,-0.18427126,0.08611588,-0.08085236,0.012308628,0.0170873,0.09045466,-0.095650375,0.07948573,0.17683291
7,-0.035298105,-0.024984913,0.121772684,-0.037445955,-0.037810754,-0.025556792,0.0056926133,0.027487725,-0.03520622,0.1079432,-0.06733474,-0.12795565,-0.08336831,-0.012404329,-0.08967219,0.060567167,0.048180733,-0.015099767,-0.021982703,0.07733176,-0.057142537,-0.061138928,-0.038493622,0.03590313,-0.012226965,0.06168249,0.105823345,0.047564752,-0.072833136,-0.03940634,0.060812254,-0.022396388
8,0.046065032,-0.06403004,0.18461253,-0.04267258,0.011574373,0.08068148,-0.09916319,-0.08770222,0.10666135,0.047510214,0.09436464,-0.10400507,-0.03425332,0.106416285,-0.08924456,0.08119072,-0.12378202,-0.043974653,-0.0051837214,-0.04299247,0.07225662,0.13780694,0.066644095,-0.15989372,-0.07207959,0.12148547,-0.010587333,-0.19455798,0.07719454,0.04899399,-0.1428837,0.11209454
9,-0.07033716,0.10523344,-0.15316385,0.099543065,-0.075725265,0.11497248,0.11284601,-0.012444899,-0.0865388,0.023698494,0.15286478,-0.13512509,0.08997764,-0.093274266,-0.109526426,-0.10961502,-0.14395247,0.06512866,-0.07429925,-0.108113475,0.006623587,0.06590474,0.10071713,0.1385354,0.05924496,-0.001667276,-0.13878652,-0.0844406,0.0156923,-0.07840763,0.12712273,-0.022147436
