row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.030230775,-0.12103421,0.08191377,0.06066101,0.15113594,-0.049866695,0.14492626,-0.076214574,0.027893549,0.048541095,0.10391147,-0.16918646,-0.12796232,0.05837837,-0.087579526,0.0872544,0.08207337,-0.1298076,-0.017066972,0.15766084,-0.027393354,-0.0071289525,0.12609138,-0.022720847,0.047960833,-0.09475438,-0.15164182,-0.10986527,-0.020732025,-0.012547957,0.015635865,0.013103952
1,0.0123772,-0.00049737573,-0.06935634,-0.04241785,-0.111804865,0.024145568,-0.012966284,-0.07702588,0.1295363,-0.00575598,-0.0742104,0.013621235,-0.062103264,0.05807218,-0.0015021076,-0.103678584,-0.024210235,0.047350097,-0.11275198,0.06918581,0.010802349,0.16812804,-0.1410551,-0.03758618,-0.12912878,0.15241276,-0.009843193,-0.03015773,0.09776353,0.03901317,-0.12026416,-0.005250313
2,-0.010877618,0.067554586,-0.13671902,0.0026027453,-0.023814263,0.008629733,0.08064116,-0.074854024,-0.0117831435,-0.00179487,-0.095931254,-0.069675535,-0.04640853,-0.12996551,-0.05933689,-0.1621095,0.1109802,-0.04733649,-0.14479144,-0.105408125,-0.06868786,0.08541114,0.08607667,-0.110674284,0.0032212206,0.08133693,-0.05619967,0.06296733,0.04499253,0.10829309,-0.12807663,0.13611755
3,0.10745957,-0.017878812,-0.043257367,0.00040051926,0.21605557,-0.16945058,-0.07759744,-0.118934974,-0.19251356,0.0032807256,-0.091148995,0.092890345,0.04248097,-0.016120493,0.01400996,-0.096309975,0.04236219,-0.08337821,0.056294426,0.14760531,0.12829658,-0.109016255,0.13595217,-0.032580476,0.10477674,0.09355421,-0.10908109,-0.20082504,-0.065329604,-0.0049950923,0.14401828,-0.053855676
4,0.16082159,-0.042993397,-0.026989186,-0.13101743,0.01043512,0.04617636,0.008805164,0.16677932,0.13704759,0.075315714,0.03712215,0.05854287,0.09051185,0.0022578754,0.06293816,0.028290479,0.14119077,0.014368816,-0.15445782,0.004674302,-0.13635595,0.09619235,0.041987672,-0.16024806,-0.16695501,0.11341427,-0.08175778,-0.100688234,0.009507597,0.09585784,0.04521268,-0.0076164245
5,-0.06821592,-0.05330622,-0.022317652,0.07523865,-0.015042144,-0.044242878,0.046490844,-0.011246323,-0.12071311,0.011710706,-0.017327847,0.031185668,0.054313272,-0.06481519,0.15310869,0.07541131,-0.14461127,-0.08378151,-0.040629804,-0.050974976,-0.09486732,-0.008756496,-0.111452185,0.011177615,0.041479968,0.05791427,-0.1335813,-0.009145733,0.04217138,0.07603451,0.000947312,-0.16246653
6,0.10754054,-0.10760818,0.056011196,0.09225022,-0.21140034,0.17521986,-0.024334595,0.03718388,0.06138191,-0.0046653547,0.014637571,0.09385218,0.16445321,0.1423683,0.09903739,-0.07550798,0.17851558,0.0891812,-0.048932996,-0.17698948,0.015539009,0.03746659,0.045047138,0.045180224,-0.090963274,-0.009661443,-0.07278572,0.17450137,0.012799582,-0.13423124,-0.055964902,0.1813285
7,-0.039035052,0.13810419,0.051555272,0.071925044,0.011181881,0.00708567,0.06706747,-0.18949276,-0.16236623,0.09324626,-0.044815935,0.124534994,-0.11493698,0.039601598,0.13315564,0.0505492,-0.1604848,-0.008327399,0.065011136,0.048270542,0.16501598,-0.05485952,-0.03273641,0.09135123,0.008114575,-0.032677516,-0.17866704,-0.026683394,-0.034773365,0.15101194,-0.030682275,0.104856916
8,-0.0958192,0.038738277,0.11938768,-0.09613979,0.13091409,0.04954495,-0.010225481,0.11865181,-0.07399607,0.05116035,0.013275194,-0.087994255,-0.08669334,-0.052186787,-0.06588222,0.0742635,-0.0030178921,-0.050840434,0.1532827,-0.022206895,-0.004405741,-0.019321732,-0.16990313,0.12106545,-0.019604445,0.04724568,0.049194753,-0.1405385,-0.092446305,-0.030869838,0.021784935,-0.19703007
9,0.045942895,-0.10501511,-0.056935392,0.05188419,0.022722553,-0.073210634,-0.088201836,0.030830657,-0.11359621,-0.09392401,-0.16077916,-0.108214036,0.13790984,0.020198472,0.04814543,0.09383272,0.06577164,0.025757035,0.030659193,-0.035345796,0.034806274,-0.05184863,0.09737306,-0.06840385,-0.14683966,0.11268673,0.16968288,-0.018136524,0.11401685,-0.03535209,-0.014479244,-0.045968376
10,-0.14383374,-0.024453701,-0.07922577,0.037509274,0.023939561,-0.02675167,-0.02508509,0.027546603,-0.04962631,0.10038776,-0.09572398,-0.1109208,0.05273891,0.07981054,0.0711647,0.09067856,0.10355567,-0.036066312,-0.12745807,0.06737462,-0.008860222,-0.10609885,-0.11514595,0.13982047,-0.10274412,-0.08295161,0.036678895,0.12705939,-0.038037356,-0.03749928,-0.058673065,0.09186335
11,0.011967152,0.033562824,-0.034921136,0.13763975,0.12446473,-0.1270369,0.09434368,-0.11875611,0.030980686,-0.081726335,0.122325495,-0.09036293,-0.057485554,0.13151813,0.066315725,-0.054576483,-0.0434938,-0.04546273,0.012709778,0.14488332,0.08075438,0.030004364,-0.06415196,0.114287555,0.055672035,0.04696655,-0.09672084,-0.110190384,-0.013722326,0.042367622,0.12925242,0.009982813
12,-0.10949548,0.046323687,0.12591918,0.02899678,0.005011286,-0.13455889,0.05429729,-0.12731779,-0.207328,0.15870948,-0.042489264,-0.07999941,0.06284454,-0.015033845,0.092218325,-0.04726996,-0.15645307,-0.11835047,-0.014972663,-0.105084226,0.15213776,0.1113836,0.021698276,-0.13171884,0.1388288,0.101580895,-0.056454673,-0.0021307415,-0.08153817,0.14293267,0.10006013,-0.17151566
13,0.076672085,0.023684058,-0.10192687,0.009277033,-0.03312082,-0.025272941,0.0015931164,-0.04582308,0.048582498,0.06276143,0.06274586,0.06497963,-0.061301623,-0.16860723,-0.08487906,-0.002047087,-0.018269513,0.053764094,0.07087064,-0.06276945,-0.089529596,-0.12667254,-0.08754022,0.08506773,-0.02789133,0.065600865,0.043313492,0.08124517,0.10117451,0.12242727,0.023416435,0.04670578
14,-0.113814466,0.10339576,-0.07764812,-0.06903885,-0.13881446,0.004120008,-0.11958278,-0.06752195,0.16389306,-0.1410658,-0.034365598,0.008781705,-0.14205946,-0.13302104,-0.028595556,-0.16918042,0.014901858,0.12068171,-0.040752288,-0.09859134,-0.05353395,0.057763156,0.05049111,0.12834609,-0.06317942,-0.05275851,-0.097175404,0.018762628,-0.033361845,-0.0016071696,-0.116881534,0.011619337
15,-0.04105679,0.13547444,0.112692244,0.08914042,-0.14883173,0.12640622,-0.18137415,-0.0575338,-0.014542519,0.009701535,-0.18054286,-0.07001249,0.14899355,-0.1413166,0.11018345,-0.08974093,0.15974809,-0.082327195,-0.15577821,-0.030960126,-0.03626469,0.16244155,0.17301066,0.14558041,0.10074401,-0.046199825,0.042226516,0.08588397,0.030542452,0.01603501,-0.082146846,-0.025566896
