row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.20391704,-0.027939606,-0.19653468,0.014666547,0.17872728,0.22558974,0.14453585,0.13289116,0.07858172,0.1159451,0.03711518,0.040728062,-0.06872116,-0.10414337,0.071656026,0.011279017,0.070535325,-0.15734798,0.09535443,0.014355071,0.019007552,-0.0015983386,0.040734783,-0.12337222,-0.016963813,0.1513213,0.098415926,0.13286321,-0.029836832,0.056054,0.10446772,0.28695658
1,-0.13662557,-0.0969417,-0.05734084,0.048206177,0.07368633,0.107646786,0.096935295,0.13023445,-0.1183439,0.0035995392,-0.012179344,-0.13373813,-0.09881178,-0.07658107,0.12693691,0.1533358,0.019411927,-0.15461007,0.15652914,-0.11038873,0.13521573,-0.14871559,-0.17707217,-0.1129739,0.16155621,0.062208295,-0.1062341,-0.070351265,-0.102658495,0.14864269,0.13041575,0.21449041
2,0.2033707,-0.14652228,-0.07732453,-0.16037503,0.03763849,0.15257177,0.06481765,-0.017478345,0.053341664,-0.20244847,-0.20435503,-0.083357625,-0.07749478,0.009381777,-0.05234537,-0.11744121,0.08385364,-0.024035634,0.1772688,-0.19734317,-0.01712424,-0.16479664,-0.12417074,-0.033061583,-0.068720005,0.098290816,0.07898917,0.07980977,-0.11068122,0.16929458,-0.08288836,0.028618641
3,-0.14146498,0.152279,0.13693525,0.07024694,0.025172163,-0.18145478,0.06670429,0.12641346,0.17092144,0.17550361,-0.05002256,-0.029164473,-0.0907384,0.15834974,-0.0899711,0.20745143,0.048357397,-0.021367887,0.035621263,0.08883181,0.09020867,0.011059665,0.069061525,0.10775793,-0.060710583,-0.00850061,0.18704799,0.0645512,-0.027974227,-0.07581481,-0.06308767,-0.15990831
4,0.04422547,0.06635766,0.06578914,-0.062073722,-0.020714546,0.06411737,-0.06890456,-0.11147114,-0.11487054,-0.12060601,-0.09713766,-0.08802543,0.14619392,0.035278417,-0.0078279255,0.107535966,-0.06218931,0.13491186,-0.12707952,-0.12140563,-0.06782467,0.07319007,0.12739709,0.11375496,-0.024862474,0.022998935,-0.009975741,0.019025782,0.06295839,-0.026413396,0.086605445,0.13255286
5,-0.11594927,-0.007191367,0.17228298,0.115561485,-0.19260317,-0.17153233,0.033745535,-0.025256874,-0.05801698,0.0037327784,-0.07876316,-0.060064245,9.911817e-05,-0.027318789,-0.025154784,0.0005373626,0.089672,0.048832957,0.017072592,0.09934542,-0.08746634,0.04765319,0.14532936,0.1840552,0.073902234,-0.005670985,0.14921391,-0.10053126,0.16728637,-0.054694913,-0.100608744,-0.10843917
6,-0.07107056,0.053455874,-0.03073398,-0.08838257,0.07634886,0.09018018,-0.008490324,0.05523152,-0.13943522,0.15992789,-0.10494829,-0.12425959,-0.12986647,-0.046964645,-0.11767508,-0.1696853,-0.09252542,-0.123363994,-0.1406565,0.1256889,-0.023186157,0.14243852,0.13539128,-0.0812313,-0.08414007,-0.118956156,0.13361774,0.13839632,-0.11298405,-0.09747483,0.09912601,0.063213654
7,0.04562503,-0.12998338,0.060851675,-0.10740866,0.020399652,-0.04538634,-0.07108877,0.15424262,-0.083478995,-0.14624175,0.12490615,0.12324017,0.057427675,0.01715166,0.06378263,0.21349333,-0.09229502,0.09752279,-0.07954644,-0.08398782,0.14438383,0.19624466,0.09397341,0.12812413,-0.11415784,-0.16308202,0.09877271,0.0024844366,-0.19469926,0.07804289,0.035028163,-0.018247994
8,0.122881286,-0.09915895,0.025516262,0.10142338,-0.14359787,0.14354639,-0.09533013,0.15274501,-0.10118845,-0.11631142,0.18157324,0.040858284,-0.09871132,-0.0012915188,-0.019924115,0.0812516,-0.029008498,-0.020197727,-0.033523086,-0.01996642,0.099907555,-0.04229625,-0.1500979,-0.15531231,-0.027585424,-0.0638498,-0.15588781,-0.059728704,-0.09286464,-0.14399464,-0.058940515,-0.0023231956
9,0.18928745,-0.009196314,-0.1262123,-0.051294085,0.080047265,-0.06457949,0.0011683812,0.03961434,-0.12436029,-0.14408945,0.09382438,-0.061938964,0.054650433,0.016994162,0.012815743,-0.12783113,-0.064918175,-0.07403876,0.22824284,0.10040081,0.0207073,-0.18192096,-0.037866253,0.09377954,0.00959801,0.10319609,-0.13345568,0.049935263,-0.038802564,0.14518873,0.061134834,0.10491786
