row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.057850834,-0.07290474,0.10674216,0.097129636,0.09792085,0.014776932,0.08450439,0.13050567,-0.03929113,0.17913073,0.037106533,-0.11572955,0.043002848,-0.016598381,-0.035356432,0.08356106,-0.01548759,-0.021148989,-0.057056356,0.120860025,-0.032463763,0.081758626,0.013697413,-0.0056738756,0.18449703,-0.19147971,0.15109593,-0.14097634,0.026001673,0.12401598,0.016665265,-0.12736769
1,-0.01258633,0.13587707,-0.07201267,0.21310827,0.16650341,0.15125181,0.013740498,-0.15278742,-0.1466215,0.041863836,0.056225926,-0.079586476,-0.08407783,-0.061509553,0.06207468,-0.021771034,-0.07998482,0.19834791,0.113400154,-0.13003953,-0.15990493,-0.024962425,-0.002283295,0.095577285,-0.2004959,0.044436865,0.00753907,0.15686126,0.15951443,-0.05333328,-0.07889406,0.08590482
2,0.026620949,-0.07489969,0.09682706,-0.022269312,-0.0959849,0.10691942,0.0369306,0.033577986,-0.07346005,0.024433961,0.16641971,-0.11845238,0.04201754,0.0803369,-0.100531325,0.038122896,-0.10016459,-0.10289542,0.14349961,-0.08257519,0.036529414,-0.1474849,0.17985888,-0.083678685,0.09027822,-0.03740546,-0.16104406,0.122883566,0.04948842,-0.083265856,-0.14182769,-0.071936555
3,-0.037205536,-0.027049081,-0.14628439,-0.15889123,-0.04108566,-0.038422596,-0.14910997,0.04586217,-0.11744585,0.0345085,0.12636612,-0.009532303,-0.14283383,-0.04446513,0.12841402,-0.10787801,-0.060543813,0.010127379,0.08405757,-0.00956768,-0.11015157,0.043544795,0.150328,0.10230786,-0.09599916,0.11924178,0.09638364,0.13895886,0.1015895,0.068554886,-0.11577738,0.17413157
4,-0.114625536,0.113948144,0.019132448,0.069192596,-0.15169306,-0.018746672,-0.08384766,-0.14056297,0.13827848,-0.12469277,0.15862575,-0.028265737,0.122366905,0.046492882,-0.13771008,0.012240319,0.10161649,-0.08467806,-0.08620211,0.15522331,-0.073092625,-0.029769303,-0.06827946,0.032339074,0.1943739,-0.15141983,-0.10358282,0.045378868,0.014047228,0.115224965,-0.10529585,-0.010009755
5,0.076091364,-0.12053637,0.18787667,0.010856965,-0.051822454,0.029404396,0.04169849,-0.12162445,0.12875432,0.15909758,-0.08060205,-0.0067118155,-0.06513259,0.006726748,-0.0088508185,-0.01718872,0.08288375,0.11010867,0.09956569,0.19245578,0.12491898,-0.031614628,-0.123346,0.0115094185,0.060424082,-0.08066378,-0.008831592,-0.12128743,-0.018902956,0.025302583,-0.0633606,0.051423192
6,0.1061721,0.016605634,0.013511301,0.12888761,-0.13070473,-0.084317654,-0.046091884,0.0564052,-0.003795685,0.07588056,0.18908627,0.15999864,-0.06322405,0.13306624,0.13845447,-0.15001498,0.15923205,0.15872417,-0.099448614,0.04629402,0.08058629,0.16991086,-0.06311814,0.05891816,-0.10568387,-0.17652854,0.15712507,0.08539388,0.0057266317,-0.01284506,0.11469991,-0.013038591
7,0.02950477,0.16797566,-0.04750185,0.026188115,0.17827207,-0.04088888,-0.058743,-0.06526298,-0.12984295,-0.08126594,0.09835871,0.045517385,-0.08337401,-0.076382704,-0.08223842,-0.025483001,-0.034690686,-0.10669203,-0.05651106,0.035486404,-0.003352056,0.06803945,-0.07571757,-0.15670611,-0.09600782,0.056304246,0.11926896,0.0766501,0.011781861,-0.13080223,-0.10097466,-0.006717078
8,-0.089589074,0.06815011,-0.07353215,0.1810607,0.0009690353,0.0782086,-0.043970145,-0.18031393,0.1502989,-0.07695522,-0.17101592,-0.060546145,-0.03812047,-0.12805769,0.02337749,-0.16318193,-0.109641746,0.16042197,0.1747673,-0.041659065,0.13490863,0.04209775,-0.14637023,-0.15561086,-0.04601096,0.09034006,-0.07794,-0.10069082,-0.11637568,0.16899766,0.051691778,-0.14599898
9,-0.009904859,0.032731038,-0.04844981,-0.029216986,-0.10859342,-0.12632164,0.11443049,0.073929876,0.019514648,0.074705355,-0.22380804,-0.14164492,-0.060885835,0.16977446,-0.0034512626,0.036760963,0.09783465,0.06824857,-0.17286533,0.16570094,0.0782157,0.08123269,0.094569206,-0.0915448,0.13594615,0.011830055,0.051097706,-0.024930736,-0.13163945,-0.045847706,-0.055064872,-0.1249524
10,0.008706523,-0.0020693205,-0.059057277,0.07882559,-0.1057892,0.017898405,-0.03697617,-0.1739879,0.1566608,-0.12154073,0.11876856,-0.14297263,-0.13413398,-0.06708615,0.098339416,0.0022528092,0.07014402,0.11459898,0.15034792,0.099244624,-0.11978358,-0.12065674,0.10461257,0.026430171,-0.054915283,-0.05590703,0.077844314,-0.09398271,0.04839432,-0.17161594,-0.14437814,0.10316412
11,-0.057168707,0.10594416,0.07859189,-0.09227495,0.0011494777,-0.013914328,-0.061677396,0.1283132,0.010297834,-0.005149935,0.16240956,-0.004366047,-0.13078661,-0.101568274,-0.13661452,-0.11220803,0.009710668,-0.07222519,-0.011585704,0.018938461,0.06005867,-0.10149212,-0.09651875,0.035342664,0.022118354,0.015265875,-0.036734782,-0.080043025,-0.06634508,-0.0251359,0.13689002,-0.074134134
12,0.03237486,-0.06182704,-0.13062604,0.060171682,-0.11481325,0.025841154,0.09039528,-0.09408638,-0.113727406,-0.026766352,-0.07650733,0.026466276,-0.022219775,0.09784151,-0.13464715,-0.1455901,0.122807026,0.044045232,-0.18389063,-0.079779156,0.094347656,-0.07334787,0.18677764,-0.026961235,-0.13623853,0.05409739,-0.1276352,-0.15884595,-0.12716055,-0.15803921,-0.09766438,-0.13402805
13,-0.08869471,-0.054194283,0.03102484,0.10226887,0.092848375,-0.06300263,-0.1456983,0.09135102,-0.1406856,0.05840389,-0.054963965,-0.096507035,0.0914764,-0.16023509,0.18757133,0.0007550004,-0.07231827,0.08561947,-0.15137327,0.043734495,0.09386007,-0.0285668,-0.023870705,-0.0010873002,-0.050094508,-0.11099912,-0.12257884,-0.10320893,0.030161,0.14194526,-0.10247162,0.036877625
14,0.093709394,0.10358488,0.072344415,0.0010186394,0.04887809,-0.0550318,0.07982848,0.004779096,0.013984362,0.1645809,0.043702718,0.025179986,-0.04357587,0.047908507,-0.0048533417,-0.045949373,0.13446255,-0.01217604,-0.10866259,0.060341403,0.09464205,0.014135047,0.05570829,0.16720045,-0.037934564,-0.09742223,0.068105936,-0.011191922,-0.09036673,-0.08832036,-0.087385975,-0.082765155
