row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.1446375,0.036096986,-0.07781455,0.15738699,-0.13000867,-0.04550331,-0.06126576,0.19164169,-0.051153578,0.216268,0.050475683,0.085595675,0.43523112,0.012154078,0.20533912,0.107041866,-0.020978525,-0.108718425,-0.0395384,0.07328006,0.18692456,-0.08579061,-0.3152004,0.13372046,0.107478306,-0.20817111,0.15698346,0.08112025,0.09911991,-0.02793797,0.3768453,0.11697837
1,0.0027156211,0.023261504,-0.04720001,-0.091874,-0.08172233,-0.023867805,0.079556376,-0.06552938,-0.086700276,-0.03682553,-0.05318205,-0.051782664,-0.10454945,-0.014018139,-0.07750509,-0.1095494,0.055942263,0.008199639,0.036650226,0.12469074,0.10041259,-0.039065074,-0.09927481,-0.050829183,0.064608805,-0.024288459,-0.024624532,-0.18598096,-0.14883934,0.05149921,0.11973135,0.030870212
2,0.015672682,-0.07777962,-0.14243107,-0.17575452,-0.041372992,0.054516774,0.10054579,-0.0987871,0.15232761,-0.08784057,-0.087409034,-0.031593196,-0.07338181,-0.039786175,0.19475245,0.07867392,-0.1677569,-0.18967637,0.15205109,0.10527677,-0.009192732,-0.16806632,-0.12620078,-0.044629138,0.060886547,-0.07766109,0.13667652,0.16600579,0.012727472,0.15735608,0.111305505,0.0537015
3,-0.08526304,-0.0065773106,0.008523535,-0.19660231,-0.037894033,0.16903913,-0.13644506,0.20510782,-0.088166274,0.087192774,0.11316847,0.11291455,0.166204,-0.12993284,0.20919998,-0.121507324,0.049034197,-0.18688324,0.083781436,-0.011167811,0.09064231,0.0824714,-0.16324323,0.19055784,0.11165062,-0.078152515,0.016707953,0.09149993,-0.104222044,0.0819937,0.094892934,0.047394138
4,-0.08348621,0.007788181,-0.0033144597,-0.19067715,0.081248045,-0.0101678725,-0.14236861,0.094384976,0.061464246,0.034985345,0.114553675,0.010336822,0.018781336,-0.014204648,0.091274716,0.25604957,0.3171886,-0.36127833,-0.12082015,0.457001,0.159871,0.28341165,0.021083225,0.023145305,0.026447609,0.19964203,0.30195755,-0.04052389,-0.3363116,-0.047644556,0.022931345,0.14233357
5,-0.06580783,-0.121366456,-0.025916627,0.1779583,0.037128028,-0.098013535,-0.011929538,0.16286676,-0.14075835,0.02217931,-0.157375,0.13069557,0.053911492,0.013694545,0.03147611,-0.10330939,0.22461182,-0.12438372,-0.17270616,-0.12270605,0.095896654,0.12244447,-0.1213156,-0.141206,0.0915017,-0.18375847,-0.10362135,0.063059166,-0.045615725,-0.05433394,0.0019322587,0.21128474
6,-0.123678155,0.22284666,0.17213765,0.05840667,-0.23455402,-0.109731235,-0.1966654,0.2819681,0.22835587,0.19208112,0.35323226,-0.007737825,0.38457015,-0.07216321,0.17036548,-0.17484112,0.095993996,-0.06952988,-0.09471376,-0.3184826,0.07525757,-0.21072283,-0.21716593,0.30526432,0.13450208,-0.21434607,0.09018431,-0.0975351,0.13384919,-0.02573604,0.13589631,-0.1289135
7,-0.16541818,0.10236447,0.02380124,-0.23648965,-0.08296827,0.02370902,-0.15566063,0.030862875,-0.08409475,-0.0067438507,0.19641897,-0.19436936,-0.004441671,0.018624876,0.04906787,0.17616822,0.06402381,-0.03529362,0.023159483,0.37950712,0.074651696,-0.013186463,-0.20541304,-0.09962566,0.037148956,-0.1414495,0.33430588,-0.075578794,-0.02506993,-0.18887459,-0.04617758,-0.01579568
8,-0.065604426,0.10346492,0.024729313,-0.18300271,-0.21699336,-0.0013743258,-0.23511271,-0.0011726674,-0.0019311262,0.12587358,-0.07147295,-0.17533374,0.046818346,0.04187524,0.07196187,0.1856968,0.08570862,0.020394102,0.06003325,0.33362174,0.15758713,-0.05556354,-0.073652856,0.007233649,0.14239697,-0.07085969,0.25975108,-0.05131839,-0.1069148,-0.13879456,-0.097433016,0.088342346
9,-0.18331043,0.21036245,-0.021839067,-0.17052542,-0.11639536,0.10452945,-0.12779343,0.15396413,0.033078995,-0.087749764,0.08178437,-0.16480151,-0.05294083,0.008872768,0.18503428,0.21863785,0.005915495,-0.017003492,0.21068846,0.40949437,0.093309,-0.05311419,-0.13811448,0.015827522,0.10130348,-0.15887006,0.2877693,0.035195567,-0.17496286,-0.19336344,-0.08156949,-0.045310885
