user_idx,t_0,t_1,t_2,t_3,t_4,t_5,t_6,t_7,t_8,t_9,t_10,t_11,t_12,t_13
0,-0.99800456,-0.996912,-0.98652744,-0.98652744,-0.98652744,-0.98652744,-0.98652744,-0.49267104,-0.9885687,-0.9976785,-0.49980402,-0.9762981,-0.9900244,0.39617705
1,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.99974877,-0.49874583
2,-0.9854543,-0.9854543,-0.9854543,-0.9854543,-0.9854543,-0.98551637,-0.98551637,-0.98551637,-0.98126686,-0.99371696,-0.023088813,-0.984467,-0.86666435,0.004467517
3,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,-0.9937686,0.9992736,0.9992736
4,-0.973,-0.973,-0.973,-0.973,-0.973,-0.973,-0.973,-0.973,-0.973,0.009628743,0.009628743,0.009628743,0.009628743,-0.9983518
5,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9966637,-0.9993051
6,-0.9693853,-0.9693853,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482,-0.033874482
7,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.016909093,-0.9942399,-0.9942399,-0.9942399
8,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587,-0.9988587
9,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.95341,-0.97961724,-0.97961724,-0.97961724
10,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036,0.99232036
11,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397,-0.996397
12,-0.99811584,-0.99811584,-0.99811584,-0.99811584,-0.99811584,-0.99811584,-0.99811584,-0.009583235,0.99892235,0.99892235,-0.41097677,-0.41097677,-0.41097677,-0.41097677
13,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232,-0.0021765232
14,-0.9979424,-0.9979424,-0.9979424,-0.9979424,-0.9979424,-0.9979424,-0.9979424,-0.9979424,-0.9935248,-0.9935248,-0.94582945,0.73179543,0.73179543,0.73179543
15,-0.5715939,-0.5715939,-0.5715939,-0.5715939,-0.5715939,-0.5715939,-0.5715939,-0.9845855,-0.99623024,-0.99623024,-0.24549598,-0.9963921,-0.99071366,-0.99071366
16,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.96107745,-0.066515714,-0.066515714,-0.066515714,-0.066515714
17,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.9970486,-0.89437705,-0.89437705,-0.89437705,-0.89437705
