row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.11748415,0.16760324,0.15347756,-0.18151437,0.0824569,0.09257678,-0.0010286716,-0.022026552,-0.049029298,-0.11865944,0.1472823,0.03390526,-0.14016554,-0.010857664,0.09536916,-0.06327343,0.0566672,0.019510759,-0.0038916953,-0.176745,0.06872266,0.09485914,-0.15417983,-0.087424785,-0.12691136,0.040681604,0.041196916,-0.015085404,-0.03691419,-0.0132317785,0.030237542,-0.0028058733
1,0.120324254,0.058715217,0.18021259,0.06753442,-0.15747148,0.0111422185,0.11058552,0.056655347,0.1040126,0.15457805,0.0024973315,0.011898457,-0.12263398,-0.023607856,0.11643004,0.07411173,0.020287083,-0.16038308,-0.10700891,-0.035508726,0.0063108224,0.07503255,-0.0933997,0.009183064,0.08081919,0.101449475,-0.0664414,0.08133054,0.034230296,0.06261106,0.011529494,-0.0948147
2,0.1561848,-0.18177187,-0.061594915,-0.034168757,0.015470375,0.10309649,0.08453418,0.13970426,-0.09221822,0.12608935,0.004908838,-0.009793216,0.15626241,-0.08495183,-0.10611426,0.008187853,0.18963417,0.029403325,0.10903062,0.056508176,0.17559378,-0.06576513,0.047022842,0.08430377,-0.021264648,0.12140138,-0.051715545,0.047435146,0.050523836,-0.08162706,0.076455496,-0.12786639
3,0.027188173,0.062787674,0.11240011,0.09821395,0.06665153,0.07874083,0.019093655,-0.08845691,-0.13241002,-0.09150676,0.09307176,-0.013584687,0.038467813,-0.10534824,0.14003345,-0.20144993,-0.031634748,0.17249142,-0.012128104,0.1884358,-0.07323366,0.018832369,-0.06314917,-0.11884903,-0.10003354,-0.10263905,0.14683296,0.117245905,0.03469917,-0.12529743,0.19301781,0.04240352
4,0.14792284,-0.2209934,-0.02012308,0.15975744,0.15804788,-0.09729417,-0.00822441,0.23630664,0.15637048,-0.21503147,-0.06215393,-0.029077807,-0.071857564,-0.18616346,0.17021646,-0.07776732,0.028684508,-0.060580153,-0.005592891,0.114435755,-0.08464615,-0.08500271,0.19261532,-0.023712179,-0.13520811,-0.023136083,0.003022471,0.09392104,-0.053375755,-0.07905624,-0.020713646,-0.03406948
5,0.014698729,-0.16391757,-0.043240316,-0.00801263,0.027650572,0.09375585,-0.09192418,0.066347554,-0.08380658,-0.043184467,0.096804865,-0.12349535,0.122681804,0.1592165,0.0013406293,0.05179961,0.046691768,0.030948974,-0.1160462,-0.021899417,-0.076194204,-0.00027186546,0.15373078,0.0076822336,0.1520338,-0.0717168,0.13519792,0.15109883,0.04034301,0.14936438,-0.11172991,-0.09449972
6,-0.0056481343,0.08594333,-0.18369685,-0.12138214,0.17230837,0.18063526,0.14985314,0.08186663,0.20028223,0.064700395,-0.14496598,-0.08572515,0.19829226,-0.098309934,0.066741556,0.0706179,0.113517754,-0.078226425,-0.14002992,0.14797242,-0.091827184,0.0663895,0.1431837,0.022498988,-0.07134004,0.17439924,0.003939461,0.09059237,-0.14115237,-0.064928696,-0.042939667,-0.07930918
7,0.1838934,0.07744234,-0.025370095,-0.20112415,-0.15748194,-0.19100769,0.06565085,-0.061773203,0.083569646,-0.031846628,-0.028266137,0.1465767,-0.13291071,-0.06391447,0.06037713,-0.077832855,-0.13215698,0.025115907,0.10600971,-0.158344,0.072942205,-0.13542531,-0.18935098,-0.112914465,-0.11262028,-0.0013793876,0.00808711,0.18606131,0.037604388,0.030442744,0.098063014,0.10457943
8,0.08405429,-0.03348111,-0.22770657,0.19875242,-0.09182292,-0.032588273,-0.015117123,-0.06531534,0.21661024,-0.085319005,0.034256853,-0.024920596,0.115576155,-0.09475458,0.2255955,0.0941513,0.16075166,-0.039274238,-0.05108883,-0.036681987,0.12196388,-0.03220444,-0.10332447,-0.0123891495,0.025754781,-0.092527114,-0.023012295,0.0457764,0.19210576,-0.14385796,0.1008461,-0.11880083
9,0.07413434,0.10418484,0.11001724,-0.037515763,0.0015584584,-0.101702675,-0.105521284,-0.010399369,0.056791037,0.046279535,-0.021122284,-0.11516574,0.05028097,0.102423005,0.08781131,-0.1174833,-0.083193675,-0.09769219,0.07495046,0.11819917,-0.13602102,0.14748795,0.0834013,-0.13983992,0.005197342,-0.047220156,0.0002789882,-0.044428196,0.14344516,0.09780644,0.11893232,0.063397564
10,-0.15982778,0.12723945,-0.054061893,-0.011380734,0.045105074,0.03270633,0.125481,0.043624282,0.08257192,-0.14865999,-0.031447522,-0.038160063,0.06915874,-0.1539055,-0.162227,-0.03850102,-0.06311117,0.12909944,0.022182476,-0.11030389,-0.05147212,0.07563785,0.15755296,-0.15553415,0.0025104885,-0.100332744,-0.13968623,-0.16187769,-0.15137094,0.098133996,0.11792698,0.06290867
11,0.046109594,0.04058004,0.23505037,-0.088825054,-0.22273108,0.11302225,-0.10719906,-0.1689388,-0.012816614,0.095924415,0.016204394,-0.04690735,0.008618271,-0.07826465,-0.13444231,-0.045690615,-0.099373765,-0.12291839,0.13811155,-0.26845303,0.08283613,-0.0072106402,-0.049623284,-0.18714482,0.17691657,0.06696607,-0.17119916,0.062058505,-0.01974416,0.15044777,0.030753773,0.093239546
12,-0.20722929,0.21282247,0.22368303,-0.05760045,-0.15378089,-0.063743465,0.1603958,-0.20294917,-0.16759516,0.1908063,0.22356604,0.035749234,-0.00076072366,0.22630148,0.063685656,-0.108432725,0.060701445,-0.17471303,0.04838346,-0.22647934,0.09571149,-0.024784185,-0.15206544,-0.07157977,0.01671227,0.022151582,-0.041399077,0.105755545,-0.19927034,0.09668343,0.046776105,-0.033885486
