row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,0.06861071,0.070456795,0.23095384,-0.08724982,-0.10348146,0.12681769,0.020845776,-0.00051930826,-0.015934147,-0.059310745,-0.045669135,-0.16072708,-0.15652259,0.063145205,0.14043441,-0.17367639,-0.013732775,0.029860796,-0.14166689,-0.047773812,-0.10944381,-0.0053202286,-0.044784416,-0.070302546,-0.11881844,-0.08684876,0.09237258,0.009353541,-0.057122562,-0.12968929,0.0729708,-0.14792131
1,0.08581023,0.05558869,0.1899638,-0.0031638045,-0.15708742,0.015250128,-0.17671227,-0.11995888,-0.12537028,-0.12522039,0.036446847,-0.005188318,-0.022548882,0.13611008,0.15487346,-0.18442813,-0.07236985,0.062355295,-0.13997523,-0.049360115,0.070965074,-0.06234104,0.029768303,-0.1601005,0.026408361,-0.014374542,-0.10587695,-0.10139484,-0.11663436,0.059693065,0.039545685,0.009701975
2,0.14863311,-0.045771476,0.05794435,-0.11635616,0.15603766,0.16806662,-0.023323309,0.09494589,-0.17535017,-0.008844415,0.12708662,-0.15703928,0.012418337,-0.0041094813,0.06281609,-0.02224161,0.01924643,-0.050770752,-0.06897688,0.10243128,0.019890608,0.16847743,0.014646299,0.0006038259,0.047216546,0.09653168,0.17501538,0.018381398,0.07794596,-0.0655239,-0.1675679,-0.1862357
3,0.20146291,-0.01681164,-0.071378276,-0.05238196,-0.1703685,0.0052954867,-0.1159954,-0.14937226,-0.1525765,0.11118349,0.11538622,0.03669294,0.14104962,0.015884485,-0.10527843,-0.11698975,0.14935997,0.07015477,-0.16890268,0.036342587,-0.1693599,-0.09353654,0.12187066,-0.050513975,-0.019701978,-0.015136062,0.01805231,0.12848215,0.09519634,-0.07819321,-0.12558252,0.12490378
4,-0.11052645,0.16691686,0.10240169,-0.06590309,0.12391969,-0.14110741,-0.052815527,0.12914371,-0.08542032,-0.10858345,0.069431335,-0.05636215,0.083234444,-0.07810603,-0.0027529246,-0.1154709,0.21238206,-0.01958674,-0.11073223,-0.120228894,-0.04926437,-0.031816132,0.13721432,0.015468845,-0.11107717,0.13277774,-0.01209771,0.06759752,-0.08999126,-0.08588877,-0.023916697,-0.17471078
5,-0.08758545,0.11132149,0.05721154,0.034498736,-0.16663028,0.06763107,0.03254788,-0.12812369,0.12048957,-0.07493703,-0.002750269,0.12755533,0.168293,0.120754465,-0.14618863,0.10424665,0.06528456,0.060018178,0.007973811,0.03957771,0.048843853,-0.02516456,-0.021695783,-0.07226414,0.0009807115,-0.08016285,0.12315332,-0.16416794,0.110442966,0.15973002,-0.15515153,-0.13153477
6,-0.09458219,0.14143527,-0.08768225,-0.13485007,0.11226994,-0.14797843,-0.17653586,0.1667615,-0.118300505,-0.053283222,-0.03764378,0.18769506,-0.00088539545,0.064116016,-0.09263684,0.15250455,-0.11723645,-0.09201506,0.06983871,0.11296547,-0.018782476,0.106009565,-0.028050723,-0.02915651,0.0034146958,0.08181042,0.011755745,0.07656119,-0.06500908,0.07893205,-0.088024534,-0.12258218
7,0.03096962,-0.10506666,-0.12979034,0.12598442,0.046765193,-0.03651589,0.048862543,0.14942177,-0.09183294,0.105824485,-0.08910221,0.124643244,-0.109288715,0.0331641,-0.124851435,0.051906936,-0.19534814,0.07481614,-0.0010005616,0.016441762,0.17957406,0.13136345,0.100209795,-0.104822665,-0.088773005,-0.1877608,0.08194089,0.09117274,0.018836962,-0.17569947,0.12279994,0.09953631
8,0.012902759,-0.0388733,-0.016259935,-0.11627487,-0.026406268,0.029479293,0.04149414,-0.19572948,-0.059142753,-0.058305606,0.2094592,0.1023234,0.071099356,0.14975856,0.10210782,-0.07208198,-0.11114062,0.20482947,0.009056199,0.09801557,-0.030465595,-0.14188154,0.11249601,-0.10807017,-0.05012897,-0.12513086,0.04380228,0.11900775,0.09302574,0.09373548,-0.08379461,0.091208234
9,0.046569724,0.0707491,0.18693647,-0.038001504,0.1444679,-0.16098307,0.07902543,0.13718651,0.08257184,-0.17255282,-0.14464374,0.07349084,0.06665269,-0.06624588,0.1460307,-0.035248622,-0.05430658,-0.00898705,0.026129195,0.048167963,0.16018683,-0.09694704,-0.12218084,0.023686081,0.079404764,-0.08254245,-0.14544262,-0.036184914,-0.03431379,-0.088406555,0.067726344,-0.0358262
10,0.18010737,0.13379332,-0.1708996,0.06025205,0.028131077,0.106136724,-0.11501444,0.07909255,-0.040673137,0.0055639115,-0.0008573516,0.11166409,-0.09215321,0.045510124,-0.09578742,0.14471045,-0.0030622748,0.04155531,0.05484493,0.12634364,0.0626724,-0.14478107,0.053088892,0.037623882,0.031504285,-0.006798619,0.026040176,0.03850877,-0.065339714,-0.019364566,0.05030773,-0.078258805
11,-0.06683739,-0.08882248,0.21670125,-0.009692962,-0.0807577,-0.110075064,-0.11078607,0.005243719,0.06258735,0.0041248878,-0.085276596,-0.14309466,0.033157248,-0.028344622,0.048655815,0.10366356,0.040971786,0.13500369,-0.035503227,-0.03384287,0.07411257,-0.06684502,-0.048832092,0.05564276,-0.09495021,0.013735282,-0.08442593,0.08920517,0.04814511,0.10050132,0.1185685,-0.035224304
12,-0.0841616,-0.041014247,0.011567268,0.06819317,-0.04594924,-0.091387324,0.016053373,0.14272563,0.0019066664,-0.06274043,-0.22485878,-0.03906097,0.08226086,-0.17989072,0.218587,-0.09985887,0.021466326,-0.11375369,-0.09234774,0.08893765,-0.09936393,0.04647661,-0.15643598,-0.14288042,0.012476155,0.1841176,-0.015311471,-0.10647017,-0.175697,-0.032243375,0.16016462,-0.059408534
13,0.14199907,0.046716686,-0.089904934,0.09169966,0.03989725,-0.20957915,0.020622712,0.048302025,0.14536579,-0.08065724,0.04114073,0.057908677,-0.22451575,-0.0070870942,0.032173082,-0.12207067,-0.18350734,-0.17030004,0.06557638,-0.084991455,-0.11123121,0.12624164,0.05079423,-0.15504678,-0.09465291,-0.044898305,-0.026827145,-0.13110879,-0.0006925463,0.004204437,0.09055702,0.11557395
