row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31
0,-0.019801654,-0.014743466,0.014515073,0.0813824,0.03704117,0.05613362,0.06569115,0.035656296,0.15134424,-0.17351484,-0.067300126,-0.04305698,0.121875666,-0.19070667,0.07939696,0.057729974,-0.22936098,-0.10863197,0.0832971,-0.057400726,0.17701387,0.058926724,-0.07097481,0.112116985,0.11720963,-0.16733144,0.083870314,-0.051903173,-0.18850589,0.06835694,-0.016734226,0.026054045
1,0.046521243,-0.046200104,0.042546667,-0.067753755,0.052880865,-0.042820726,-0.07280222,-0.030897284,-0.022878604,-0.05599758,-0.009802085,0.04572711,0.042451087,0.004651633,-0.030931298,0.049662787,-0.025669824,-0.00975753,-0.023656236,-0.055273354,0.010771444,0.00636429,-0.021564607,-0.0066708797,-0.03398756,0.001989998,0.08263773,0.03288601,-0.015242541,-0.055903517,0.054488663,0.020087425
2,0.05461814,0.23504688,-0.07884404,-0.014811799,0.19567034,-0.082073055,0.006404498,-0.20755972,-0.051348317,0.19831386,0.20335396,-0.18089187,0.07162516,0.07257824,0.032785345,0.12467238,-0.1742118,-0.049478605,-0.06734585,0.13150859,0.19792816,0.14684962,-0.07385513,0.05383329,0.18666801,-0.14980985,0.043812767,0.16315591,-0.044850204,0.1340398,-0.013263339,-0.14925984
3,0.071586564,-0.0053005563,0.07515086,-0.019354705,-0.039211124,-0.019080803,-0.008136459,-0.026144717,-0.059036333,0.0071954243,-0.0010003222,0.052474394,0.037127227,-3.7944177e-05,-0.08324854,-0.0067871404,0.02259285,-0.018875625,-0.057478204,0.011294128,-0.001582058,-0.005419616,0.0040380345,0.0033416809,-0.038082633,-0.022321476,0.007324588,-0.046960544,0.020734886,-0.023846943,0.06478071,0.0017143534
4,0.049156353,-0.03181167,0.037640184,0.043945424,0.09104512,-0.08015996,-0.1720006,0.06057691,0.042748213,0.04559382,0.01730571,-0.10302009,-0.06879583,0.046284456,0.1349681,0.08806321,0.2049476,0.14076973,0.10719492,-0.1340815,0.07557185,-0.01158743,0.06564897,0.005619325,-0.058871318,0.02522915,-0.14586373,0.145606,0.18892363,-0.04358924,-0.041633997,0.0669293
5,0.034156483,0.1633979,-0.10368899,0.0033777433,0.038049996,0.1273034,0.14186011,-0.070027314,0.0051525882,-0.10510609,0.14170487,-0.005756122,0.1406909,0.17955774,-0.106387235,0.15386444,0.17883696,0.013011776,0.051414587,0.038346022,-0.11256388,-0.06670591,-0.11360179,-0.10349296,0.0101635195,-0.11878163,0.052326627,-0.0049228417,0.11063965,0.033599377,0.07494703,-0.028849484
6,0.08314729,-0.030057745,0.09376374,-0.05304369,-0.0901608,0.07650261,-0.047204852,-0.11266736,0.103542715,0.04283566,-0.06274185,0.047440976,-0.017657991,-0.1135467,-0.03608576,-0.037358318,0.1099614,-0.008962546,-0.053299222,-0.098992735,0.008776432,-0.122471794,0.012276436,-0.11531354,0.061127964,0.16113076,-0.1356098,0.1065936,-0.1266203,-0.045493547,0.1964707,-0.038995586
7,-0.082044736,-0.03920221,-0.14830104,-0.05769016,-0.10589347,-0.026604226,-0.051622905,0.09105835,0.026850684,-0.057975143,-0.031011458,0.004474117,0.0018051418,-0.057090007,0.079400465,0.017956011,0.0147661865,-0.0186002,0.047960386,-0.0283379,-0.09971491,-0.0062515587,0.014574746,-0.042268496,-0.0044034836,0.044723883,-0.031845998,-0.08013518,0.08272265,-0.022311348,-0.08639244,-0.05545381
8,-0.022917762,0.18993783,-0.15872635,0.14317939,-0.062649995,0.0121620735,0.0050524794,-0.041924093,-0.12046095,0.11374442,-0.14098668,0.05893418,0.17644982,0.15417612,0.07057837,0.20171,0.012909972,0.09094548,-0.109784625,-0.11235873,-0.12482404,-0.08195743,0.11141263,0.016721968,0.105957165,-0.082812086,-0.114883505,-0.18135065,0.21600132,-0.12950145,-0.12077347,0.06975355
9,-0.03294711,-0.045349162,0.018356845,0.11284881,-0.041926157,0.015865225,0.00081428466,-0.12387208,0.124189354,0.040178277,-0.053688303,-0.10287737,-0.14283837,-0.060460206,0.18076265,-0.036894143,0.010787585,0.041894022,0.06750112,-0.015842106,-0.043263063,-0.0064782193,-0.08373996,0.005821396,-0.1183,0.037421957,-0.12733208,0.11599776,-0.050698657,-0.02124894,0.061658163,0.11850107
