row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,-0.106791735,-0.021924242,-0.0067371773,0.008941587,-0.0064098076,0.030902311,0.05925224,0.053271785,0.07710078,0.044517454,0.07192698,-0.01895261,-9.862663e-05,0.016307663,-0.029827407,-0.09406528
1,-0.0032585103,-0.08869954,-0.015799422,-0.017477613,-0.030938124,0.046048053,-0.030904502,0.06887044,0.05736883,-0.07092451,-0.025992312,-0.07644747,-0.029374361,-0.019399345,0.013913172,-0.02391245
2,-0.07327717,-0.03853609,-0.077472985,0.04705797,-0.034398615,-0.027361931,0.010603027,-0.016959202,0.047507416,0.054865945,0.032480415,-0.067420475,0.022319326,0.0392587,-0.010817238,0.058343366
3,0.1051533,-0.012988216,0.06574061,-0.05077422,-0.082336545,0.03544277,0.022195823,-0.103247605,0.054116976,-0.11931081,0.07372984,0.13790457,0.032338988,-0.06324692,0.0542807,0.018568296
4,0.04637316,0.06804025,0.09386864,-0.015367043,-0.054305833,0.0065397792,0.011627431,0.10454182,-0.036742605,-0.008559762,-0.0065804315,-0.003137305,0.063891314,-0.03489527,-0.012127977,-0.020061001
5,-0.050027136,0.021473888,-0.0068307035,-0.06402399,0.007175902,-0.07646083,-0.021308208,0.14736605,-0.048557322,0.08197516,0.05235967,-0.10382749,0.05743465,0.108098,-0.057842992,-0.046862375
6,0.14873292,0.117493935,-0.0793557,0.06901497,-0.013197499,-0.035853684,-0.024287533,0.048273083,-0.037912276,0.064679295,-0.09609127,0.09427744,0.10766353,-0.010775611,0.03179072,0.046961907
7,-0.11297569,-0.024732634,-0.034260597,-0.04745454,-0.061814234,0.016535062,0.06983653,-0.15385003,0.016889961,0.04344874,0.05098746,0.061890837,0.09125296,0.006906351,0.03806047,0.06888202
8,-0.09847414,-0.08271954,0.022883974,0.041725066,-0.0154742375,-0.024333328,0.003319847,0.04335166,-0.09752457,0.080046654,0.070488825,-0.08222814,0.023726463,-0.0006206174,0.025577582,0.12126276
9,0.020194683,-0.025506688,0.1138083,-0.030073281,-0.01231367,-0.015906794,-0.037619367,0.0016853375,-0.08918761,-0.011366192,0.024890747,-0.0042038653,-0.09404065,-0.078508966,0.019140655,0.08522913
10,-0.110861525,0.02063318,-0.12711167,-0.010696148,0.04809905,-0.004806976,-0.0092782695,0.05312309,0.007104244,-0.016354457,0.026736187,-0.04725291,-0.013594967,-0.0021954386,0.0090411,0.00506619
11,0.002492058,-0.08996327,-0.07985112,0.04786113,-0.069699876,0.010104895,-0.012600473,-0.080351055,0.031213718,0.0041268626,0.08665314,-0.056869972,-0.07929536,0.071502574,0.010028641,-0.041222427
12,-0.08058374,0.004457633,-0.1329201,0.03128249,0.005793086,-0.034318697,-0.032024123,-0.096065536,0.10404152,0.0842163,0.012645014,0.09338241,-0.05437286,-0.08841079,0.027184414,-0.006763599
13,0.14708063,0.010993665,0.122537926,0.07402783,0.08018474,-0.11926168,0.072605945,-0.11674526,0.110627264,0.00039744488,-0.08262394,0.02410362,-0.00561785,-0.1353673,-0.010604358,0.015329585
14,0.10164763,-0.05701129,0.081682175,0.026200702,-0.0112253865,0.019842163,-0.050442375,-0.13508141,-0.050740544,-0.15537214,-0.04065928,0.0064253085,-0.09707148,0.0026348731,-0.04452194,-0.018338822
15,-0.09199759,0.0066528195,-0.032178964,0.034082938,0.011224177,-0.02073794,-0.0112923505,-0.022471158,-0.08515056,-0.0062810755,-0.013216469,0.04498553,0.025820205,0.08132843,-0.025159668,-0.112978846
