row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,0.09024756,0.0529642,0.16857791,-0.022037676,-0.009637118,0.055460285,-0.017809507,-0.050133098,-0.08692334,0.035243038,-0.01170764,-0.009907815,0.06879939,-0.03975568,-0.02275553,0.074030526
1,-0.017344743,-0.014112472,0.08159937,-0.010558328,-0.055635255,-0.0030710285,-0.0021330467,-0.012913073,-0.013937028,0.033037845,-0.0031542142,0.0018028419,-0.0063443533,-0.008334365,0.005508272,-0.015336378
2,-0.00758461,0.001443087,-0.012167072,-0.0015450112,-0.003931228,-0.0045394925,-0.0021815936,-0.0005086501,0.018685699,0.0040232404,0.0008469167,-0.014522803,-0.002879114,-0.008738561,-0.0004329432,0.0008505577
3,-0.0028602567,-0.016376335,-0.06452373,0.044041436,-0.011975646,0.049930956,0.014788939,-0.029077737,0.012779978,-0.03796854,0.014599679,0.040538356,0.012657028,-0.029360954,0.03878457,1.784254e-05
4,-0.031798106,0.12589806,0.123484984,0.06304723,-0.017257793,-0.050606888,0.037216954,0.14008729,-0.1064615,-0.025734916,-0.06784235,0.050867062,0.06321306,-0.07369362,0.015816677,0.011598711
5,-0.014433905,-0.08327358,0.08829833,-0.0038595654,0.06166644,-0.03151771,0.008551591,-0.08618184,0.049277566,-0.041979276,0.0056807143,0.01970159,-0.007873281,-0.059855394,-0.03124327,0.020275392
6,-0.059385598,-0.04827128,0.05185587,-0.12154155,-0.10372218,0.003323057,-0.02210092,0.106819175,-0.13477276,0.070643075,0.0774302,0.09692677,-0.117514916,-0.061361797,-0.08567557,-0.06990249
7,0.07737038,-0.0013306857,0.07060944,-0.042518236,-0.0034554363,-0.04390124,0.033363823,-0.077221625,-0.039786536,-0.14323293,-0.0038359503,0.125199,0.030315181,-0.03138918,-0.014015733,-0.024271742
8,-0.072412096,0.069117464,-0.0025881827,0.0035764286,-0.0331712,-0.024876755,-0.005132952,0.054715138,0.013618172,-0.070011936,0.07808439,-0.02021297,-0.035835166,-0.033906784,0.037113965,0.015522994
9,-0.045756854,-0.061620425,-0.079449736,-0.09097264,-0.017702889,0.027931288,0.077246636,0.14801387,-0.12058818,0.077275276,-0.029325793,0.08525874,0.0685418,0.044550426,0.05158062,0.07442474
10,0.0132453395,0.017425131,0.0015114947,-0.00067861326,-0.0089642145,-0.02315727,-0.0047422675,0.0018751045,-0.020387823,0.016860383,-0.064296246,-0.009520404,0.020667346,0.015475958,0.010803233,-0.00015414138
11,-0.091037594,-0.12098433,0.06363296,0.069155276,-0.06254094,0.04040859,0.07160549,-0.002538637,-0.10185853,0.16262385,0.05354769,0.09613413,-0.07402849,0.03748829,-0.03516808,0.14998153
12,-0.025971942,0.043560352,0.030766586,0.012504767,-0.035454243,0.033317246,-0.013223326,-0.10494542,-0.01860149,0.10036956,-0.016770432,0.04826484,-0.025632363,0.060840253,0.027536564,0.0010826093
13,-0.08167792,-0.118429154,0.006916308,-0.09596422,0.10848419,-0.14138116,0.04955125,0.19174398,0.069285475,0.07814664,-0.12392316,0.16003972,-0.014016915,-0.16826238,0.13558091,-0.0638673
14,0.0023573767,-0.0006352025,-0.000497987,8.415142e-05,-0.00011071866,-0.00014254989,0.0001618366,0.00010591166,3.468064e-05,-0.00014819654,-5.3143314e-05,-0.001382926,8.05944e-06,0.00055685773,2.1783755e-05,-0.0006614484
15,0.03191797,0.018881058,-0.13538042,0.025311952,0.08367379,0.029622998,-0.053235494,0.1431756,-0.011180833,0.06972141,0.063137166,0.14005025,-0.09237774,0.10580178,-0.099307254,-0.006063424
