row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,0.032496985,0.049053997,-0.097537994,-0.015785733,-0.06287905,-0.11256822,0.13021193,0.083191365,0.009910963,0.029134395,-0.027871896,0.022915656,-0.03070024,-0.04862867,-0.076551534,0.10394532
1,0.008490429,-0.0676106,0.015852995,-0.109095894,0.00791574,0.07185084,0.04308274,0.019753037,-0.08855837,-0.029771732,0.072060175,-0.098455645,-0.065610774,0.09716995,-0.009714348,0.04111739
2,-0.11938159,0.041187774,0.013011559,0.020706818,0.09675594,-0.06815482,-0.020545933,-0.1165112,0.030998085,0.058177117,-0.005257359,-0.014752501,0.07237536,-0.09270242,0.020444792,0.095979735
3,-0.037809484,-0.011881405,0.0013117451,0.007856721,0.017259976,0.05376973,0.00059940404,-0.004711301,0.06565781,-0.042431485,0.045648552,0.027920643,0.00044967563,0.0061019976,0.054692317,-0.017897706
4,0.03527509,0.033607237,0.03930758,-0.07436618,-0.0052690017,-0.066219814,0.07713542,0.04287054,-0.04721914,-0.0058808117,0.03635843,0.041118484,0.07355753,0.062049966,0.016063243,0.051822715
5,-0.10256995,0.083252825,-0.04097564,0.06557184,0.022553451,-0.007729115,0.07157878,-0.06410975,0.04544897,0.022208711,-0.037952557,0.012463628,-0.13299014,-0.045725796,0.04631043,0.0711965
6,-0.0871533,0.058633253,0.01124929,0.09690236,-0.10152772,-0.043707553,-0.0037829373,-0.0401436,0.024308935,-0.088697694,0.10847882,-0.028767746,0.028357243,-0.03581094,-0.011636326,-0.10707409
7,0.08499828,0.07310101,0.074703835,-0.045872975,0.08422337,-0.1065627,0.061511185,-0.042230736,-0.074860886,-0.09431726,-0.134772,0.010157993,-0.0500513,-0.065896936,0.05885987,-0.023936812
8,0.0330337,-0.012303214,0.04881868,0.03085516,0.06234333,0.06303395,-0.06896229,0.11044845,-0.031028919,-0.06945066,0.042434353,-0.010922497,-0.070493884,0.010620937,-0.0010730298,-0.041657623
9,-0.050917495,-0.06097899,-0.038181905,0.008237381,0.12958106,-0.08380473,-0.035627447,-0.11904354,0.00608813,-0.0009576393,-0.1076202,0.04178743,-0.11746765,0.11287578,-0.016208837,0.0037184115
10,-0.027671883,0.05103523,0.07943302,-0.037313707,-0.016747424,0.028185239,0.022265723,-0.086843275,-0.012806735,0.0011853075,-0.012743825,-0.08413702,-0.08064925,0.04783827,0.027308162,0.08483779
11,0.016417094,0.05946249,-0.08503366,0.04728387,0.07388207,0.005164851,0.027970424,0.09018216,-0.06825949,-0.016903315,-0.019964619,-0.12873839,-0.08857539,-0.05540176,0.0068518417,-0.0007443075
12,0.025631333,-0.019498384,0.11014218,0.016091768,0.095991135,0.058244806,-0.07706364,-0.07575934,0.06803028,0.1236641,-0.103420295,0.025232242,-0.029567314,0.106352456,0.058483697,0.05167726
13,0.058942996,-0.0057719615,0.09410617,-0.03150135,0.008601768,-0.049816426,-0.04704033,-0.058822744,0.055519436,-0.018497104,-0.07388339,-0.018089015,0.011524595,-0.06700302,0.01804548,-0.11568167
14,-0.032827858,-0.10767157,-0.032865297,-0.010033268,0.08397354,0.115957476,0.02171753,0.08676123,-0.082312725,0.10591299,0.05964043,-0.053112123,-0.029575445,0.008528807,0.014932367,-0.10174232
15,-0.06525935,0.08812806,0.005874651,-0.0075707147,-0.073392764,0.053104732,-0.027625464,0.02712935,0.015964903,-0.009015114,0.041212443,-0.052270744,-0.058195364,0.11817746,-0.102297686,0.072207615
