row,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15
0,-0.13817045,-0.12487555,-0.04255845,0.033997066,0.06605643,0.08110772,-0.030428668,-0.06538291,0.0071357735,0.08826466,-0.081118345,-0.08166889,-0.12396183,-0.14067638,-0.002432846,-0.047440056
1,-0.028911887,-0.03402186,-0.004412985,-0.02345895,-0.016588995,0.046929233,0.07472182,0.1009944,-0.05847434,-0.10975436,-0.043745853,-0.047059603,0.03916591,0.008719237,0.029457733,-0.09404659
2,-0.006766455,0.08181664,0.025296653,-0.094872646,0.013933232,-0.08552947,-0.037884466,0.07321696,-0.056830995,0.059674907,-0.032202307,0.07455468,0.059145167,0.05712248,0.032385163,0.00040154177
3,-0.053302437,-0.055386715,-0.061833892,0.06810242,-0.02469902,-0.006267856,-0.09199726,0.023583021,-0.017704528,-0.09519607,0.0011314974,-0.055870768,-0.010759097,-0.042454474,0.070780754,-0.09763925
4,-0.011340931,0.030542685,-0.07218133,0.07415194,0.0608674,-0.037436772,-0.0011186732,0.03861525,0.101861894,0.07687922,-0.08251938,-0.051465787,-0.09349523,-0.046762794,-0.04170459,-0.03802127
5,0.06471495,-0.0871101,-0.085599475,-0.09035588,-0.07145886,0.08542076,0.008573292,-0.019478025,-0.026574802,-0.08667639,-0.042403422,0.048932333,0.07284279,0.045596607,0.02431707,-0.062653676
6,-0.07383974,0.0686061,-0.07802065,0.048838045,-0.03352666,0.06360974,0.040058345,-0.012879861,-0.048143085,0.021712104,-0.08930021,-0.0318944,-0.0028214506,-0.01880526,-0.061122302,-0.065336846
7,-0.11254008,-0.117538266,-0.0038070336,-0.08557729,0.013566989,-0.03591194,-0.077528864,0.06461292,0.079253376,0.06155319,0.065381914,-0.08696015,-0.061327685,-0.09346898,0.08924069,0.048931226
8,0.11490488,-0.05401783,-0.053048592,0.11243433,-0.08256213,-0.056047965,0.05651505,-0.10463434,-0.061016828,0.055189718,0.11284825,0.026164908,-0.07518069,0.09181651,0.11015476,-0.08066621
9,-0.046827964,-0.10130077,-0.08124185,0.021004423,0.061559003,0.03812131,-0.108471744,-0.044067513,0.077757455,-0.035703607,-0.051182587,-0.07840855,0.078570746,-0.10535239,-0.065944426,0.05759229
10,-0.06582324,0.0048374212,-0.061321314,-0.011066801,-0.036812663,0.0662271,0.05004647,0.010321163,0.041555803,-0.0447382,-0.080027625,-0.054387834,0.002172791,-0.044408128,0.038062852,1.7538705e-05
11,-0.008077305,-0.07586307,0.03569087,-0.088202104,0.019364871,0.029115083,0.004962189,0.08515094,0.04609141,-0.030239683,-0.09230445,-0.09389609,0.028345004,-0.007840038,-0.097099945,0.023341931
12,-0.050378706,0.053056408,-0.03877478,0.09440485,0.06514194,0.034896933,0.062014468,0.027313048,0.054460905,-0.0955974,-0.018313438,-0.013552533,0.024075396,-0.028987406,0.03067972,0.0611324
13,0.014468094,0.027936636,-0.016485801,0.060108624,-0.044768643,0.06569152,-0.013293047,-0.0017162329,-0.06670827,0.09583242,-0.04407777,0.009862764,-0.08103486,-0.064003736,-0.022225201,-0.091086656
14,0.0029780434,-0.0045140795,-0.044033017,0.070514105,0.064796895,-0.053680766,-0.08507818,0.063131355,-0.052929837,0.013680395,-0.01758345,-0.004663734,-0.060625926,-0.02058803,-0.06369829,-0.055452686
15,-0.054726187,0.010517379,0.0481454,-0.013315217,0.014162099,0.07041691,0.09534579,-0.024194766,-0.07116092,0.009406554,0.003456014,-0.08544327,-0.08987757,-0.02313055,0.10333401,-0.11690613
